,actv_code_id,parent_actv_code_id,actv_code_type_id,actv_code_name,short_name,seq_num
0,13152,,7350,  - 77 ,BW,10
1,13153,,7350,  - 95 ,BT,20
2,13154,,7351,  - 33,T1,40
3,13155,,7351,  - 21,T2,50
4,13156,,7351,  - 21 ,T3,60
5,13157,,7351,  - 11,T4,160
6,13158,,7351,  - 9,T5,260
7,13159,,7352, 125,125,10
8,13160,,7352, 126,126,20
9,13161,,7352, 127,127,30
10,13162,,7352, 128,128,40
11,13163,,7352,  129,129,50
12,13164,,7352, 130,130,60
13,13165,,7352, 131,131,70
14,13166,,7352, 129  16 ,129-2,51
15,13167,,7352, 129  6  - ,129-1,52
16,13168,,7353, 1,01,10
17,13169,,7353, 2,02,20
18,13170,,7353, 3,03,30
19,13171,,7353, 4,04,40
20,13172,,7353, 5,05,50
21,13173,,7353, 6,06,60
22,13174,,7353, 7,07,70
23,13175,,7353, 8,08,80
24,13176,,7353, 9,09,90
25,13177,,7353, 10,10,100
26,13178,,7353, 11,11,110
27,13179,,7353, 12,12,120
28,13180,,7353, 13,13,130
29,13181,,7353, 14,14,140
30,13182,,7353, 15,15,150
31,13183,,7353, 16,16,160
32,13184,,7353, 17,17,170
33,13185,,7353, 18,18,180
34,13186,,7353, 19,19,190
35,13187,,7353, 20,20,200
36,13188,,7353, 21,21,210
37,13189,,7353, 22,22,220
38,13190,,7353, 23,23,230
39,13191,,7353, 24,24,240
40,13192,,7353, 25,25,250
41,13193,,7353, 26,26,260
42,13194,,7353, 27,27,270
43,13195,,7353, 28,28,280
44,13196,,7353, 29,29,290
45,13197,,7353, 30,30,300
46,13198,,7353, 31,31,310
47,13199,,7353, 32,32,320
48,13200,,7353, 33,33,330
49,13201,,7353, 34,34,340
50,13202,,7353, 35,35,11
51,13203,,7354, A,A,0
52,13204,,7354, B,B,100
53,13205,,7354, C,C,200
54,13206,,7354, D,D,300
55,13207,,7354, E,E,400
56,13208,,7354, F,F,500
57,13209,,7354, G,G,600
58,13210,,7354, H,H,700
59,13211,,7354, I,I,800
60,13212,,7354, J,J,900
61,13213,,7355,  ,KARIM,0
62,13214,,7355,  ,TARKH,100
63,13215,,7355, ,MMTLY,200
64,13216,,7355,   ,KHALD,4
65,13217,,7355,  ,AYMN,3
66,13218,,7355,   ,TRSTT,1
67,13219,,7355,  ,KAML,2
68,13220,,7356, ,EX,0
69,13221,,7356, ,FIL,100
70,13222,,7356, ,PTR,200
71,13223,,7356, ,PC,300
72,13224,,7356, ,RC,400
73,13225,,7356, ,SAN,500
74,13226,,7356, ,PAT,603
75,13227,,7356,  ,DOR,700
