,cost_item_id,acct_id,pobs_id,cost_type_id,proj_id,task_id,cost_name,po_number,vendor_name,act_cost,cost_per_qty,remain_cost,target_cost,cost_load_type,auto_compute_act_flag,target_qty,qty_name,cost_descr,contract_manager_import
0,5559,,,,859,84951,  ,,,7375000.00,7375000.00,0.00,7375000.00,CL_Uniform,Y,1,,,
1,5560,,,,859,84956,Sundries,,,630.00,1000.00,0.00,630.00,CL_Uniform,Y,0.63,,,
2,5561,,,,859,84956,Consulting,,,1500.00,27000.00,0.00,1500.00,CL_Uniform,Y,0.055556,,,
3,5562,,,,859,84957,Fringes,,,1750.00,5000.00,0.00,1750.00,CL_Uniform,Y,0.35,,,
4,5563,,,,859,84957,Sundries,,,0.00,1500.00,0.00,0.00,CL_Uniform,Y,0,,,
5,5564,,,,859,84958,Sundries,,,3291.00,1000.00,0.00,3291.00,CL_Uniform,Y,3.291,,,
6,5565,,,,859,84959,Fringes,,,1750.00,5000.00,0.00,1750.00,CL_Uniform,Y,0.35,,,
7,5566,,,,859,84959,Sundries,,,0.00,1000.00,0.00,0.00,CL_Uniform,Y,0,,,
8,5567,,,,859,84960,Sundries,,,3291.00,1000.00,0.00,3291.00,CL_Uniform,Y,3.291,,,
9,5568,,,,859,84961,Sundries,,,0.00,1500.00,0.00,0.00,CL_Uniform,Y,0,,,
10,5569,,,,859,84961,Fringes,,,1750.00,5000.00,0.00,1750.00,CL_Uniform,Y,0.35,,,
11,5570,,,,859,84962,Sundries,,,3291.00,1000.00,0.00,3291.00,CL_Uniform,Y,3.291,,,
12,5571,,,,859,84963,Sundries,,,0.00,1500.00,0.00,0.00,CL_Uniform,Y,0,,,
13,5572,,,,859,84963,Fringes,,,1750.00,5000.00,0.00,1750.00,CL_Uniform,Y,0.35,,,
14,5573,,,,859,84964,Sundries,,,3291.00,1000.00,0.00,3291.00,CL_Uniform,Y,3.291,,,
15,5574,,,,859,84965,Sundries,,,0.00,1500.00,0.00,0.00,CL_Uniform,Y,0,,,
16,5575,,,,859,84965,Fringes,,,0.00,5000.00,1750.00,1750.00,CL_Uniform,Y,0.35,,,
17,5576,,,,859,84966,Sundries,,,0.00,1000.00,3291.00,3291.00,CL_Uniform,Y,3.291,,,
18,5577,,,,859,84967,Sundries,,,0.00,1500.00,0.00,0.00,CL_Uniform,Y,0,,,
19,5578,,,,859,84967,Fringes,,,0.00,5000.00,1751.00,1751.00,CL_Uniform,Y,0.3502,,,
20,5579,,,,859,84969,Fringes,,,139.00,139.00,0.00,139.00,CL_Uniform,N,1,,,
21,5580,,,,859,84970,Fringes,,,139.00,139.00,0.00,139.00,CL_Uniform,N,1,,,
22,5581,,,,859,84971,Fringes,,,139.00,139.00,0.00,139.00,CL_Uniform,N,1,,,
23,5582,,,,859,84972,Fringes,,,139.00,139.00,0.00,139.00,CL_Uniform,N,1,,,
24,5583,,,,859,84973,Fringes,,,0.00,139.00,139.00,139.00,CL_Uniform,N,1,,,
25,5584,,,,859,84974,Fringes,,,0.00,140.00,140.00,140.00,CL_Uniform,N,1,,,
26,5585,,,,859,84976,Sundries,,,0.00,4500.00,842.00,842.00,CL_Uniform,Y,0.187111,,,
27,5586,,,,859,84977,Sundries,,,0.00,4500.00,842.00,842.00,CL_Uniform,Y,0.187111,,,
28,5587,,,,859,84978,Sundries,,,0.00,4500.00,842.00,842.00,CL_Uniform,Y,0.187111,,,
29,5588,,,,859,84979,Sundries,,,0.00,4500.00,842.00,842.00,CL_Uniform,Y,0.187111,,,
30,5589,,,,859,84980,Sundries,,,0.00,4500.00,842.00,842.00,CL_Uniform,Y,0.187111,,,
31,5590,,,,859,84981,Sundries,,,0.00,3100.00,841.00,841.00,CL_Uniform,Y,0.27129,,,
32,5591,,,,859,84983,Sundries,,,204.00,200.00,0.00,204.00,CL_Uniform,N,1.02,,,
33,5592,,,,859,84984,Fringes,,,1529.00,423.00,0.00,1529.00,CL_Uniform,Y,3.614657,,,
34,5593,,,,859,84984,consulting,,,3000.00,5500.00,0.00,3000.00,CL_Uniform,Y,0.545455,,,
35,5594,,,,859,84985,Fringes,,,511.00,700.00,0.00,511.00,CL_Uniform,Y,0.73,,,
36,5595,,,,859,84986,Sundries,,,1292.00,270.00,0.00,1292.00,CL_Uniform,Y,4.785185,,,
37,5596,,,,859,84987,Sundries,,,0.00,500.00,0.00,0.00,CL_Uniform,Y,0,,,
38,5597,,,,859,84988,Sundries,,,372.00,226.00,0.00,372.00,CL_Uniform,Y,1.646018,,,
39,5598,,,,859,84990,Sundries,,,111.00,105.00,0.00,111.00,CL_Uniform,N,1.057143,,,
40,5599,,,,859,84991,Sunderies,,,241.00,400.00,0.00,241.00,CL_Uniform,Y,0.60345,,,
41,5600,,,,859,84992,Sundries,,,86.00,226.00,0.00,86.00,CL_Uniform,Y,0.380531,,,
42,5601,,,,859,84993,Sunderies,,,101.00,400.00,0.00,101.00,CL_Uniform,Y,0.2525,,,
