,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,10571,859,565,100,1,Y,N,WS_Open,R29BT-modefied-10,22  - Current 129,,10170,,,525000000.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,rpShCxNCEEya6/22naxzvg,,
1,10572,859,565,0,1,N,N,WS_Open,T,  - 22 ,,10571,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,cOnneHNhkkelTpKrZ3sbRA,,
2,10573,859,565,200,1,N,N,WS_Open,S2, ,,10572,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,eYBWVWP41km9VSjSYuFKzw,,
3,10574,859,565,500,1,N,N,WS_Open,S5, ,,10572,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,9y8FCqpu90ydY9e6J3rc0A,,
4,10575,859,565,300,1,N,N,WS_Open,S3, ,,10572,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,DzT/L6va5UKBHaMIYdfgvA,,
5,10576,859,565,400,1,N,N,WS_Open,S4, ,,10572,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Wbgl9pPIm0er9BzqNK4MZA,,
6,10577,859,565,0,1,N,N,WS_Open,Jan, ( 8  )  2011,,10573,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,QO7iBr5pwEi5L1G9E5iZHw,,
7,10578,859,565,0,1,N,N,WS_Open,Feb, ( 7  )  2011,,10575,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,i9rF53M8dEepKkMMQf7IoA,,
8,10579,859,565,0,1,N,N,WS_Open,Mar, ( 3  )   2011,,10576,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,xXa9mHSwk0iAB6CWAj+oSQ,,
9,10580,859,565,0,1,N,N,WS_Open,Apr, ( 4  )  2011,,10574,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,qqDrLthzKke6vekFB8ZrSA,,
10,10581,859,565,201,1,N,N,WS_Open,129, (8)  129,,10577,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,K4DZTbJIXEKnngcxXT4G/g,,
11,10582,859,565,1,1,N,N,WS_Open,129, ( 4  )  129,,10580,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,AX/SzWJCqUGHuQ5zHwZz4A,TpIu7OgtyEilI73wDc9psQ,
12,10583,859,565,3,1,N,N,WS_Open,129, ( 7 )  129,,10578,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,JiGMV/2tAkuJl0dSY6wA5Q,dxYmlBEkUUug6cExjOopVQ,
13,10584,859,565,1,1,N,N,WS_Open,129, ( 3  )  129,,10579,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,0/rMSLFLck+7JWUoeGQpyQ,TpIu7OgtyEilI73wDc9psQ,
14,10585,859,565,3,1,N,N,WS_Open,5, 5,,10581,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,kj26Hh3a00iOBTxpyUonfA,,
15,10586,859,565,6,1,N,N,WS_Open,21, 21,,10581,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,S/tk2i2O90mZQxX+dHMyMA,,
16,10587,859,565,7,1,N,N,WS_Open,22, 22,,10581,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,O+sECtMYgEmPigLgqLv1SA,,
