,memo_id,task_id,memo_type_id,proj_id,task_memo
0,10727,84957,65,859,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.2900.3660"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff>&nbsp;               &nbsp; </BODY></HTML>"
1,10728,84959,65,859,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.2900.3660"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff>     9  131 </BODY></HTML>"
2,10729,85011,21,859,<HTML><BODY bgColor=#ffffff> 5000 </BODY></HTML>
3,10730,85012,21,859,<HTML><BODY bgColor=#ffffff>     </BODY></HTML>
4,10731,85063,21,859,<HTML><BODY bgColor=#ffffff> 5000 </BODY></HTML>
5,10732,85064,21,859,<HTML><BODY bgColor=#ffffff>     </BODY></HTML>
6,10733,85153,21,859,<HTML><BODY bgColor=#ffffff> 5000 </BODY></HTML>
7,10734,85154,21,859,<HTML><BODY bgColor=#ffffff>     </BODY></HTML>
8,10735,85263,21,859,<HTML><BODY bgColor=#ffffff> 5000 </BODY></HTML>
9,10736,85264,21,859,<HTML><BODY bgColor=#ffffff>     </BODY></HTML>
10,10737,85340,21,859,<HTML><BODY bgColor=#ffffff> 5000 </BODY></HTML>
11,10738,85341,21,859,<HTML><BODY bgColor=#ffffff>     </BODY></HTML>
12,10739,85430,21,859,<HTML><BODY bgColor=#ffffff> 5000 </BODY></HTML>
13,10740,85431,21,859,<HTML><BODY bgColor=#ffffff>     </BODY></HTML>
14,10741,85524,21,859,<HTML><BODY bgColor=#ffffff> 5000 </BODY></HTML>
15,10742,85525,21,859,<HTML><BODY bgColor=#ffffff>     </BODY></HTML>
16,10743,85563,65,859,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.2900.3660"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff>     131 &nbsp;28   </BODY></HTML>"
17,10744,85653,21,859,<HTML><BODY bgColor=#ffffff> 5000 </BODY></HTML>
18,10745,85654,21,859,<HTML><BODY bgColor=#ffffff>     </BODY></HTML>
19,10746,85722,65,859,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.2900.3660"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff>     13  131   </BODY></HTML>"
20,10747,85752,21,859,<HTML><BODY bgColor=#ffffff> 5000 </BODY></HTML>
21,10748,85753,21,859,<HTML><BODY bgColor=#ffffff>     </BODY></HTML>
22,10749,85842,21,859,<HTML><BODY bgColor=#ffffff> 5000 </BODY></HTML>
23,10750,85843,21,859,<HTML><BODY bgColor=#ffffff>     </BODY></HTML>
24,10751,85901,21,859,<HTML><BODY bgColor=#ffffff> 5000 </BODY></HTML>
25,10752,85902,21,859,<HTML><BODY bgColor=#ffffff>     </BODY></HTML>
26,10753,85958,65,859,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.2900.3660"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff>&nbsp;     131 &nbsp;22 &nbsp;   127  8  &nbsp;</BODY></HTML>"
27,10754,86003,21,859,<HTML><BODY bgColor=#ffffff> 5000 </BODY></HTML>
28,10755,86004,21,859,<HTML><BODY bgColor=#ffffff>     </BODY></HTML>
29,10756,86054,65,859,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.2900.3660"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff>        2  131    </BODY></HTML>"
30,10757,86120,21,859,<HTML><BODY bgColor=#ffffff> 5000 </BODY></HTML>
31,10758,86121,21,859,<HTML><BODY bgColor=#ffffff>     </BODY></HTML>
32,10759,86179,21,859,<HTML><BODY bgColor=#ffffff> 5000 </BODY></HTML>
33,10760,86180,21,859,<HTML><BODY bgColor=#ffffff>     </BODY></HTML>
34,10761,86219,65,859,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.2900.3660"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff>     129&nbsp;14 &nbsp;25 2010</BODY></HTML>"
