,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,86365,85203,85205,859,859,PR_FS,0,,2010-10-31 00:00,2010-12-15 09:00
1,86366,85206,85204,859,859,PR_FS,0,,2010-10-31 00:00,2010-12-15 09:00
2,86367,85211,85210,859,859,PR_FS,0,,2010-10-31 00:00,2010-11-07 14:00
3,86368,85212,85211,859,859,PR_FS,0,,2010-10-31 00:00,2010-11-07 14:00
4,86369,85213,85212,859,859,PR_FS,0,,2010-10-31 00:00,2010-11-07 14:00
5,86370,85214,85213,859,859,PR_FS,0,,2010-10-31 00:00,2010-11-07 14:00
6,86371,85215,85214,859,859,PR_FS,0,,2010-10-31 00:00,2010-11-07 14:00
7,86372,85216,85215,859,859,PR_FS,0,,2010-10-31 00:00,2010-11-07 14:00
8,86373,85217,85216,859,859,PR_FS,0,,2010-10-31 00:00,2010-11-07 14:00
9,86374,85218,85217,859,859,PR_FS,0,,2010-10-31 00:00,2010-11-07 14:00
10,86375,85219,85218,859,859,PR_FS,0,,2010-10-31 00:00,2010-11-07 14:00
11,86376,85220,85219,859,859,PR_FS,0,,2010-10-31 00:00,2010-11-07 14:00
12,86377,85221,85220,859,859,PR_FS,0,,2010-10-31 00:00,2010-11-07 14:00
13,86378,85222,85221,859,859,PR_FS,0,,2010-10-31 00:00,2011-01-07 16:00
14,86379,85194,85192,859,859,PR_FS,0,,2010-10-31 00:00,2010-12-15 09:00
15,86380,85195,85194,859,859,PR_FS,0,,2010-10-31 00:00,2010-12-28 15:00
16,86381,85196,85195,859,859,PR_FS,0,,2010-10-31 00:00,2010-12-28 15:00
17,86382,85141,85140,859,859,PR_SS,24,,2010-10-31 08:00,2010-12-17 14:36
18,86383,85145,85197,859,859,PR_FS,16,,2010-11-10 16:00,2011-02-15 08:00
19,86384,85146,85142,859,859,PR_FS,0,,2010-12-02 13:00,2011-02-22 08:00
20,86385,85146,85145,859,859,PR_FF,120,,2010-11-17 08:00,2011-03-14 08:00
21,86386,85147,85141,859,859,PR_SS,40,,2010-10-31 08:00,2010-12-15 08:12
22,86387,85149,85147,859,859,PR_FS,32,,2010-12-02 13:00,2011-01-10 08:00
23,86388,85150,85146,859,859,PR_FS,40,,2011-01-04 10:00,2011-03-29 08:00
24,86389,85187,85146,859,859,PR_FS,0,,2010-12-30 13:00,2011-04-13 08:00
25,86390,85201,85207,859,859,PR_FS,0,,2010-10-31 00:00,2010-11-07 14:00
26,86391,85207,85208,859,859,PR_FS,0,,2010-10-31 00:00,2010-11-07 14:00
27,86392,85151,85140,859,859,PR_SS,24,,2010-10-31 08:00,2010-12-13 14:36
28,86393,85152,85197,859,859,PR_FS,-24,,2010-11-06 08:00,2011-01-04 16:00
29,86394,85152,85198,859,859,PR_FF,32,,2010-11-02 08:00,2011-01-07 16:00
30,86395,85142,85152,859,859,PR_SS,24,,2010-11-08 16:00,2010-12-29 13:00
31,86396,85153,85152,859,859,PR_SS,24,,2010-11-08 16:00,2010-12-28 07:00
32,86397,85147,85151,859,859,PR_SS,40,,2010-11-04 16:00,2010-12-07 09:00
33,86398,85154,85147,859,859,PR_SS,40,,2010-11-10 16:00,2010-12-08 07:00
34,86399,85155,85147,859,859,PR_FS,-24,,2010-11-18 08:00,2011-01-11 12:00
35,86400,85157,85155,859,859,PR_FS,40,,2010-12-02 08:12,2011-01-23 08:00
36,86401,85159,85154,859,859,PR_FS,0,,2010-11-29 16:00,2010-12-31 09:00
37,86402,85159,85147,859,859,PR_FS,0,,2010-11-28 16:00,2010-12-31 09:00
38,86403,85149,85159,859,859,PR_FS,0,,2010-12-11 11:00,2011-01-14 08:00
39,86404,85160,85159,859,859,PR_FS,0,,2010-12-11 11:00,2011-01-23 08:00
40,86405,85146,85151,859,859,PR_FS,0,,2010-11-10 16:00,2011-02-22 08:00
41,86406,85161,85146,859,859,PR_FF,-80,,2010-11-28 08:00,2011-05-03 16:00
42,86407,85156,85155,859,859,PR_SS,40,,2010-11-18 08:00,2011-01-07 08:48
43,86408,85162,85156,859,859,PR_FS,0,,2010-12-04 13:00,2011-01-14 08:00
44,86409,85162,85155,859,859,PR_FS,0,,2010-11-27 11:12,2011-01-14 08:00
45,86410,85163,85162,859,859,PR_FS,0,,2010-12-15 15:00,2011-02-02 08:00
46,86411,85157,85162,859,859,PR_FS,0,,2010-12-15 15:00,2011-01-28 08:00
47,86412,85165,85164,859,859,PR_SS,40,,2010-11-16 11:12,2011-01-12 13:36
48,86413,85166,85164,859,859,PR_FS,0,,2010-12-03 12:36,2011-01-28 08:00
49,86414,85166,85165,859,859,PR_FS,0,,2010-12-08 17:00,2011-01-28 08:00
50,86415,85167,85166,859,859,PR_FS,0,,2010-12-20 09:00,2011-02-12 08:00
51,86416,85158,85166,859,859,PR_FS,0,,2010-12-20 09:00,2011-02-11 08:00
52,86417,85158,85164,859,859,PR_FS,0,,2010-12-03 12:36,2011-02-11 08:00
53,86418,85160,85149,859,859,PR_FF,-120,,2010-12-02 13:00,2011-02-16 16:00
54,86419,85163,85157,859,859,PR_FF,-120,,2010-12-13 15:00,2011-02-26 16:00
55,86420,85167,85158,859,859,PR_FF,-120,,2010-12-25 07:00,2011-03-08 16:00
56,86421,85168,85152,859,859,PR_FS,0,,2010-11-11 16:00,2011-01-22 08:00
57,86422,85168,85153,859,859,PR_FS,0,,2010-12-04 09:00,2011-01-22 08:00
58,86423,85168,85142,859,859,PR_FS,0,,2010-12-02 13:00,2011-01-22 08:00
59,86424,85169,85168,859,859,PR_SS,40,,2010-12-08 09:00,2011-01-10 08:00
60,86425,85170,85168,859,859,PR_FS,0,,2010-12-15 11:00,2011-02-08 08:00
61,86426,85170,85169,859,859,PR_FS,0,,2010-12-16 17:00,2011-02-08 08:00
62,86427,85171,85170,859,859,PR_FS,0,,2010-12-28 09:00,2011-02-22 08:00
63,86428,85172,85170,859,859,PR_FS,0,,2010-12-28 09:00,2011-02-25 08:00
64,86429,85173,85153,859,859,PR_FS,0,,2010-12-04 09:00,2011-02-02 08:00
65,86430,85173,85142,859,859,PR_FS,0,,2010-12-02 13:00,2011-02-02 08:00
66,86431,85174,85173,859,859,PR_SS,40,,2010-12-16 17:00,2011-01-24 12:00
67,86432,85175,85173,859,859,PR_FS,0,,2010-12-24 09:00,2011-02-18 08:00
68,86433,85175,85174,859,859,PR_FS,0,,2010-12-21 11:00,2011-02-18 08:00
69,86434,85177,85175,859,859,PR_FS,0,,2011-01-05 10:00,2011-03-04 08:00
70,86435,85176,85175,859,859,PR_FS,0,,2011-01-05 10:00,2011-03-11 08:00
71,86436,85178,85152,859,859,PR_FS,0,,2010-11-11 16:00,2011-02-13 08:00
72,86437,85178,85142,859,859,PR_FS,0,,2010-12-02 13:00,2011-02-13 08:00
73,86438,85178,85153,859,859,PR_FS,0,,2010-12-04 09:00,2011-02-13 08:00
74,86439,85179,85178,859,859,PR_SS,40,,2010-12-25 15:00,2011-01-30 08:00
75,86440,85180,85178,859,859,PR_FS,0,,2011-01-02 10:00,2011-02-28 08:00
76,86441,85180,85179,859,859,PR_FS,0,,2011-01-03 10:00,2011-02-28 08:00
77,86442,85181,85180,859,859,PR_FS,0,,2011-01-17 10:00,2011-03-14 08:00
78,86443,85182,85180,859,859,PR_FS,0,,2011-01-17 10:00,2011-03-25 08:00
79,86444,85183,85182,859,859,PR_FS,0,,2011-02-28 10:00,2011-04-08 08:00
80,86445,85190,85183,859,859,PR_FF,-24,,2011-02-27 10:00,2011-04-30 16:00
81,86446,85191,85183,859,859,PR_FF,16,,2011-03-06 10:00,2011-04-26 08:00
82,86447,85189,85191,859,859,PR_FS,0,,2011-03-20 10:00,2011-04-27 16:00
