,proc_id,task_id,proj_id,seq_num,proc_name,complete_flag,proc_wt,complete_pct,proc_descr
0,40608,84956,859,0,  ,N,1,0,<HTML><BODY bgColor=#ffffff> 25%  </BODY></HTML>
1,40609,84956,859,0,   ,N,1,0,<HTML><BODY bgColor=#ffffff><P> 50%  </P></BODY></HTML>
2,40610,84956,859,0, ,N,1,0,<HTML><BODY bgColor=#ffffff> 25%  </BODY></HTML>
3,40611,85102,859,0,  ,N,1,0,<HTML><BODY bgColor=#ffffff> 25%  </BODY></HTML>
4,40612,85102,859,0,   ,N,1,0,<HTML><BODY bgColor=#ffffff><P> 50%  </P></BODY></HTML>
5,40613,85102,859,0, ,N,1,0,<HTML><BODY bgColor=#ffffff> 25%  </BODY></HTML>
6,40614,85210,859,0,  ,N,1,0,<HTML><BODY bgColor=#ffffff> 25%  </BODY></HTML>
7,40615,85210,859,0,   ,N,1,0,<HTML><BODY bgColor=#ffffff><P> 50%  </P></BODY></HTML>
8,40616,85210,859,0, ,N,1,0,<HTML><BODY bgColor=#ffffff> 25%  </BODY></HTML>
9,40617,85230,859,0,  ,N,1,0,<HTML><BODY bgColor=#ffffff> 25%  </BODY></HTML>
10,40618,85230,859,0,   ,N,1,0,<HTML><BODY bgColor=#ffffff><P> 50%  </P></BODY></HTML>
11,40619,85230,859,0, ,N,1,0,<HTML><BODY bgColor=#ffffff> 25%  </BODY></HTML>
12,40620,85379,859,0,  ,N,1,0,<HTML><BODY bgColor=#ffffff> 25%  </BODY></HTML>
13,40621,85379,859,0,   ,N,1,0,<HTML><BODY bgColor=#ffffff><P> 50%  </P></BODY></HTML>
14,40622,85379,859,0, ,N,1,0,<HTML><BODY bgColor=#ffffff> 25%  </BODY></HTML>
15,40623,85484,859,0,  ,N,1,0,<HTML><BODY bgColor=#ffffff> 25%  </BODY></HTML>
16,40624,85484,859,0,   ,N,1,0,<HTML><BODY bgColor=#ffffff><P> 50%  </P></BODY></HTML>
17,40625,85484,859,0, ,N,1,0,<HTML><BODY bgColor=#ffffff> 25%  </BODY></HTML>
18,40626,85582,859,0,  ,N,1,0,<HTML><BODY bgColor=#ffffff> 25%  </BODY></HTML>
19,40627,85582,859,0,   ,N,1,0,<HTML><BODY bgColor=#ffffff><P> 50%  </P></BODY></HTML>
20,40628,85582,859,0, ,N,1,0,<HTML><BODY bgColor=#ffffff> 25%  </BODY></HTML>
21,40629,85598,859,0,  ,N,1,0,<HTML><BODY bgColor=#ffffff> 25%  </BODY></HTML>
22,40630,85598,859,0,   ,N,1,0,<HTML><BODY bgColor=#ffffff><P> 50%  </P></BODY></HTML>
23,40631,85598,859,0, ,N,1,0,<HTML><BODY bgColor=#ffffff> 25%  </BODY></HTML>
24,40632,85719,859,0,  ,N,1,0,<HTML><BODY bgColor=#ffffff> 25%  </BODY></HTML>
25,40633,85719,859,0,   ,N,1,0,<HTML><BODY bgColor=#ffffff><P> 50%  </P></BODY></HTML>
26,40634,85719,859,0, ,N,1,0,<HTML><BODY bgColor=#ffffff> 25%  </BODY></HTML>
27,40635,85809,859,0,  ,N,1,0,<HTML><BODY bgColor=#ffffff> 25%  </BODY></HTML>
28,40636,85809,859,0,   ,N,1,0,<HTML><BODY bgColor=#ffffff><P> 50%  </P></BODY></HTML>
29,40637,85809,859,0, ,N,1,0,<HTML><BODY bgColor=#ffffff> 25%  </BODY></HTML>
30,40638,85957,859,0,  ,N,1,0,<HTML><BODY bgColor=#ffffff> 25%  </BODY></HTML>
31,40639,85957,859,0,   ,N,1,0,<HTML><BODY bgColor=#ffffff><P> 50%  </P></BODY></HTML>
32,40640,85957,859,0, ,N,1,0,<HTML><BODY bgColor=#ffffff> 25%  </BODY></HTML>
