,wbs_budg_id,proj_id,wbs_id,start_date,spend_cost,benefit_cost
0,2948,859,10571,2008-01-01 00:00,0.00,0.00
1,2949,859,10571,2010-01-01 00:00,19700000.00,0.00
2,2950,859,10571,2010-02-01 00:00,30200000.00,0.00
3,2951,859,10571,2010-03-01 00:00,31000000.00,0.00
4,2952,859,10571,2010-04-01 00:00,35500000.00,0.00
5,2953,859,10571,2010-05-01 00:00,38500000.00,0.00
6,2954,859,10571,2010-06-01 00:00,37500000.00,0.00
7,2955,859,10571,2010-07-01 00:00,41500000.00,0.00
8,2956,859,10571,2010-08-01 00:00,30000000.00,0.00
9,2957,859,10571,2010-09-01 00:00,30000000.00,0.00
10,2958,859,10571,2010-10-01 00:00,21000000.00,0.00
11,2959,859,10571,2010-11-01 00:00,21000000.00,0.00
12,2960,859,10571,2010-12-01 00:00,16500000.00,0.00
