,actv_code_id,parent_actv_code_id,actv_code_type_id,actv_code_name,short_name,seq_num
0,12940,,7300,  - 77 ,BW,10
1,12941,,7300,  - 95 ,BT,20
2,12942,,7301,  - 33,T1,40
3,12943,,7301,  - 21,T2,50
4,12944,,7301,  - 21 ,T3,60
5,12945,,7301,  - 11,T4,160
6,12946,,7301,  - 9,T5,260
7,12947,,7302, 125,125,10
8,12948,,7302, 126,126,20
9,12949,,7302, 127,127,30
10,12950,,7302, 128,128,40
11,12951,,7302,  129,129,50
12,12952,,7302, 130,130,60
13,12953,,7302, 131,131,70
14,12954,,7302, 129  16 ,129-2,51
15,12955,,7302, 129  6  - ,129-1,52
16,12956,,7303, 1,01,10
17,12957,,7303, 2,02,20
18,12958,,7303, 3,03,30
19,12959,,7303, 4,04,40
20,12960,,7303, 5,05,50
21,12961,,7303, 6,06,60
22,12962,,7303, 7,07,70
23,12963,,7303, 8,08,80
24,12964,,7303, 9,09,90
25,12965,,7303, 10,10,100
26,12966,,7303, 11,11,110
27,12967,,7303, 12,12,120
28,12968,,7303, 13,13,130
29,12969,,7303, 14,14,140
30,12970,,7303, 15,15,150
31,12971,,7303, 16,16,160
32,12972,,7303, 17,17,170
33,12973,,7303, 18,18,180
34,12974,,7303, 19,19,190
35,12975,,7303, 20,20,200
36,12976,,7303, 21,21,210
37,12977,,7303, 22,22,220
38,12978,,7303, 23,23,230
39,12979,,7303, 24,24,240
40,12980,,7303, 25,25,250
41,12981,,7303, 26,26,260
42,12982,,7303, 27,27,270
43,12983,,7303, 28,28,280
44,12984,,7303, 29,29,290
45,12985,,7303, 30,30,300
46,12986,,7303, 31,31,310
47,12987,,7303, 32,32,320
48,12988,,7303, 33,33,330
49,12989,,7303, 34,34,340
50,12990,,7303, 35,35,11
51,12991,,7304, A,A,0
52,12992,,7304, B,B,100
53,12993,,7304, C,C,200
54,12994,,7304, D,D,300
55,12995,,7304, E,E,400
56,12996,,7304, F,F,500
57,12997,,7304, G,G,600
58,12998,,7304, H,H,700
59,12999,,7304, I,I,800
60,13000,,7304, J,J,900
61,13001,,7305,  ,KARIM,0
62,13002,,7305,  ,TARKH,100
63,13003,,7305, ,MMTLY,200
64,13004,,7305,   ,KHALD,4
65,13005,,7305,  ,AYMN,3
66,13006,,7305,   ,TRSTT,1
67,13007,,7305,  ,KAML,2
68,13008,,7306, ,EX,0
69,13009,,7306, ,FIL,100
70,13010,,7306, ,PTR,200
71,13011,,7306, ,PC,300
72,13012,,7306, ,RC,400
73,13013,,7306, ,SAN,500
74,13014,,7306, ,PAT,603
75,13015,,7306,  ,DOR,700
76,13016,,7306, ,BUL,800
77,13017,,7306, ,MET,900
78,13018,,7306,  ,ALM,1002
79,13019,,7306, ,PLST,1101
80,13020,,7306,  ,INS,1200
81,13021,,7306, ,CER,1300
82,13022,,7306, ,TILE,1400
83,13023,,7306, ,MARB,1500
84,13024,,7306, ,KR,1600
85,13025,,7306, ,ELEC,1700
86,13026,,7306,   ,ST,85
87,13027,,7306,Shop Drawing,SDW,1501
88,13028,,7306,    ,BULR,27
89,13029,,7306,   ,BUL5,28
90,13030,,7306,   ,BUL4,29
91,13031,,7306,    ,RCS2,30
92,13032,,7306,   ,BUL3,31
93,13033,,7306,   ,BUL2,32
94,13034,,7306,   ,PCM,33
95,13035,,7306,    10,RC10,34
96,13036,,7306,    ,FILL,35
97,13037,,7306,.    ,RCC,37
98,13038,,7306,      300 ,RCD,38
99,13039,,7306,  ,RCCR,39
100,13040,,7306,    ,RCS1,40
101,13041,,7306,   ,BUL1,41
102,13042,,7306,   ,RCS3,42
103,13043,,7306,   ,RCS4,43
104,13044,,7306,   ,RCS5,44
105,13045,,7306,  ,RCC5,45
106,13046,,7306,  ,RCC1,46
107,13047,,7306,   ,DDD,47
108,13048,,7306,   ,RCK,48
109,13049,,7306,  ,RCC4,49
110,13050,,7306,  ,RCC3,50
111,13051,,7306,  ,RCC2,51
112,13052,,7306,    ,RCS,52
113,13053,,7306,  ,INSD,53
114,13054,,7306,   ,BULG,54
115,13055,,7306,     ,FIL-1,55
116,13056,,7306,  ,PC-1,57
117,13057,,7306,   ,RCM,59
118,13058,,7306,  ,DOR-1,62
119,13059,,7306,  ,BUL-1,63
120,13060,,7306,     1   2,PLST-1,66
121,13061,,7306,  ,PLSTS,67
122,13062,,7306,    ,PLST5,68
123,13063,,7306,    ,PLST4,69
124,13064,,7306,   ,PLST3,70
125,13065,,7306,   ,PLST2,71
126,13066,,7306,    ,PLST1,72
127,13067,,7306,   GRG- ,PLSTV,73
128,13068,,7306,    ,PLSTG,74
129,13069,,7306,  ,PLSTO,75
130,13070,,7306,    345,PLSTT,78
131,13071,,7306,   ,INS-1,79
132,13072,,7306, ,INSF,80
133,13073,,7306,  ,CER4,6
134,13074,,7306,  ,CER5,7
135,13075,,7306,  ,CERG,8
136,13076,,7306,   ,DOR1,9
137,13077,,7306,   ,DOR2,10
138,13078,,7306,   ,DOR3,11
139,13079,,7306,   ,DOR4,12
140,13080,,7306,   ,DOR5,13
141,13081,,7306,   ,DORG,14
142,13082,,7306,  ,PAT1,15
143,13083,,7306,  ,PAT2,16
144,13084,,7306,  ,PAT3,17
145,13085,,7306,  ,PAT4,18
146,13086,,7306,   ,PAT5,19
147,13087,,7306,  ,PATG,20
148,13088,,7306,    ,SAN1,21
149,13089,,7306,    ,SAN2,22
150,13090,,7306,    ,SAN3,23
151,13091,,7306,    ,SAN4,24
152,13092,,7306,    ,SAN5,25
153,13093,,7306,    ,SANG,26
154,13094,,7306,  ,CER3,5
155,13095,,7306,  ,CER2,4
156,13096,,7306,  ,CER1,3
157,13097,,7306,     ,fill1,36
