,cost_item_id,acct_id,pobs_id,cost_type_id,proj_id,task_id,cost_name,po_number,vendor_name,act_cost,cost_per_qty,remain_cost,target_cost,cost_load_type,auto_compute_act_flag,target_qty,qty_name,cost_descr,contract_manager_import
0,4109,,,,809,82903,Sundries,,,4500.00,4500.00,0.00,4500.00,CL_Uniform,Y,1,,,
1,4110,,,,809,82904,Sundries,,,0.00,4500.00,4500.00,4500.00,CL_Uniform,Y,1,,,
2,4111,,,,809,82905,Sundries,,,4500.00,4500.00,0.00,4500.00,CL_Uniform,Y,1,,,
3,4112,,,,809,82906,Sundries,,,4500.00,4500.00,0.00,4500.00,CL_Uniform,Y,1,,,
4,4113,,,,809,82907,Sundries,,,4500.00,4500.00,0.00,4500.00,CL_Uniform,Y,1,,,
5,4114,,,,809,82908,Sundries,,,0.00,3100.00,3105.00,3105.00,CL_Uniform,Y,1.001613,,,
6,4226,,,,809,83082,Sundries,,,842.00,4500.00,0.00,842.00,CL_Uniform,Y,0.187111,,,
7,4227,,,,809,83083,Sundries,,,842.00,4500.00,0.00,842.00,CL_Uniform,Y,0.187111,,,
8,4228,,,,809,83084,Sundries,,,842.00,4500.00,0.00,842.00,CL_Uniform,Y,0.187111,,,
9,4229,,,,809,83085,Sundries,,,842.00,4500.00,0.00,842.00,CL_Uniform,Y,0.187111,,,
10,4230,,,,809,83086,Sundries,,,842.00,4500.00,0.00,842.00,CL_Uniform,Y,0.187111,,,
11,4231,,,,809,83087,Sundries,,,0.00,3100.00,841.00,841.00,CL_Uniform,Y,0.27129,,,
12,4274,,,,809,83176,Sundries,,,4500.00,4500.00,0.00,4500.00,CL_Uniform,Y,1,,,
13,4275,,,,809,83177,Sundries,,,4500.00,4500.00,0.00,4500.00,CL_Uniform,Y,1,,,
14,4276,,,,809,83178,Sundries,,,4500.00,4500.00,0.00,4500.00,CL_Uniform,Y,1,,,
15,4277,,,,809,83179,Sundries,,,4500.00,4500.00,0.00,4500.00,CL_Uniform,Y,1,,,
16,4278,,,,809,83180,Sundries,,,4500.00,4500.00,0.00,4500.00,CL_Uniform,Y,1,,,
17,4279,,,,809,83181,Sundries,,,0.00,3100.00,3105.00,3105.00,CL_Uniform,Y,1.001613,,,
18,4351,,,,809,83270,Sundries,,,842.00,4500.00,0.00,842.00,CL_Uniform,Y,0.187111,,,
19,4352,,,,809,83271,Sundries,,,842.00,4500.00,0.00,842.00,CL_Uniform,Y,0.187111,,,
20,4353,,,,809,83272,Sundries,,,0.00,4500.00,842.00,842.00,CL_Uniform,Y,0.187111,,,
21,4354,,,,809,83273,Sundries,,,0.00,4500.00,842.00,842.00,CL_Uniform,Y,0.187111,,,
22,4355,,,,809,83274,Sundries,,,0.00,4500.00,842.00,842.00,CL_Uniform,Y,0.187111,,,
23,4356,,,,809,83275,Sundries,,,0.00,3100.00,841.00,841.00,CL_Uniform,Y,0.27129,,,
24,4357,,,,809,83277,Sundries,,,3500.00,4500.00,0.00,3500.00,CL_Uniform,Y,0.777778,,,
25,4358,,,,809,83278,Sundries,,,0.00,4500.00,2616.00,2616.00,CL_Uniform,Y,0.581333,,,
26,4359,,,,809,83279,Sundries,,,3500.00,4500.00,0.00,3500.00,CL_Uniform,Y,0.777778,,,
27,4360,,,,809,83280,Sundries,,,3500.00,4500.00,0.00,3500.00,CL_Uniform,Y,0.777778,,,
28,4361,,,,809,83281,Sundries,,,3272.00,4500.00,0.00,3272.00,CL_Uniform,Y,0.727111,,,
29,4362,,,,809,83282,Sundries,,,3105.00,3100.00,0.00,3105.00,CL_Uniform,Y,1.001613,,,
30,4389,,,,809,83307,Sundries,,,0.00,5000.00,3449.00,3449.00,CL_Uniform,N,0.6898,,,
31,4390,,,,809,83309,Sundries,,,0.00,2200.00,2192.00,2192.00,CL_Uniform,N,0.996364,,,
32,4391,,,,809,83310,Sundries,,,0.00,632.00,582.00,582.00,CL_Uniform,N,0.920886,,,
33,4393,,,,809,83312,Sundries,,,0.00,700.00,341.00,341.00,CL_Uniform,N,0.487143,,,
34,4413,,,,809,83347,Sundries,,,0.00,920.00,547.00,547.00,CL_Uniform,N,0.594565,,,
35,4414,,,,809,83348,Sundries,,,0.00,650.00,0.00,0.00,CL_Uniform,N,0,,,
36,4458,,,,809,83424,Sundries,,,0.00,4500.00,3500.00,3500.00,CL_Uniform,Y,0.777778,,,
37,4459,,,,809,83425,Sundries,,,0.00,4500.00,2616.00,2616.00,CL_Uniform,Y,0.581333,,,
38,4460,,,,809,83426,Sundries,,,0.00,4500.00,3500.00,3500.00,CL_Uniform,Y,0.777778,,,
39,4461,,,,809,83427,Sundries,,,0.00,4500.00,3500.00,3500.00,CL_Uniform,Y,0.777778,,,
40,4462,,,,809,83428,Sundries,,,0.00,4500.00,3272.00,3272.00,CL_Uniform,Y,0.727111,,,
41,4463,,,,809,83429,Sundries,,,0.00,3100.00,3105.00,3105.00,CL_Uniform,Y,1.001613,,,
42,4502,,,,809,83468,Sundries,,,3500.00,4500.00,0.00,3500.00,CL_Uniform,Y,0.777778,,,
43,4503,,,,809,83469,Sundries,,,2616.00,4500.00,0.00,2616.00,CL_Uniform,Y,0.581333,,,
44,4504,,,,809,83470,Sundries,,,0.00,4500.00,3500.00,3500.00,CL_Uniform,Y,0.777778,,,
45,4505,,,,809,83471,Sundries,,,0.00,4500.00,3500.00,3500.00,CL_Uniform,Y,0.777778,,,
