,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,10371,809,565,100,1,Y,Y,WS_Open,R29BT-modefied-7,21  - Current 130,,10170,,,525000000.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,ksSNMCIj80WrVBfHWAecvQ,,
1,10372,809,565,0,1,N,Y,WS_Open,T,  -21 ,,10371,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,oLyvnRSaZUCiGZctiSC3cA,,
2,10373,809,565,200,1,N,Y,WS_Open,S2, ,,10372,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,GbJ+KRgWa0+i36qs8nTNag,,
3,10374,809,565,100,1,N,Y,WS_Open,1, ,,10372,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,FTHbGPE3P0GrZAyu2Me6PA,,
4,10375,809,565,300,1,N,Y,WS_Open,S3, ,,10372,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,M1CE9Gpq/kOUjyyCXcx72A,,
5,10376,809,565,0,1,N,Y,WS_Open,Jan, ( 5  )  2011,,10373,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,OoMPES+3hkOphtsJzqLKLQ,,
6,10377,809,565,0,1,N,Y,WS_Open,Dec,(14)  2010,,10374,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,XeNxHnxZWUGloK6SMxc0tA,,
7,10378,809,565,0,1,N,Y,WS_Open,Feb, (2  )  2011,,10375,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,tVzo4n+xGk218Epl1zAerA,,
8,10379,809,565,0,1,N,Y,WS_Open,130, (5 ) 130,,10376,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Oq37pOxMx0ynRWare01VLw,foy4qwoRMUmrxji/TqHYvg,
9,10380,809,565,101,1,N,Y,WS_Open,,  ,,10377,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,9V4DWAFbNEOvosoqzoBRRw,,
10,10381,809,565,0,1,N,Y,WS_Open,130, ( 2  )  130,,10378,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,RLnrWD8ZEk2QwS2wRchi2g,Sn7vE5M6AEa9+BdQXHWJsg,
11,10382,809,565,0,1,N,Y,WS_Open,9, 9,,10379,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,JNhHXrNJP0u57E2RWV9cYw,,
12,10383,809,565,1,1,N,Y,WS_Open,13, 13,,10381,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,qK0pxBgBQUirXW2hxYZoYg,,
13,10384,809,565,2,1,N,Y,WS_Open,17, 17,,10379,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,myWlMOsO90KWbwyXvs1hTw,,
14,10385,809,565,0,1,N,Y,WS_Open,130, (14 )  130,,10380,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,yWefJU3h5ES/0h39AsxYpw,,
