,rsrc_rate_id,rsrc_id,max_qty_per_hr,cost_per_qty,start_date,shift_period_id,cost_per_qty2,cost_per_qty3,cost_per_qty4,cost_per_qty5
0,2428,2143,80,6.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
1,2430,2145,1,20.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
2,2439,2198,80,15.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
3,2440,2156,1,6500.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
4,2441,2199,80,15.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
5,2442,2124,6.25,450.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
6,2443,2160,62.5,20.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
7,2447,2246,100,15.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
8,2451,2212,100,18.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
9,2452,2169,1.25,2200.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
10,2456,2211,10,20.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
11,2458,2175,125,25.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
12,2465,2142,150,24.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
13,2466,2208,50,15.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
14,2469,2165,10,10.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
15,2472,2127,20,8.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
16,2473,2109,1,60.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
17,2482,2159,6.25,2500.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
18,2483,2201,5,4250.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
19,2485,2203,0.875,5000.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
20,2486,2204,75,28.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
21,2487,2164,12.5,65.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
22,2488,2247,150,199.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
23,2489,2144,2.5,620.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
24,2490,2217,5,15.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
25,2491,2146,5,25.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
26,2496,2173,2.5,32000.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
27,2497,2177,1.25,4000.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
28,2498,2216,81.25,150.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
29,2499,2171,93.75,140.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
30,2500,2189,125,17.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
31,2501,2137,62.5,87.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
32,2507,2184,1,500000.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
33,2562,2344,1,0.00,2008-01-01 00:00,,,,,
34,2563,2355,1,0.00,2008-01-01 00:00,,,,,
35,2564,2331,1,0.00,2008-01-01 00:00,,,,,
36,2565,2350,1,0.00,2008-01-01 00:00,,,,,
37,2566,2351,1,0.00,2008-01-01 00:00,,,,,
38,2567,2352,1,0.00,2008-01-01 00:00,,,,,
39,2568,2353,1,0.00,2008-01-01 00:00,,,,,
40,2569,2354,1,0.00,2008-01-01 00:00,,,,,
41,2570,2377,1,0.00,2008-01-01 00:00,,,,,
42,2571,2337,1,0.00,2008-01-01 00:00,,,,,
43,2572,2338,1,0.00,2008-01-01 00:00,,,,,
44,2573,2339,1,0.00,2008-01-01 00:00,,,,,
45,2574,2340,1,0.00,2008-01-01 00:00,,,,,
46,2575,2341,1,0.00,2008-01-01 00:00,,,,,
47,2576,2361,1,0.00,2008-01-01 00:00,,,,,
48,2595,2248,0,0.00,2009-01-01 00:00,,,,,
49,2674,2367,1,0.00,2009-01-01 00:00,,0.00,0.00,0.00,0.00
50,2675,2368,1,0.00,2009-01-01 00:00,,0.00,0.00,0.00,0.00
51,2692,2126,9,500.00,2008-01-01 00:00,,0.00,0.00,0.00,0.00
52,2693,2308,1,0.00,2009-12-27 00:00,,0.00,0.00,0.00,0.00
53,2708,2305,1,0.00,2010-01-01 00:00,,,,,
54,2709,2324,1,0.00,2010-01-01 00:00,,,,,
55,2710,2325,1,0.00,2010-01-01 00:00,,,,,
56,2713,2310,250,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
57,2714,2327,250,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
