,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,77065,83565,83564,809,809,PR_FS,0,,2010-11-10 00:00,2011-04-28 00:00
1,77084,84763,84761,809,809,PR_FS,0,,2010-11-10 00:00,2011-02-18 08:00
2,77085,84764,84763,809,809,PR_FS,0,,2010-11-10 00:00,2011-02-18 08:00
3,77086,84765,84764,809,809,PR_FS,0,,2010-11-10 00:00,2011-02-18 08:00
4,77167,84766,84765,809,809,PR_FS,0,,2010-11-10 00:00,2011-02-18 08:00
5,77234,83084,83082,809,809,PR_FS,0,,2010-11-10 00:00,2011-04-22 08:00
6,77235,83085,83084,809,809,PR_FS,0,,2010-11-10 00:00,2011-04-22 08:00
7,77236,83086,83085,809,809,PR_FS,0,,2010-11-10 00:00,2011-04-22 08:00
8,77316,83087,83086,809,809,PR_FS,0,,2010-11-10 00:00,2011-04-22 08:00
9,77381,84152,84150,809,809,PR_FS,0,,2010-12-02 13:00,2010-12-11 12:00
10,77382,84153,84152,809,809,PR_FS,0,,2010-12-08 09:00,2010-12-17 08:00
11,77383,84154,84153,809,809,PR_FS,0,,2010-12-13 15:00,2010-12-22 14:00
12,77454,84236,84198,809,809,PR_FF,-80,,2011-01-11 10:00,2011-02-17 11:00
13,77462,84155,84154,809,809,PR_FS,0,,2010-12-19 11:00,2010-12-28 10:00
14,77466,84242,84200,809,809,PR_FS,0,,2011-01-23 10:00,2011-02-28 11:00
15,77527,83470,83468,809,809,PR_FS,0,,2010-11-10 00:00,2011-02-13 08:00
16,77528,83471,83470,809,809,PR_FS,0,,2010-11-10 00:00,2011-02-13 08:00
17,77529,83472,83471,809,809,PR_FS,0,,2010-11-17 16:00,2011-02-20 08:00
18,77611,83473,83472,809,809,PR_FS,0,,2010-12-02 13:00,2011-02-27 08:00
19,77676,83605,83603,809,809,PR_FS,0,,2010-11-15 16:00,2011-04-02 08:00
20,77677,83606,83605,809,809,PR_FS,0,,2010-12-03 11:00,2011-04-12 08:00
21,77678,83607,83606,809,809,PR_FS,0,,2010-12-03 11:00,2011-04-12 08:00
22,77757,83608,83607,809,809,PR_FS,0,,2010-12-09 15:00,2011-04-20 08:00
23,77821,83701,83699,809,809,PR_FS,0,,2010-11-10 00:00,2011-01-08 11:00
24,77822,83702,83701,809,809,PR_FS,0,,2010-11-10 00:00,2011-01-08 11:00
25,77823,83703,83702,809,809,PR_FS,0,,2010-11-10 00:00,2011-01-08 11:00
26,77894,83750,83712,809,809,PR_FF,-80,,2010-12-01 08:00,2011-02-17 11:00
27,77902,83704,83703,809,809,PR_FS,0,,2010-11-10 00:00,2011-01-08 11:00
28,77967,83426,83424,809,809,PR_FS,0,,2010-12-13 15:00,2011-01-13 08:00
29,77968,83427,83426,809,809,PR_FS,0,,2010-12-24 17:00,2011-01-27 08:00
30,77969,83428,83427,809,809,PR_FS,0,,2011-01-06 10:00,2011-02-10 08:00
31,78051,83429,83428,809,809,PR_FS,0,,2011-01-20 10:00,2011-02-24 08:00
32,78112,84429,84427,809,809,PR_FS,0,,2010-12-07 11:00,2010-12-21 08:00
33,78113,84430,84429,809,809,PR_FS,0,,2010-12-07 11:00,2010-12-21 08:00
34,78114,84431,84430,809,809,PR_FS,0,,2010-12-07 11:00,2010-12-21 08:00
35,78185,84417,84379,809,809,PR_FF,-80,,2011-01-05 11:00,2011-02-17 11:00
36,78193,84432,84431,809,809,PR_FS,0,,2010-12-12 17:00,2010-12-26 14:00
37,78257,83178,83176,809,809,PR_FS,0,,2010-11-10 00:00,2011-04-21 08:00
38,78258,83179,83178,809,809,PR_FS,0,,2010-11-10 00:00,2011-04-21 08:00
39,78259,83180,83179,809,809,PR_FS,0,,2010-11-10 00:00,2011-04-21 08:00
40,78339,83181,83180,809,809,PR_FS,0,,2010-11-10 00:00,2011-04-21 08:00
41,78402,82905,82903,809,809,PR_FS,0,,2010-11-30 09:36,2011-03-01 08:00
42,78403,82906,82905,809,809,PR_FS,0,,2010-11-30 09:36,2011-03-01 08:00
43,78404,82907,82906,809,809,PR_FS,0,,2010-11-30 09:36,2011-03-01 08:00
44,78486,82908,82907,809,809,PR_FS,0,,2010-11-30 09:36,2011-03-01 08:00
45,78552,83782,83780,809,809,PR_FS,0,,2010-11-10 00:00,2011-01-02 11:00
46,78553,83783,83782,809,809,PR_FS,0,,2010-11-10 00:00,2011-01-02 11:00
47,78554,83784,83783,809,809,PR_FS,0,,2010-11-10 00:00,2011-01-02 11:00
48,78625,83848,83810,809,809,PR_FF,-80,,2010-12-05 15:00,2011-02-17 11:00
49,78635,83785,83784,809,809,PR_FS,0,,2010-11-10 00:00,2011-01-02 11:00
50,78639,83854,83812,809,809,PR_FS,0,,2010-12-18 13:00,2011-02-28 11:00
51,78700,84091,84089,809,809,PR_FS,0,,2010-11-10 00:00,2011-04-22 08:00
52,78701,84092,84091,809,809,PR_FS,0,,2010-11-10 00:00,2011-04-22 08:00
53,78702,84093,84092,809,809,PR_FS,0,,2010-11-10 00:00,2011-04-22 08:00
54,78783,84094,84093,809,809,PR_FS,0,,2010-11-10 00:00,2011-04-22 08:00
55,78847,83272,83270,809,809,PR_FS,0,,2010-11-10 00:00,2011-01-26 09:36
56,78848,83273,83272,809,809,PR_FS,0,,2010-11-28 12:48,2011-02-04 14:24
57,78849,83274,83273,809,809,PR_FS,0,,2010-12-06 14:36,2011-02-14 11:12
58,78929,83275,83274,809,809,PR_FS,0,,2010-12-14 11:24,2011-02-24 08:00
59,78994,84719,84717,809,809,PR_FS,0,,2010-11-10 00:00,2011-03-26 14:24
60,78995,84720,84719,809,809,PR_FS,0,,2010-11-10 00:00,2011-03-26 14:24
61,78996,84721,84720,809,809,PR_FS,0,,2010-11-30 09:36,2011-04-07 08:00
62,79075,84722,84721,809,809,PR_FS,0,,2010-12-05 16:36,2011-04-14 08:00
63,79137,83279,83277,809,809,PR_FS,0,,2010-12-02 13:00,2011-03-13 08:00
64,79138,83280,83279,809,809,PR_FS,0,,2010-12-02 13:00,2011-03-13 08:00
65,79139,83281,83280,809,809,PR_FS,0,,2010-12-02 13:00,2011-03-13 08:00
66,79211,83348,83310,809,809,PR_FF,-80,,2010-12-06 13:00,2011-04-16 16:00
67,79221,83282,83281,809,809,PR_FS,0,,2010-12-02 13:00,2011-03-13 08:00
68,79225,83353,83312,809,809,PR_FS,0,,2010-12-24 17:00,2011-04-27 16:00
69,79286,83875,83873,809,809,PR_FS,0,,2010-11-18 16:00,2010-12-05 16:00
70,79287,83876,83875,809,809,PR_FS,0,,2010-12-01 15:00,2010-12-09 16:00
71,79288,83877,83876,809,809,PR_FS,0,,2010-12-05 15:00,2010-12-13 16:00
72,79367,83878,83877,809,809,PR_FS,0,,2010-12-13 15:00,2010-12-21 16:00
73,79431,84248,84246,809,809,PR_FS,0,,2010-12-01 15:00,2011-04-03 08:00
74,79432,84249,84248,809,809,PR_FS,0,,2010-12-01 15:00,2011-04-03 08:00
75,79433,84250,84249,809,809,PR_FS,0,,2010-12-05 15:00,2011-04-08 08:00
76,79512,84251,84250,809,809,PR_FS,0,,2010-12-13 15:00,2011-04-18 08:00
77,79577,84456,84454,809,809,PR_FS,0,,2010-11-10 00:00,2010-12-27 12:00
78,79578,84457,84456,809,809,PR_FS,0,,2010-11-10 00:00,2010-12-27 12:00
79,79579,84458,84457,809,809,PR_FS,0,,2010-11-10 00:00,2010-12-27 12:00
80,79651,84505,84467,809,809,PR_FF,-80,,2010-12-09 11:00,2011-02-17 11:00
81,79659,84459,84458,809,809,PR_FS,0,,2010-11-15 16:00,2010-12-31 12:00
82,79663,84511,84469,809,809,PR_FS,0,,2010-12-28 09:00,2011-02-28 11:00
83,79724,84824,84822,809,809,PR_FS,0,,2010-11-10 00:00,2011-03-28 11:12
84,79725,84825,84824,809,809,PR_FS,0,,2010-11-28 12:48,2011-04-07 08:00
85,79726,84826,84825,809,809,PR_FS,0,,2010-11-28 12:48,2011-04-07 08:00
86,79805,84827,84826,809,809,PR_FS,0,,2010-12-03 15:48,2011-04-13 08:00
87,79870,84569,84567,809,809,PR_FS,0,,2010-11-10 00:00,2010-12-21 08:00
88,79871,84570,84569,809,809,PR_FS,0,,2010-11-10 00:00,2010-12-21 08:00
89,79872,84571,84570,809,809,PR_FS,0,,2010-11-18 16:00,2010-12-27 12:00
90,79943,84618,84580,809,809,PR_FF,-80,,2010-12-15 10:00,2011-02-17 11:00
91,79953,84572,84571,809,809,PR_FS,0,,2010-12-01 15:00,2010-12-31 12:00
92,80018,83956,83954,809,809,PR_FS,0,,2010-12-01 15:00,2010-12-07 12:00
93,80019,83957,83956,809,809,PR_FS,0,,2010-12-09 15:00,2010-12-15 12:00
94,80020,83958,83957,809,809,PR_FS,0,,2010-12-17 15:00,2010-12-23 12:00
95,80101,83959,83958,809,809,PR_FS,0,,2010-12-25 15:00,2010-12-31 12:00
96,80148,82901,82902,809,809,PR_FS,0,,2010-11-10 00:00,2011-04-28 00:00
97,80149,83370,83371,809,809,PR_FS,8,,2010-11-10 00:00,2011-04-28 00:00
98,80150,84460,84459,809,809,PR_FS,0,,2010-12-03 11:00,2011-01-10 11:00
99,80151,84433,84432,809,809,PR_FS,0,,2010-12-24 09:00,2011-01-08 11:00
100,80152,84095,84094,809,809,PR_FS,0,,2010-11-16 16:00,2011-04-28 00:00
101,80153,84573,84572,809,809,PR_FS,0,,2010-12-09 15:00,2011-01-10 11:00
102,80154,83960,83959,809,809,PR_FS,0,,2011-01-03 10:00,2011-01-10 11:00
103,80155,84156,84155,809,809,PR_FS,0,,2010-12-30 13:00,2011-01-10 11:00
