,taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,pobs_id,skill_level,pend_complete_pct,remain_qty,pend_remain_qty,target_qty,remain_qty_per_hr,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,target_crv,remain_crv,actual_crv,ts_pend_act_end_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,create_user,create_date,has_rsrchours,taskrsrc_sum_id
0,72838,82903,809,Y,,,2124,,,,0,,8,0,0,0.07142857,0,8,0,0,450.00,3600.00,3600.00,0.00,0.00,2010-01-04 00:00,2010-02-25 00:00,,,2010-02-16 08:00,2010-02-21 00:00,,,Y,,,,N,hNEhle9t40CP0Ng912UOSQ,COST_PER_QTY,3600.00,8,63,RT_Mat,ST_Rsrc,admin,2010-10-27 09:12,,
1,72839,82903,809,Y,,,2126,,,,0,,25,0,0,0.22321429,0,25,0,0,500.00,12500.00,12500.00,0.00,0.00,2010-01-04 00:00,2010-02-25 00:00,,,2010-02-16 08:00,2010-02-21 00:00,,,Y,,,,N,3W5Vbf/ufU6isHro3mWdAg,COST_PER_QTY,12500.00,25,12,RT_Mat,ST_Rsrc,admin,2010-10-27 09:12,,
2,72840,82903,809,Y,,,2159,,,,0,,2.5,0,0,0.02232143,0,2.5,0,0,2500.00,6250.00,6250.00,0.00,0.00,2010-01-04 00:00,2010-02-25 00:00,,,2010-02-16 08:00,2010-02-21 00:00,,,Y,,,,N,i5PiIHAjTEqckO+bBaXtVg,COST_PER_QTY,6250.00,2.5,12,RT_Mat,ST_Rsrc,admin,2010-10-27 09:12,,
3,72841,82903,809,Y,,,2201,,,,0,,4,0,0,0.03571429,0,4,0,0,4250.00,17000.00,17000.00,0.00,0.00,2010-01-04 00:00,2010-02-25 00:00,,,2010-02-16 08:00,2010-02-21 00:00,,,Y,,,,N,lDhRngy1KUGFpTtyCzD8tw,COST_PER_QTY,17000.00,4,12,RT_Mat,ST_Rsrc,admin,2010-10-27 09:12,,
4,72842,82903,809,Y,,,2199,,,,0,,580,1.29003559,0,5.17857143,0,580,0,,15.00,8700.00,8700.00,0.00,0.00,2010-01-04 00:00,2010-02-25 00:00,,,2010-02-16 08:00,2010-02-21 00:00,,,Y,,,,N,ntNF/BG8wU28Ko1IL96qvw,COST_PER_QTY,8700.00,580,13,RT_Labor,ST_Rsrc,admin,2010-10-27 09:12,,
5,72843,82903,809,Y,,,2127,,,,0,,40,0.08896797,0,0.35714286,0,40,0,,8.00,320.00,320.00,0.00,0.00,2010-01-04 00:00,2010-02-25 00:00,,,2010-02-16 08:00,2010-02-21 00:00,,,Y,,,,N,Y7qmuf0aJ0+BW3C6qk1v/Q,COST_PER_QTY,320.00,40,13,RT_Labor,ST_Rsrc,admin,2010-10-27 09:12,,
6,72844,82903,809,Y,,,2165,,,,0,,30,0.06672598,0,0.26785714,0,30,0,,10.00,300.00,300.00,0.00,0.00,2010-01-04 00:00,2010-02-25 00:00,,,2010-02-16 08:00,2010-02-21 00:00,,,Y,,,,N,HXKJwQdHgUyVQNkOEq+uJQ,COST_PER_QTY,300.00,30,13,RT_Labor,ST_Rsrc,admin,2010-10-27 09:12,,
7,72845,82903,809,Y,,,2160,,,,0,,20,0,0,0.17857143,0,20,0,0,20.00,400.00,400.00,0.00,0.00,2010-01-04 00:00,2010-02-25 00:00,,,2010-02-16 08:00,2010-02-21 00:00,,,Y,,,,N,ABHIbkpfwE2QXCPYv9+qSg,COST_PER_QTY,400.00,20,63,RT_Mat,ST_Rsrc,admin,2010-10-27 09:12,,
8,72846,82903,809,Y,,,2308,,,,0,,98.7,0,0,0.88125,0,98.7,0,,0.00,0.00,0.00,0.00,0.00,2010-01-04 00:00,2010-02-25 00:00,,,2010-02-16 08:00,2010-02-21 00:00,,,Y,,,,N,OmAUukLRr0a3r+tcqznDvw,COST_PER_QTY,0.00,98.7,63,RT_Mat,ST_Rsrc,admin,2010-10-27 09:12,,
9,72847,82903,809,Y,,,2327,,,,0,,42,1,0,0.375,0,42,0,,0.00,0.00,0.00,0.00,0.00,2010-01-04 00:00,2010-02-25 00:00,,,2010-02-16 08:00,2010-02-21 00:00,,,Y,,,,N,9J7ZHmmqM0CgTS2GvWk/Iw,COST_PER_QTY,0.00,42,13,RT_Labor,ST_Rsrc,admin,2010-10-27 09:12,,
10,72848,82904,809,Y,,,2124,,,,23.327855,,8,0.26035552,0,0.07142857,0,6.804536,0,0,450.00,3600.00,2046.24,0.00,11513.33,2010-08-25 00:00,,2010-11-10 08:00,2010-11-30 09:36,2010-08-31 09:00,2010-09-24 10:00,2011-02-17 14:24,2011-02-28 16:00,Y,,,,N,Rv5JHb7+Dk6UPkHNm5tgOQ,COST_PER_QTY,2046.24,6.804536,13,RT_Mat,ST_Rsrc,admin,2010-10-27 09:12,,
11,72849,82904,809,Y,,,2160,,,,0,,20,0,0,0.17857143,0,20,0,0,20.00,400.00,400.00,0.00,0.00,2010-08-25 00:00,,2010-11-10 08:00,2010-11-30 09:36,2010-08-31 09:00,2010-09-24 10:00,2011-02-17 14:24,2011-02-28 16:00,Y,,,,N,Jp2oQjkBqEKIggZecIRq9Q,COST_PER_QTY,400.00,20,63,RT_Mat,ST_Rsrc,admin,2010-10-27 09:12,,
