,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,11207,765,565,100,1,Y,N,WS_Open,e.hussien-1,31 buidings,,13451,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,b3PRSImeN0+v3j48dTemUw,,
1,11208,765,565,0,1,N,N,WS_Open,zone 131,(New WBS),,11207,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,7POilEXZjkiyYdV2jsCNsQ,,
2,11209,765,565,21,1,N,N,WS_Closed,2,building-2,,11208,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,SFrZvCmd0Em6Hw3ow/7/Rg,nDNXBrvpeU+ARjFO70r5zA,
3,11210,765,565,18,1,N,N,WS_Open,5,building-5,,11208,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,0p/NQwqc2kS6rBJVuX/OeQ,1dpQOo/qq024nBwqtN3g6w,
4,11211,765,565,10,1,N,N,WS_Open,10,building-10,,11208,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,GbWKsfYXOUWFw+wkWcSq1Q,1dpQOo/qq024nBwqtN3g6w,
5,11212,765,565,6,1,N,N,WS_Open,14,building-14,,11208,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,7aVZ8oerskixuEnw1jCWtA,1dpQOo/qq024nBwqtN3g6w,
6,11213,765,565,3,1,N,N,WS_Open,18,building-18,,11208,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,S+5QH2qfv06OsyGEsIJqyQ,1dpQOo/qq024nBwqtN3g6w,
7,11214,765,565,22,1,N,N,WS_Open,1,building-1,,11208,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,mIDy6O88CEOuQbrHBReqDQ,,
8,11215,765,565,13,1,N,N,WS_Open,7,building-7,,11208,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,zgKRRgMI4kGnGBWUP0hhtg,1dpQOo/qq024nBwqtN3g6w,
9,11216,765,565,9,1,N,N,WS_Open,11,building-11,,11208,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,GyRiq0MWEUCsIF4B7O23tw,1dpQOo/qq024nBwqtN3g6w,
10,11217,765,565,5,1,N,N,WS_Open,15,building-15,,11208,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,8YfkHH/mPUyXwy35qJK2Xw,1dpQOo/qq024nBwqtN3g6w,
