,task_id,actv_code_type_id,actv_code_id,proj_id
0,109717,7295,13519,765
1,109718,7295,13519,765
2,109719,7295,13518,765
3,109720,7295,13519,765
4,109723,7295,13518,765
5,109728,7295,13519,765
6,109729,7295,13518,765
7,109730,7295,13518,765
8,109731,7295,13518,765
9,109732,7295,13518,765
10,109733,7295,13518,765
11,109734,7295,13518,765
12,109735,7295,13518,765
13,109736,7295,13518,765
14,109737,7295,13518,765
15,109738,7295,13518,765
16,109739,7295,13518,765
17,109740,7295,13518,765
18,109741,7295,13518,765
19,109742,7295,13524,765
20,109743,7295,13524,765
21,109744,7295,13524,765
22,109745,7295,13524,765
23,109746,7295,13524,765
24,109747,7295,13524,765
25,109748,7295,13524,765
26,109749,7297,13528,765
27,109751,7297,13528,765
28,109755,7295,13518,765
29,109756,7295,13523,765
30,109759,7295,13522,765
31,109760,7295,13522,765
32,109761,7295,13522,765
33,109762,7295,13522,765
34,109763,7295,13522,765
35,109763,7297,13528,765
36,109764,7295,13523,765
37,109764,7297,13526,765
38,109765,7295,13523,765
39,109766,7295,13523,765
40,109767,7295,13523,765
41,109769,7297,13526,765
42,109772,7295,13520,765
43,109772,7297,13526,765
44,109776,7297,13528,765
45,109777,7297,13526,765
46,109779,7295,13523,765
47,109779,7297,13528,765
48,109780,7297,13528,765
49,109781,7295,13522,765
50,109781,7297,13526,765
51,109782,7297,13528,765
52,109794,7297,13528,765
53,109819,7295,13519,765
54,109820,7295,13519,765
55,109821,7295,13518,765
56,109822,7295,13519,765
57,109825,7295,13518,765
58,109830,7295,13519,765
59,109831,7295,13518,765
60,109832,7295,13518,765
61,109833,7295,13518,765
62,109834,7295,13518,765
63,109835,7295,13518,765
64,109836,7295,13518,765
65,109837,7295,13518,765
66,109838,7295,13518,765
67,109839,7295,13518,765
68,109840,7295,13518,765
69,109841,7295,13518,765
70,109842,7295,13518,765
71,109843,7295,13518,765
72,109844,7295,13524,765
73,109845,7295,13524,765
74,109846,7295,13524,765
75,109847,7295,13524,765
76,109848,7295,13524,765
77,109849,7295,13524,765
78,109850,7295,13524,765
79,109851,7297,13528,765
80,109853,7297,13528,765
81,109857,7295,13518,765
82,109858,7295,13523,765
83,109861,7295,13522,765
84,109862,7295,13522,765
85,109863,7295,13522,765
86,109864,7295,13522,765
87,109865,7295,13522,765
88,109865,7297,13528,765
89,109866,7295,13523,765
90,109866,7297,13526,765
91,109867,7295,13523,765
92,109868,7295,13523,765
93,109869,7295,13523,765
94,109871,7297,13526,765
95,109874,7295,13520,765
96,109874,7297,13526,765
97,109878,7297,13528,765
98,109879,7297,13526,765
99,109881,7295,13523,765
100,109881,7297,13528,765
101,109882,7297,13528,765
102,109883,7295,13522,765
103,109883,7297,13526,765
104,109884,7297,13528,765
105,109896,7297,13528,765
106,109921,7295,13519,765
107,109922,7295,13519,765
108,109923,7295,13518,765
109,109924,7295,13519,765
110,109927,7295,13518,765
