,taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,pobs_id,skill_level,pend_complete_pct,remain_qty,pend_remain_qty,target_qty,remain_qty_per_hr,pend_act_reg_qty,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,pend_act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,target_crv,remain_crv,actual_crv,ts_pend_act_end_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,create_user,create_date,old_restart_date,old_reend_date,old_remain_drtn_hr_cnt,has_rsrchours,taskrsrc_sum_id
0,282644,109729,765,Y,,,2668,,,,16,,16,0.25,,0,0.25,0,,0,0,0,350,5600,0,0,5600,,,2010-06-21 08:00,2010-06-29 16:00,2010-06-21 08:00,2010-06-29 16:00,2010-06-21 08:00,2010-06-29 16:00,Y,,,,N,2Kuvmf+MeECBN4hFCyPlOg,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-05-10 09:10,,,,,
1,282645,109735,765,Y,,,2668,,,,64,,64,1,,0,1,0,,0,0,0,350,22400,0,0,22400,,,2010-09-30 08:00,2010-10-09 16:00,2010-09-30 08:00,2010-10-09 16:00,2010-09-30 08:00,2010-10-09 16:00,Y,,,,N,wF6wJZL5N0CKXVbO7+9LzQ,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-05-10 09:10,,,,,
2,282646,109739,765,Y,,,2668,,,,64,,64,1,,0,1,0,,0,0,0,350,22400,0,0,22400,,,2010-12-07 08:00,2010-12-15 16:00,2010-12-07 08:00,2010-12-15 16:00,2010-12-07 08:00,2010-12-15 16:00,Y,,,,N,RjJA5nubFEmw0jfwN5QMEQ,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-05-10 09:10,,,,,
3,282647,109733,765,Y,,,2668,,,,64,,64,1,,0,1,0,,0,0,0,350,22400,0,0,22400,,,2010-08-28 08:00,2010-09-05 16:00,2010-08-28 08:00,2010-09-05 16:00,2010-08-28 08:00,2010-09-05 16:00,Y,,,,N,nuT6a0rBN0GoB3LpO50uEw,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-05-10 09:10,,,,,
4,282648,109737,765,Y,,,2668,,,,64,,64,1,,0,1,0,,0,0,0,350,22400,0,0,22400,,,2010-11-03 08:00,2010-11-11 16:00,2010-11-03 08:00,2010-11-11 16:00,2010-11-03 08:00,2010-11-11 16:00,Y,,,,N,HLoyQfJrskyX6TmVvfXy+g,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-05-10 09:10,,,,,
5,282649,109731,765,Y,,,2668,,,,64,,64,1,,0,1,0,,0,0,0,350,22400,0,0,22400,,,2010-07-25 08:00,2010-08-02 16:00,2010-07-25 08:00,2010-08-02 16:00,2010-07-25 08:00,2010-08-02 16:00,Y,,,,N,Q1ika6hchUWCG2iSm5PM6Q,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-05-10 09:10,,,,,
6,282650,109740,765,Y,,,2668,,,,32,,32,1,,0,1,0,,0,0,0,350,11200,0,0,11200,,,2011-01-10 08:00,2011-01-13 16:00,2011-01-10 08:00,2011-01-13 16:00,2011-01-15 08:00,2011-01-18 16:00,Y,,,,N,RoUGW3voKE2KLvIM2SY4+A,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-05-10 09:10,,,,,
7,282651,109730,765,Y,,,2668,,,,168,,168,1,,0,1,0,,0,0,0,350,58800,0,0,58800,,,2010-06-30 08:00,2010-07-24 16:00,2010-06-30 08:00,2010-07-24 16:00,2010-06-30 08:00,2010-07-24 16:00,Y,,,,N,mSgIdR2yF02E4Nnbh3Vg5A,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-05-10 09:10,,,,,
8,282652,109732,765,Y,,,2668,,,,168,,168,1,,0,1,0,,0,0,0,350,58800,0,0,58800,,,2010-08-03 08:00,2010-08-26 16:00,2010-08-03 08:00,2010-08-26 16:00,2010-08-03 08:00,2010-08-26 16:00,Y,,,,N,HSftamiHK0mzcn1ZoIXwig,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-05-10 09:10,,,,,
9,282653,109736,765,Y,,,2668,,,,168,,168,1,,0,1,0,,0,0,0,350,58800,0,0,58800,,,2010-10-10 08:00,2010-11-02 16:00,2010-10-10 08:00,2010-11-02 16:00,2010-10-10 08:00,2010-11-02 16:00,Y,,,,N,zQ1PJME8vEC6MukgxhZ77A,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-05-10 09:10,,,,,
