,actv_code_type_id,actv_short_len,seq_num,actv_code_type,proj_id,wbs_id,actv_code_type_scope
0,1051,4,73750,Responsibility,,,AS_Global
1,1052,7,202,MEP Systems,,,AS_Global
2,1053,7,204,MEP Steps,,,AS_Global
3,1184,7,200,Trade-2,,,AS_Global
4,1185,7,301,Level-2,,,AS_Global
5,1186,7,401,Floor-2,,,AS_Global
6,1187,7,104,Division-2,,,AS_Global
7,1188,7,0,Sub Zone,,,AS_Global
8,1189,7,105,Areas,,,AS_Global
9,1190,7,106,Level 7,,,AS_Global
10,1191,3,67970,Bldg,,,AS_Global
11,1192,7,201,Fix,,,AS_Global
12,1334,11,0,Structural,1749,,AS_Project
13,1335,7,100,Finishing,1749,,AS_Project
14,1336,7,200,Facade,1749,,AS_Project
15,1337,7,300,Engineering,1749,,AS_Project
16,1338,7,400,Procurement,1749,,AS_Project
