,wbs_id,proj_id,obs_id,seq_num,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,35512,1749,565,200,Y,N,WS_Open,Z2 RR R1.03,"""""FORUM EL DJAZAIR"""" - Zone 2 - OFFICE BUILDINGS",,24621,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,Y8Bk2Dlm/UubrThXCp84Zw,,
1,35513,1749,565,4,N,N,WS_Open,Const,Construction,,35512,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,/gE60NYx6EKdO4UT5k5wRA,,
2,35514,1749,565,2,N,N,WS_Open,2,Engineering,,35512,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,/kn1G5ZpiEqrNl2YyXPgCA,,
3,35515,1749,565,106,N,N,WS_Open,6,Project Handing Over,,35512,4,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,ffte9wBPZ0aEga7XNNPBnA,,
4,35516,1749,565,3,N,N,WS_Open,3,Procurement,,35512,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,Gc2LW5SXVU6jiq56IemQfg,,
5,35517,1749,565,0,N,N,WS_Open,1,General Requirement & Milestones,,35512,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,+Vd/x7qWxE2FoOLdnkD/JA,,
6,35518,1749,565,1,N,N,WS_Open,2,Testing and Commissioning,,35515,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,EaI/4w4qQUW8oFwdpy0+gg,mJeTmO8fukyhhntmu46mTw,
7,35519,1749,565,0,N,N,WS_Open,3,Offices Buildings,,35513,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,PHKBEMU170WIdtaZAdd6kQ,,
8,35520,1749,565,0,N,N,WS_Open,1,Authority Approvals,,35515,4,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,N9ki4s44sE+HLnCd1Q8YvA,cuwrI1IY50KBeogHW+gJhw,
9,35521,1749,565,202,N,N,WS_Open,5,MEP Procurment,,35516,4,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,8r6+fL2ciEy1lQdzfT7W5Q,936ba3HXkk2opqyqaLtjew,
10,35522,1749,565,106,N,N,WS_Open,4,Snagging & Desnagging,,35515,4,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,xbW2ytDSe0eG1mx5lBoXGw,,
11,35523,1749,565,2,N,N,WS_Open,1,Structural,,35514,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,SpqUWvJT4kmILmWb1tA51g,,
12,35524,1749,565,200,N,N,WS_Open,6,Provisional Sums,,35513,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,Wln0lsVo+UyvkdU68r2MCA,,
13,35525,1749,565,202,N,N,WS_Open,3,MEP Shop Drawings,,35514,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,8OrIQSPIp0G/gJs8OS4BHQ,Do0eMpRqR06j4HZi+bypdw,
14,35526,1749,565,6,N,N,WS_Open,3,As Built Drawing and O&M Manuals,,35515,4,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,Q2cYiXv54k6D4LpmkPI1MQ,,
