,rsrc_rate_id,rsrc_id,max_qty_per_hr,cost_per_qty,start_date,shift_period_id,cost_per_qty2,cost_per_qty3,cost_per_qty4,cost_per_qty5
0,1847,1402,1,0.0000,2013-01-01 00:00,,,,,
1,2981,3752,1,0.0000,2013-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
2,3028,4433,1,0.0000,2014-01-01 00:00,,,,,
3,3029,4434,1,0.0000,2014-01-01 00:00,,,,,
4,3030,4435,1,0.0000,2014-01-01 00:00,,,,,
5,3031,4436,1,0.0000,2014-01-01 00:00,,,,,
6,3032,4437,1,0.0000,2014-01-01 00:00,,,,,
7,3033,4438,1,0.0000,2014-01-01 00:00,,,,,
8,3034,4439,1,0.0000,2014-01-01 00:00,,,,,
9,3035,4440,1,0.0000,2014-01-01 00:00,,,,,
10,3036,4441,1,0.0000,2014-01-01 00:00,,,,,
11,3038,4443,1,0.0000,2014-01-01 00:00,,,,,
12,3039,4444,1,0.0000,2014-01-01 00:00,,,,,
13,3040,4445,1,0.0000,2014-01-01 00:00,,,,,
14,3041,4446,1,0.0000,2014-01-01 00:00,,,,,
15,3045,4450,1,0.0000,2014-01-01 00:00,,,,,
16,3048,4453,1,1.0000,2014-01-01 00:00,,,,,
17,3049,4480,1,0.0000,2013-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
18,3050,4457,90,0.0000,2012-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
19,3051,4456,137.5,0.0000,2012-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
20,3052,4455,287.5,0.0000,2012-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
21,3053,4454,43.75,0.0000,2012-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
22,3099,4604,1,0.0000,2014-01-01 00:00,,,,,
23,3101,4605,35,0.0000,2012-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
