,task_id,proj_id,wbs_id,clndr_id,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user,location_id
0,139743,1749,36056,642,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,BL2-MEP-EL-GF-3000,Lights Fitting Fixing,,1112,128,112,0,244,244,112,7336.659378,0,7336.659378,,,,2015-09-30 08:00,2015-10-13 16:00,,2015-05-11 08:00,2015-05-26 16:00,2015-05-11 08:00,2015-05-26 16:00,2015-05-11 08:00,2015-05-26 16:00,2015-09-30 08:00,2015-10-13 16:00,,PT_Normal,,,,,zzbE1zK1ykOwc3bjR2ymuw,//EC1zhfdEy2l7gtlABeMA,,,N,0,0,,,2014-04-05 12:27,2014-04-05 13:21,admin,admin,
1,139744,1749,36056,642,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,BL2-MEP-EL-GF-3050,Sockets and Switches Fixing,,1592,176,64,0,128,128,64,1174.957134,0,1174.957134,,,,2015-11-29 08:00,2015-12-06 16:00,,2015-05-11 08:00,2015-05-19 16:00,2015-05-11 08:00,2015-05-19 16:00,2015-05-11 08:00,2015-05-19 16:00,2015-11-29 08:00,2015-12-06 16:00,,PT_Normal,,,,,DQmR/QhVuk2GF0gjnxgbGQ,022xyUN3DUOkMuCQ/SrGZw,,,N,0,0,,,2014-04-05 12:27,2014-04-05 13:21,admin,admin,
2,139745,1749,36056,642,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,BL2-MEP-EL-GF-3010,Emergency Light Fixing,,1648,176,64,0,128,128,64,5722.024623,0,5722.024623,,,,2015-12-06 08:00,2015-12-13 16:00,,2015-05-11 08:00,2015-05-19 16:00,2015-05-11 08:00,2015-05-19 16:00,2015-05-11 08:00,2015-05-19 16:00,2015-12-06 08:00,2015-12-13 16:00,,PT_Normal,,,,,gefLRCgQhEig/FgikkBaPQ,wzsdPiCUIkyj1JvGMpcRjA,,,N,0,0,,,2014-04-05 12:27,2014-04-05 13:21,admin,admin,
3,139746,1749,36056,642,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,BL2-MEP-EL-GF-3020,Fire Alarm System Detector Installation,,1272,144,96,0,192,192,96,4046.378277,0,4046.378277,,,,2015-10-20 08:00,2015-10-31 16:00,,2015-05-11 08:00,2015-05-24 16:00,2015-05-11 08:00,2015-05-24 16:00,2015-05-11 08:00,2015-05-24 16:00,2015-10-20 08:00,2015-10-31 16:00,,PT_Normal,,,,,DeGdELTmwkCUUgkniuuxrA,rrBJAexjzUi0vpXMhQUPFA,,,N,0,0,,,2014-04-05 12:27,2014-04-05 13:21,admin,admin,
4,139747,1749,36056,642,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,BL2-MEP-EL-GF-3070,SMDB's  Termination and Final Connection,,1688,192,48,0,192,192,48,2791.825001,0,2791.825001,,,,2015-12-11 08:00,2015-12-16 16:00,,2015-05-11 08:00,2015-05-17 16:00,2015-05-11 08:00,2015-05-17 16:00,2015-05-11 08:00,2015-05-17 16:00,2015-12-11 08:00,2015-12-16 16:00,,PT_Normal,,,,,uMa3PtUXCESwbk46EsI/Ng,OSoqy+1jOEyXOjeoEDsiqw,,,N,0,0,,,2014-04-05 12:27,2014-04-05 13:21,admin,admin,
5,139748,1749,36086,642,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,BL2-MEP-EL-GF-3060,Power Cable Puling,,1344,184,112,0,168,168,112,6375.759893,0,6375.759893,,,,2015-09-16 08:00,2015-09-29 16:00,,2015-03-22 08:00,2015-04-06 16:00,2015-03-22 08:00,2015-04-06 16:00,2015-03-22 08:00,2015-04-06 16:00,2015-09-16 08:00,2015-09-29 16:00,,PT_Normal,,,,,nD26eX+QCkWmc0OULNHhdg,Ih7scccOSEO289tVc0ikgw,,,N,0,0,,,2014-04-05 12:27,2014-04-05 13:21,admin,admin,
6,139749,1749,36056,642,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,BL2-MEP-EL-GF-3030,Despature for Low Current  System Installation,4455,1904,0,112,0,336,336,112,72752.164276,0,72752.164276,,,,2016-01-07 08:00,2016-01-20 16:00,,2015-05-11 08:00,2015-05-26 16:00,2015-05-11 08:00,2015-05-26 16:00,2015-05-11 08:00,2015-05-26 16:00,2016-01-07 08:00,2016-01-20 16:00,,PT_Normal,,,,,Gw9rX/Am10eKkCFRAMMz+A,0PqA5Jl+L0meUGxZU0bN7w,,,N,0,0,,,2014-04-05 12:27,2014-04-05 13:21,admin,admin,
7,139750,1749,36056,642,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,BL2-MEP-EL-GF-3040,Low Current  System Outlet installation and Connection,4455,1904,832,80,0,80,80,80,3870.787498,0,3870.787498,,,,2016-01-21 08:00,2016-01-30 16:00,,2015-05-27 08:00,2015-06-06 16:00,2015-05-27 08:00,2015-06-06 16:00,2015-05-27 08:00,2015-06-06 16:00,2016-01-21 08:00,2016-01-30 16:00,,PT_Normal,,,,,cx75MF4x1kKaH/u+rfuvGg,fh9SNXVJn0agHeF9FMTxsg,,,N,0,0,,,2014-04-05 12:27,2014-04-05 13:21,admin,admin,
8,139751,1749,36067,642,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,BL2-MEP-EL-GF-1000,PVC Back Boxes and Conduits  Fixing in Wall,,472,0,176,0,384,384,176,3329.67233,0,3329.67233,,,,2015-03-11 08:00,2015-04-05 16:00,,2014-12-30 08:00,2015-01-26 16:00,2014-12-30 08:00,2015-01-26 16:00,2014-12-30 08:00,2015-01-26 16:00,2015-03-11 08:00,2015-04-05 16:00,,PT_Normal,,,,,m1TwQjwlBE2kbUDzduisRw,XCiLsVRkyUOPLqVSf84dvw,,,N,0,0,,,2014-04-05 12:27,2014-04-05 13:21,admin,admin,
9,139752,1749,36067,642,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,BL2-MEP-EL-GF-1010,DB's Inclosure Fixing,4455,536,56,48,0,96,96,48,2136.399392,0,2136.399392,,,,2015-03-31 08:00,2015-04-06 16:00,,2015-01-12 08:00,2015-01-18 16:00,2015-01-12 08:00,2015-01-18 16:00,2015-01-12 08:00,2015-01-18 16:00,2015-03-31 08:00,2015-04-06 16:00,,PT_Normal,,,,,NuZ1VnE7x0O24EdI7TfhlA,gJczYK1CO0uTWRqB9IWUBw,,,N,0,0,,,2014-04-05 12:27,2014-04-05 13:21,admin,admin,
