,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,11222,1180,565,301,1,Y,N,WS_Open,BEYTI-REV C-2base,Beyti (baseline),,10170,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,lUpwL1KtS7+aqsRA5aCfPA,,
1,11223,1180,565,9,1,N,N,WS_Open,Procurement,Procurement,,11222,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,FzsoZwYtR5ifkmMRDX0WbQ,,
2,11224,1180,565,107,1,N,N,WS_Open,Delivery date,Delivery date,,11223,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,+Wl5PtPoS1e/Z0ku0ONu9A,,
3,11225,1180,565,7,1,N,N,WS_Open,Procurement,Purchase order,,11223,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,vcHPOIN/TlabCw1Alue9sg,,
4,11226,1180,565,2,1,N,N,WS_Open,1,Material,,11222,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,b3e8mbRwQ4mq5/FUQ99P0Q,,
5,11246,1180,565,0,1,N,N,WS_Open,BEYTI-REV A,Project Milestones & key dates,,11222,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,r4fjw/+ISEiVK2XRWCWsNw,L63wXJZpcEiRK58PCuuzwQ,
6,11247,1180,565,1,1,N,N,WS_Open,1,Internal audit,,11246,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,ZTWCHzcFQ02Q3cj9IGOMdg,,
7,11248,1180,565,11,1,N,N,WS_Open,7,Construction,,11222,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,oO7qCTzpTla/co1jUfW28Q,,
8,11249,1180,565,2,1,N,N,WS_Open,3,Juice Preparation,,11248,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,ccxHoGXIRGOk8JHeQGgn4g,zsgeFky3uEaj2yzajxL7ew,
9,11250,1180,565,3,1,N,N,WS_Open,3,Civil works,,11249,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,a20EPRtiSaauKleHtXNYJQ,,
10,11251,1180,565,7,1,N,N,WS_Open,4,Arch works,,11249,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,wLWWNLgAStKKVxNzvM0Yyw,,
11,11252,1180,565,6,1,N,N,WS_Open,2,Pet Filling Line,,11248,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,FVQwVQtZTEaWu1Ez9jk29g,t3kTuzGKbEym9yaHf4ASdA,
