,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user
0,85169,1180,11224,841,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,DD170,Guard bollard delivery on site,,40,0,0,0,0,0,0,0,0,0,,,,2012-04-01 08:00,2012-04-01 08:00,,2012-03-26 08:00,2012-03-26 08:00,2012-03-26 08:00,2012-03-26 08:00,2012-03-26 08:00,2012-03-26 08:00,,2012-04-01 08:00,2012-04-01 08:00,,PT_Normal,,,,,QbVkOQoCRiKxnC6eubPAKA,,,,N,0,0,,,2011-11-20 13:37,2011-11-20 13:37,admin,admin
1,85170,1180,11224,841,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,DD200,Windows delivery on site,,128,104,0,0,0,0,0,0,0,0,,,,2012-04-28 08:00,2012-04-28 08:00,,2012-04-09 08:00,2012-04-09 08:00,2012-04-09 08:00,2012-04-09 08:00,2012-04-09 08:00,2012-04-09 08:00,,2012-04-28 08:00,2012-04-28 08:00,,PT_Normal,,,,,gEp0Q/acTs6GHCGFXsg+tA,yG244tJxSSyUfgdrznr8kA,,,N,0,0,,,2011-11-20 13:37,2011-11-20 13:37,admin,admin
2,85171,1180,11224,841,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,DD210,Doors delivery on site,,0,0,0,0,0,0,0,0,0,0,,,,2012-04-05 08:00,2012-04-05 08:00,,2012-04-05 08:00,2012-04-05 08:00,2012-04-05 08:00,2012-04-05 08:00,2012-04-05 08:00,2012-04-05 08:00,,2012-04-05 08:00,2012-04-05 08:00,,PT_Normal,,,,,1u8ERTAdRyCLlE7rNBsALQ,LwxOL0OA70ir27sTopBkvQ,,,Y,0,0,,,2011-11-20 13:37,2011-11-20 13:37,admin,admin
3,85172,1180,11224,841,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,DD140,Polyurethane delivery on site,,48,0,0,0,0,0,0,0,0,0,,,,2012-04-22 08:00,2012-04-22 08:00,,2012-04-15 08:00,2012-04-15 08:00,2012-04-15 08:00,2012-04-15 08:00,2012-04-15 08:00,2012-04-15 08:00,,2012-04-22 08:00,2012-04-22 08:00,,PT_Normal,,,,,LKG+lP3DTOeE0TkoBw9Geg,,,,N,0,0,,,2011-11-20 13:37,2011-11-20 13:37,admin,admin
4,85173,1180,11224,841,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,DD120,Delivery of walk-on-ceiling laminated with electrostatic galvanized steel,,56,32,0,0,0,0,0,0,0,0,,,,2012-03-26 16:00,2012-03-26 16:00,,2012-03-19 08:00,2012-03-19 08:00,2012-03-19 08:00,2012-03-19 08:00,2012-03-19 08:00,2012-03-19 08:00,,2012-03-26 16:00,2012-03-26 16:00,,PT_Normal,,,,,H1I6qFn0T6iAm5QZPzqt4g,,,,N,0,0,,,2011-11-20 13:37,2011-11-20 13:37,admin,admin
5,85174,1180,11224,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDrtn,RV_OK,TK_NotStart,DD110,Steel structure delivery on site,,40,8,96,0,0,0,96,0,0,0,,,,2012-02-06 08:00,2012-02-19 16:00,,2012-01-31 08:00,2012-02-13 16:00,2012-01-31 08:00,2012-02-13 16:00,2012-01-31 08:00,2012-02-13 16:00,,2012-02-06 08:00,2012-02-19 16:00,,PT_Normal,,,,,kJ8IDse1SHuGyot0oDt+SA,,,,N,0,0,,,2011-11-20 13:37,2011-11-20 13:37,admin,admin
6,85175,1180,11224,841,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,DD130,Metal works delivery on site,,72,24,0,0,0,0,0,0,0,0,,,,2012-04-12 08:00,2012-04-12 08:00,,2012-04-02 08:00,2012-04-02 08:00,2012-04-02 08:00,2012-04-02 08:00,2012-04-02 08:00,2012-04-02 08:00,,2012-04-12 08:00,2012-04-12 08:00,,PT_Normal,,,,,tR90KcTzSeqlBsn2QLHwVQ,,,,N,0,0,,,2011-11-20 13:37,2011-11-20 13:37,admin,admin
7,85176,1180,11224,841,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,DD100,Sandwich panel delivery on site,,232,72,0,0,0,0,0,0,0,0,,,,2012-03-12 08:00,2012-03-12 08:00,,2012-02-07 08:00,2012-02-07 08:00,2012-02-07 08:00,2012-02-07 08:00,2012-02-07 08:00,2012-02-07 08:00,,2012-03-12 08:00,2012-03-12 08:00,,PT_Normal,,,,,sGesmLyVTEywA634jNZppQ,,,,N,0,0,,,2011-11-20 13:37,2011-11-20 13:37,admin,admin
8,85177,1180,11224,841,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,DD150,Steel stairs Delivery on site,,304,72,0,0,0,0,0,0,0,0,,,,2012-04-28 08:00,2012-04-28 08:00,,2012-03-14 08:00,2012-03-14 08:00,2012-03-14 08:00,2012-03-14 08:00,2012-03-14 08:00,2012-03-14 08:00,,2012-04-28 08:00,2012-04-28 08:00,,PT_Normal,,,,,bzCaiw91SSOQLPJwQJ9KMQ,,,,N,0,0,,,2011-11-20 13:37,2011-11-20 13:37,admin,admin
9,85178,1180,11224,841,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,DD160,Roll up shutter doors delivery on site,,8,0,0,0,0,0,0,0,0,0,,,,2012-04-18 08:00,2012-04-18 08:00,,2012-04-17 08:00,2012-04-17 08:00,2012-04-17 08:00,2012-04-17 08:00,2012-04-17 08:00,2012-04-17 08:00,,2012-04-18 08:00,2012-04-18 08:00,,PT_Normal,,,,,OTPvd182SMG1VJeeMDhXbQ,,,,N,0,0,,,2011-11-20 13:37,2011-11-20 13:37,admin,admin
