,task_id,actv_code_type_id,actv_code_id,proj_id
0,85169,7250,12729,1180
1,85170,7250,12730,1180
2,85171,7250,12730,1180
3,85172,7250,12729,1180
4,85173,7250,12729,1180
5,85174,7250,12728,1180
6,85175,7250,12730,1180
7,85176,7250,12729,1180
8,85177,7250,12730,1180
9,85178,7250,12729,1180
10,85179,7250,12729,1180
11,85180,7250,12730,1180
12,85181,7250,12730,1180
13,85182,7250,12729,1180
14,85183,7250,12729,1180
15,85184,7250,12728,1180
16,85185,7250,12730,1180
17,85186,7250,12729,1180
18,85187,7250,12729,1180
19,85188,7250,12729,1180
20,85189,7250,12729,1180
21,85190,7250,12729,1180
22,85191,7250,12729,1180
23,85192,7250,12729,1180
24,85193,7250,12729,1180
25,85194,7250,12729,1180
26,85195,7250,12729,1180
27,85196,7250,12729,1180
28,85197,7250,12729,1180
29,85198,7250,12729,1180
30,85199,7250,12729,1180
31,85200,7250,12729,1180
32,85201,7250,12729,1180
33,85202,7250,12729,1180
34,85203,7250,12729,1180
35,85204,7250,12729,1180
36,85205,7250,12729,1180
37,85206,7250,12729,1180
38,85207,7250,12729,1180
39,85208,7250,12729,1180
40,85209,7250,12729,1180
41,85210,7250,12729,1180
42,85211,7250,12729,1180
43,85212,7250,12729,1180
44,85213,7250,12729,1180
45,85214,7250,12729,1180
46,85215,7250,12729,1180
47,85216,7250,12729,1180
48,85217,7250,12729,1180
49,85218,7250,12729,1180
50,85219,7250,12729,1180
51,85220,7250,12729,1180
52,85221,7250,12729,1180
53,85222,7250,12729,1180
54,85223,7250,12729,1180
55,85224,7250,12729,1180
56,85242,7250,12728,1180
57,85242,7251,12731,1180
58,85243,7250,12728,1180
59,85243,7251,12731,1180
60,85244,7250,12728,1180
61,85244,7251,12731,1180
62,85245,7250,12728,1180
63,85245,7251,12731,1180
64,85246,7250,12728,1180
65,85246,7251,12731,1180
66,85247,7250,12728,1180
67,85247,7251,12731,1180
68,85248,7250,12728,1180
69,85248,7251,12732,1180
70,85249,7250,12728,1180
71,85249,7251,12731,1180
72,85250,7250,12728,1180
73,85250,7251,12732,1180
74,85251,7250,12728,1180
75,85251,7251,12732,1180
76,85252,7250,12728,1180
77,85252,7251,12731,1180
78,85253,7250,12728,1180
79,85253,7251,12733,1180
80,85254,7250,12728,1180
81,85254,7251,12734,1180
82,85255,7250,12728,1180
83,85255,7251,12732,1180
84,85256,7250,12728,1180
85,85256,7251,12731,1180
86,85257,7250,12728,1180
87,85257,7251,12731,1180
88,85258,7250,12728,1180
89,85258,7251,12732,1180
90,85259,7250,12729,1180
91,85259,7251,12732,1180
92,85260,7250,12729,1180
93,85260,7251,12732,1180
94,85261,7250,12729,1180
95,85261,7251,12732,1180
96,85262,7250,12729,1180
97,85262,7251,12732,1180
98,85263,7250,12729,1180
99,85263,7251,12732,1180
100,85264,7250,12729,1180
101,85264,7251,12732,1180
102,85265,7250,12729,1180
103,85265,7251,12734,1180
104,85266,7250,12729,1180
105,85266,7251,12734,1180
106,85267,7250,12729,1180
107,85267,7251,12734,1180
108,85268,7250,12729,1180
109,85268,7251,12732,1180
110,85269,7250,12729,1180
111,85269,7251,12732,1180
112,85270,7250,12729,1180
113,85270,7251,12733,1180
114,85271,7250,12729,1180
115,85271,7251,12732,1180
116,85272,7250,12729,1180
117,85272,7251,12733,1180
118,85273,7250,12729,1180
119,85273,7251,12733,1180
120,85274,7250,12729,1180
121,85274,7251,12734,1180
122,85275,7250,12729,1180
123,85275,7251,12732,1180
124,85276,7250,12729,1180
125,85276,7251,12732,1180
126,85277,7250,12729,1180
127,85277,7251,12734,1180
128,85278,7250,12729,1180
129,85278,7251,12732,1180
130,85279,7250,12729,1180
131,85279,7251,12732,1180
132,85280,7250,12729,1180
133,85280,7251,12732,1180
134,85281,7250,12729,1180
135,85281,7251,12732,1180
136,85282,7250,12729,1180
137,85282,7251,12732,1180
138,85283,7250,12728,1180
139,85283,7251,12731,1180
140,85283,7252,12735,1180
141,85284,7250,12728,1180
142,85284,7251,12731,1180
143,85284,7252,12735,1180
144,85285,7250,12728,1180
145,85285,7251,12731,1180
146,85285,7252,12735,1180
147,85286,7250,12728,1180
148,85286,7251,12731,1180
149,85286,7252,12735,1180
150,85287,7250,12728,1180
151,85287,7251,12731,1180
152,85287,7252,12735,1180
153,85288,7250,12728,1180
154,85288,7251,12731,1180
155,85288,7252,12735,1180
156,85289,7250,12728,1180
157,85289,7251,12732,1180
158,85289,7252,12735,1180
159,85290,7250,12728,1180
160,85290,7251,12732,1180
161,85290,7252,12735,1180
162,85291,7250,12728,1180
163,85291,7251,12732,1180
164,85291,7252,12735,1180
165,85292,7250,12728,1180
166,85292,7251,12732,1180
167,85292,7252,12735,1180
168,85293,7250,12728,1180
169,85293,7251,12731,1180
170,85293,7252,12735,1180
171,85294,7250,12728,1180
172,85294,7251,12732,1180
173,85294,7252,12735,1180
174,85295,7250,12728,1180
175,85295,7251,12733,1180
176,85295,7252,12735,1180
177,85296,7250,12728,1180
178,85296,7251,12733,1180
179,85296,7252,12735,1180
180,85297,7250,12728,1180
181,85297,7251,12733,1180
182,85297,7252,12735,1180
183,85298,7250,12728,1180
184,85298,7251,12733,1180
185,85298,7252,12735,1180
186,85299,7250,12728,1180
187,85299,7251,12732,1180
188,85299,7252,12735,1180
189,85300,7250,12728,1180
190,85300,7251,12734,1180
191,85300,7252,12735,1180
192,85301,7250,12728,1180
193,85301,7251,12733,1180
194,85301,7252,12735,1180
195,85302,7250,12728,1180
196,85302,7251,12733,1180
197,85302,7252,12735,1180
198,85303,7250,12728,1180
199,85303,7251,12732,1180
200,85303,7252,12735,1180
201,85305,7250,12728,1180
202,85305,7251,12732,1180
203,85305,7252,12735,1180
204,85306,7250,12728,1180
205,85306,7251,12731,1180
206,85306,7252,12735,1180
207,85307,7250,12728,1180
208,85307,7251,12731,1180
209,85307,7252,12735,1180
210,85308,7250,12728,1180
211,85308,7251,12732,1180
212,85308,7252,12735,1180
213,85309,7250,12728,1180
214,85309,7251,12732,1180
215,85309,7252,12735,1180
216,85310,7250,12728,1180
217,85310,7251,12732,1180
218,85310,7252,12735,1180
219,85311,7250,12728,1180
220,85311,7251,12732,1180
221,85311,7252,12735,1180
222,85312,7250,12729,1180
223,85312,7251,12734,1180
224,85312,7252,12735,1180
225,85313,7250,12729,1180
226,85313,7251,12732,1180
227,85313,7252,12735,1180
228,85314,7250,12730,1180
229,85314,7251,12732,1180
230,85314,7252,12735,1180
231,85315,7250,12730,1180
232,85315,7251,12732,1180
233,85315,7252,12735,1180
234,85316,7250,12729,1180
235,85316,7251,12732,1180
236,85316,7252,12735,1180
237,85317,7250,12729,1180
238,85317,7251,12732,1180
239,85317,7252,12735,1180
240,85318,7250,12729,1180
241,85318,7251,12732,1180
242,85318,7252,12735,1180
243,85319,7250,12729,1180
244,85319,7251,12732,1180
245,85319,7252,12735,1180
246,85320,7250,12729,1180
247,85320,7251,12732,1180
248,85320,7252,12735,1180
249,85321,7250,12729,1180
250,85321,7251,12732,1180
251,85321,7252,12735,1180
252,85322,7250,12729,1180
253,85322,7251,12732,1180
254,85322,7252,12735,1180
255,85323,7250,12729,1180
256,85323,7251,12732,1180
257,85323,7252,12735,1180
258,85324,7250,12729,1180
259,85324,7251,12732,1180
260,85324,7252,12735,1180
261,85325,7250,12729,1180
262,85325,7251,12733,1180
263,85325,7252,12735,1180
264,85326,7250,12729,1180
265,85326,7251,12732,1180
266,85326,7252,12735,1180
267,85327,7250,12729,1180
268,85327,7251,12733,1180
269,85327,7252,12735,1180
270,85328,7250,12729,1180
271,85328,7251,12733,1180
272,85328,7252,12735,1180
273,85329,7250,12729,1180
274,85329,7251,12733,1180
275,85329,7252,12735,1180
276,85330,7250,12729,1180
277,85330,7251,12732,1180
278,85330,7252,12735,1180
279,85331,7250,12729,1180
280,85331,7251,12732,1180
281,85331,7252,12735,1180
282,85332,7250,12729,1180
