,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,79330,85341,85171,1180,1180,PR_FS,0,,2012-04-05 08:00,2012-04-25 08:00
1,79331,85248,85174,1180,1180,PR_SS,0,,2012-01-31 08:00,2012-02-08 08:00
2,79332,85270,85176,1180,1180,PR_FS,0,,2012-02-07 08:00,2012-04-22 08:00
3,79333,85335,85177,1180,1180,PR_FS,0,,2012-03-14 08:00,2012-04-28 08:00
4,79334,85170,85180,1180,1180,PR_FS,240,,2012-04-08 16:00,2012-03-24 08:00
5,79335,85171,85181,1180,1180,PR_FS,480,,2012-04-04 16:00,2012-01-26 08:00
6,79336,85421,85184,1180,1180,PR_FS,56,,2011-11-24 16:00,2012-01-21 08:00
7,79337,85192,85191,1180,1180,PR_FF,112,,2012-02-05 08:00,2012-04-11 08:00
8,79338,85298,85198,1180,1180,PR_FS,0,,2012-02-06 16:00,2012-04-02 08:00
9,79339,85208,85207,1180,1180,PR_SS,112,,2012-02-27 16:00,2012-03-24 08:00
10,79340,85327,85210,1180,1180,PR_FS,56,,2012-03-10 16:00,2012-04-21 08:00
11,79341,85269,85210,1180,1180,PR_FS,56,,2012-03-10 16:00,2012-04-11 08:00
12,79342,85326,85212,1180,1180,PR_FS,80,,2012-03-25 16:00,2012-04-19 08:00
13,79343,85216,85215,1180,1180,PR_FF,112,,2011-12-20 08:00,2012-01-08 08:00
14,79344,85222,85221,1180,1180,PR_FF,112,,2012-01-01 08:00,2012-04-05 08:00
15,79345,85229,85227,1180,1180,PR_FS,0,,2011-11-09 08:00,2011-11-09 08:00
16,79346,85201,85229,1180,1180,PR_FS,104,,2011-11-23 16:00,2012-02-22 08:00
17,79347,85199,85229,1180,1180,PR_FS,96,,2011-11-22 16:00,2011-11-17 08:00
18,79348,85209,85229,1180,1180,PR_FS,640,,2012-02-11 16:00,2011-11-19 08:00
19,79349,85401,85230,1180,1180,PR_FS,240,,2011-12-28 16:00,2011-11-23 08:00
20,79350,85278,85230,1180,1180,PR_FS,0,,2011-11-22 16:00,2011-11-26 08:00
21,79351,85238,85232,1180,1180,PR_FS,0,,2012-05-08 16:00,2012-05-08 16:00
22,79352,85238,85233,1180,1180,PR_FS,0,,2012-05-08 16:00,2012-05-08 16:00
23,79353,85251,85248,1180,1180,PR_FS,0,,2012-03-19 16:00,2012-04-05 08:00
24,79354,85263,85259,1180,1180,PR_FS,0,,2012-04-18 16:00,2012-04-29 08:00
25,79355,85269,85268,1180,1180,PR_FS,0,,2012-04-16 16:00,2012-04-19 08:00
26,79356,85287,85286,1180,1180,PR_FF,56,,2012-01-03 08:00,2012-01-12 08:00
27,79357,85316,85292,1180,1180,PR_FS,0,,2012-04-11 16:00,2012-04-22 08:00
28,79358,85305,85294,1180,1180,PR_FF,0,,2012-02-27 08:00,2012-03-08 16:00
29,79359,85329,85298,1180,1180,PR_SS,40,,2012-03-18 16:00,2012-03-15 08:00
30,79360,85324,85304,1180,1180,PR_FS,0,,2012-03-12 16:00,2012-03-24 08:00
31,79361,85316,85310,1180,1180,PR_FF,0,,2012-03-26 08:00,2012-05-08 16:00
32,79362,85299,85311,1180,1180,PR_SS,80,,2012-02-23 16:00,2012-02-16 08:00
33,79363,85299,85311,1180,1180,PR_FF,80,,2012-03-01 08:00,2012-03-28 08:00
34,79364,85324,85311,1180,1180,PR_FS,40,,2012-03-12 16:00,2012-03-18 08:00
35,79365,85232,85312,1180,1180,PR_FS,0,,2012-04-15 16:00,2012-05-08 16:00
36,79366,85308,85319,1180,1180,PR_FF,48,,2012-01-30 08:00,2012-03-07 08:00
37,79367,85314,85322,1180,1180,PR_FF,88,,2012-04-25 08:00,2012-04-26 08:00
38,79368,85326,85322,1180,1180,PR_SS,72,,2012-04-22 16:00,2012-04-09 08:00
39,79369,85326,85323,1180,1180,PR_FS,0,,2012-03-15 16:00,2012-05-01 08:00
40,79370,85327,85328,1180,1180,PR_FS,0,,2012-04-10 16:00,2012-04-29 08:00
41,79371,85332,85331,1180,1180,PR_FF,16,,2012-05-05 08:00,2012-05-07 08:00
42,79372,85418,85332,1180,1180,PR_FS,0,,2012-05-08 16:00,2012-05-08 16:00
43,79373,85380,85340,1180,1180,PR_FS,0,,2012-03-29 16:00,2012-04-10 08:00
44,79374,85356,85342,1180,1180,PR_FS,0,,2012-04-28 16:00,2012-04-30 08:00
45,79375,85344,85345,1180,1180,PR_FS,0,,2012-04-26 16:00,2012-04-30 08:00
46,79376,85348,85347,1180,1180,PR_FS,0,,2012-03-03 16:00,2012-03-14 08:00
47,79377,85350,85348,1180,1180,PR_FS,0,,2012-04-14 16:00,2012-04-18 08:00
48,79378,85346,85354,1180,1180,PR_FS,0,,2012-04-16 16:00,2012-04-18 08:00
49,79379,85418,85355,1180,1180,PR_FS,0,,2012-05-07 16:00,2012-05-08 16:00
50,79380,85233,85355,1180,1180,PR_FS,0,,2012-05-07 16:00,2012-05-08 16:00
51,79381,85338,85359,1180,1180,PR_FS,0,,2012-04-22 16:00,2012-05-01 08:00
52,79382,85382,85369,1180,1180,PR_FF,80,,2012-02-19 08:00,2012-03-03 08:00
53,79383,85372,85371,1180,1180,PR_FF,120,,2012-03-19 08:00,2012-04-01 08:00
54,79384,85348,85378,1180,1180,PR_FS,0,,2012-03-10 16:00,2012-03-14 08:00
55,79385,85371,85382,1180,1180,PR_SS,80,,2012-02-29 16:00,2012-02-08 08:00
56,79386,85384,85383,1180,1180,PR_SS,0,,2012-04-05 08:00,2012-04-12 08:00
57,79387,85385,85384,1180,1180,PR_FS,0,,2012-04-09 16:00,2012-04-21 08:00
58,79388,85237,85385,1180,1180,PR_FS,0,,2012-04-15 16:00,2012-04-25 16:00
59,79389,85390,85387,1180,1180,PR_FS,0,,2012-04-19 16:00,2012-04-21 08:00
60,79390,85387,85388,1180,1180,PR_FS,0,,2012-04-08 16:00,2012-04-09 08:00
61,79391,85394,85389,1180,1180,PR_FS,0,,2012-03-21 16:00,2012-04-01 08:00
62,79392,85391,85390,1180,1180,PR_FS,0,,2012-04-22 16:00,2012-04-23 08:00
63,79393,85390,85394,1180,1180,PR_FS,0,,2012-03-29 16:00,2012-04-21 08:00
64,79394,85181,85400,1180,1180,PR_FS,0,,2012-01-25 16:00,2012-01-26 08:00
65,79395,85400,85401,1180,1180,PR_SS,112,,2012-01-14 16:00,2011-12-18 08:00
66,79396,85185,85407,1180,1180,PR_FS,0,,2012-01-22 16:00,2012-02-02 08:00
67,79397,85420,85419,1180,1180,PR_FF,112,,2012-01-15 08:00,2012-01-17 08:00
68,79398,85337,85169,1180,1180,PR_FS,0,,2012-03-26 08:00,2012-04-26 08:00
69,79399,85334,85170,1180,1180,PR_FS,0,,2012-04-09 08:00,2012-04-28 08:00
70,79400,85358,85170,1180,1180,PR_FS,0,,2012-04-09 08:00,2012-04-28 08:00
71,79401,85321,85171,1180,1180,PR_FS,0,,2012-04-05 08:00,2012-04-25 08:00
72,79402,85383,85171,1180,1180,PR_FS,0,,2012-04-05 08:00,2012-04-05 08:00
73,79403,85289,85174,1180,1180,PR_FF,0,,2012-01-22 08:00,2012-02-28 16:00
74,79404,85369,85174,1180,1180,PR_FF,0,,2012-01-22 08:00,2012-03-01 16:00
75,79405,85172,85182,1180,1180,PR_FS,720,,2012-04-14 16:00,2012-01-08 08:00
76,79406,85175,85185,1180,1180,PR_FS,480,,2012-04-01 16:00,2012-02-02 08:00
77,79407,85192,85191,1180,1180,PR_SS,112,,2012-02-04 16:00,2012-04-07 08:00
78,79408,85343,85192,1180,1180,PR_FS,0,,2012-02-06 16:00,2012-04-28 08:00
79,79409,85193,85194,1180,1180,PR_FF,112,,2011-12-17 08:00,2011-12-13 08:00
80,79410,85196,85195,1180,1180,PR_SS,112,,2011-12-15 16:00,2011-12-08 08:00
81,79411,85200,85199,1180,1180,PR_SS,112,,2011-12-10 16:00,2011-11-23 08:00
82,79412,85200,85199,1180,1180,PR_FF,112,,2011-12-11 08:00,2011-12-11 08:00
83,79413,85183,85200,1180,1180,PR_FS,16,,2011-12-20 16:00,2011-12-27 08:00
84,79414,85206,85205,1180,1180,PR_SS,112,,2011-11-30 16:00,2011-12-08 08:00
85,79415,85208,85207,1180,1180,PR_FF,112,,2012-02-28 08:00,2012-03-31 08:00
86,79416,85322,85210,1180,1180,PR_FS,56,,2012-03-10 16:00,2012-04-04 08:00
87,79417,85212,85211,1180,1180,PR_SS,112,,2012-03-10 16:00,2012-03-21 08:00
88,79418,85214,85213,1180,1180,PR_FF,112,,2012-03-11 08:00,2012-03-25 08:00
89,79419,85333,85214,1180,1180,PR_FS,80,,2012-03-25 16:00,2012-04-16 08:00
90,79420,85305,85218,1180,1180,PR_FS,80,,2012-01-03 16:00,2012-02-15 08:00
91,79421,85222,85221,1180,1180,PR_SS,112,,2011-12-31 16:00,2012-03-29 08:00
92,79422,85267,85222,1180,1180,PR_FS,80,,2012-01-15 16:00,2012-04-22 08:00
93,79423,85226,85225,1180,1180,PR_FS,336,,2011-11-03 16:00,2011-09-17 08:00
94,79424,85223,85229,1180,1180,PR_FS,480,,2012-01-18 16:00,2012-01-11 08:00
95,79425,85195,85229,1180,1180,PR_FS,136,,2011-11-29 16:00,2011-11-20 08:00
96,79426,85241,85229,1180,1180,PR_FS,1000,,2012-04-03 16:00,2011-12-07 08:00
97,79427,85187,85229,1180,1180,PR_FS,72,,2011-11-19 16:00,2011-12-14 08:00
98,79428,85213,85229,1180,1180,PR_FS,720,,2012-02-22 16:00,2011-12-07 08:00
99,79429,85423,85230,1180,1180,PR_FS,112,,2011-12-10 16:00,2011-12-13 08:00
100,79430,85247,85246,1180,1180,PR_FS,0,,2012-01-18 16:00,2012-01-22 08:00
101,79431,85252,85247,1180,1180,PR_FS,0,,2012-01-26 16:00,2012-01-30 08:00
102,79432,85251,85250,1180,1180,PR_FS,0,,2012-02-19 16:00,2012-04-05 08:00
103,79433,85258,85251,1180,1180,PR_FF,0,,2012-03-20 08:00,2012-04-28 16:00
104,79434,85248,85255,1180,1180,PR_FS,0,,2012-02-05 16:00,2012-02-22 08:00
105,79435,85267,85266,1180,1180,PR_FF,0,,2012-04-18 08:00,2012-05-08 16:00
106,79436,85261,85278,1180,1180,PR_SS,8,,2011-11-23 16:00,2011-11-14 08:00
107,79437,85287,85286,1180,1180,PR_SS,56,,2012-01-02 16:00,2011-12-08 08:00
108,79438,85288,85287,1180,1180,PR_SS,56,,2012-01-10 16:00,2011-12-17 08:00
109,79439,85288,85287,1180,1180,PR_FF,32,,2012-01-11 08:00,2012-01-21 08:00
110,79440,85319,85288,1180,1180,PR_FF,224,,2012-01-23 08:00,2012-02-04 08:00
111,79441,85290,85288,1180,1180,PR_FS,0,,2012-01-24 16:00,2012-01-25 08:00
112,79442,85294,85290,1180,1180,PR_FS,120,,2012-02-26 16:00,2012-02-09 08:00
113,79443,85322,85292,1180,1180,PR_FS,0,,2012-04-11 16:00,2012-04-12 08:00
114,79444,85330,85292,1180,1180,PR_FF,48,,2012-04-02 08:00,2012-04-14 08:00
115,79445,85329,85298,1180,1180,PR_FF,0,,2012-03-19 08:00,2012-04-18 16:00
116,79446,85325,85301,1180,1180,PR_FS,0,,2012-04-07 16:00,2012-04-28 08:00
117,79447,85311,85303,1180,1180,PR_FS,0,,2012-01-31 16:00,2012-02-18 08:00
118,79448,85312,85304,1180,1180,PR_FS,80,,2012-03-24 16:00,2012-04-19 08:00
119,79449,85291,85305,1180,1180,PR_FS,0,,2012-03-08 16:00,2012-03-10 08:00
120,79450,85291,85311,1180,1180,PR_FF,104,,2012-03-05 08:00,2012-03-12 08:00
121,79451,85298,85311,1180,1180,PR_SS,200,,2012-03-12 16:00,2012-02-09 08:00
122,79452,85314,85317,1180,1180,PR_SS,0,,2012-04-23 08:00,2012-04-24 08:00
123,79453,85333,85318,1180,1180,PR_SS,0,,2012-04-19 08:00,2012-04-11 08:00
124,79454,85302,85318,1180,1180,PR_FF,0,,2012-03-22 16:00,2012-05-08 16:00
125,79455,85333,85318,1180,1180,PR_FF,0,,2012-04-24 08:00,2012-05-08 16:00
126,79456,85321,85318,1180,1180,PR_SS,16,,2012-04-21 16:00,2012-04-07 08:00
127,79457,85322,85320,1180,1180,PR_FS,0,,2012-04-02 16:00,2012-04-12 08:00
128,79458,85232,85336,1180,1180,PR_FS,0,,2012-04-16 16:00,2012-05-08 16:00
129,79459,85356,85343,1180,1180,PR_SS,0,,2012-04-25 08:00,2012-04-18 08:00
130,79460,85357,85346,1180,1180,PR_SS,8,,2012-04-17 16:00,2012-04-09 08:00
131,79461,85358,85346,1180,1180,PR_FF,8,,2012-04-24 08:00,2012-05-08 08:00
132,79462,85356,85349,1180,1180,PR_SS,32,,2012-04-28 16:00,2012-04-14 08:00
133,79463,85349,85350,1180,1180,PR_SS,48,,2012-04-23 16:00,2012-04-07 08:00
134,79464,85343,85352,1180,1180,PR_FS,0,,2012-04-24 16:00,2012-04-28 08:00
135,79465,85232,85359,1180,1180,PR_FS,0,,2012-04-22 16:00,2012-05-08 16:00
136,79466,85377,85364,1180,1180,PR_FF,0,,2011-12-04 08:00,2011-12-18 16:00
137,79467,85370,85368,1180,1180,PR_FS,0,,2012-01-28 16:00,2012-01-30 08:00
138,79468,85371,85369,1180,1180,PR_SS,80,,2012-02-18 16:00,2012-02-08 08:00
139,79469,85366,85379,1180,1180,PR_SS,40,,2011-12-22 16:00,2011-12-06 08:00
140,79470,85362,85382,1180,1180,PR_FF,120,,2012-03-13 08:00,2012-04-01 08:00
141,79471,85362,85382,1180,1180,PR_SS,120,,2012-03-06 16:00,2012-02-20 08:00
142,79472,85389,85386,1180,1180,PR_FS,0,,2012-02-25 16:00,2012-03-20 08:00
143,79473,85392,85388,1180,1180,PR_FF,0,,2012-04-04 08:00,2012-04-25 16:00
144,79474,85387,85398,1180,1180,PR_FS,0,,2012-02-28 16:00,2012-04-09 08:00
145,79475,85403,85402,1180,1180,PR_SS,112,,2011-12-12 16:00,2011-11-23 08:00
146,79476,85174,85403,1180,1180,PR_FS,280,,2012-01-30 16:00,2011-12-27 08:00
147,79477,85407,85406,1180,1180,PR_FF,112,,2012-01-15 08:00,2012-01-17 08:00
148,79478,85281,85171,1180,1180,PR_FS,0,,2012-04-05 08:00,2012-04-12 08:00
149,79479,85388,85171,1180,1180,PR_FS,0,,2012-04-05 08:00,2012-04-05 08:00
150,79480,85295,85173,1180,1180,PR_FS,0,,2012-03-19 08:00,2012-03-26 16:00
151,79481,85386,85176,1180,1180,PR_FS,0,,2012-02-07 08:00,2012-03-12 08:00
152,79482,85186,85188,1180,1180,PR_FS,40,,2011-12-15 16:00,2012-01-14 08:00
153,79483,85401,85190,1180,1180,PR_FS,0,,2011-12-18 16:00,2011-12-29 08:00
154,79484,85336,85202,1180,1180,PR_FS,0,,2011-12-13 16:00,2012-04-04 08:00
155,79485,85206,85205,1180,1180,PR_FF,112,,2011-12-01 08:00,2011-12-13 08:00
156,79486,85177,85208,1180,1180,PR_FS,80,,2012-03-13 16:00,2012-04-16 08:00
157,79487,85210,85209,1180,1180,PR_SS,112,,2012-02-27 16:00,2012-02-18 08:00
158,79488,85389,85210,1180,1180,PR_FS,56,,2012-03-10 16:00,2012-03-12 08:00
159,79489,85220,85219,1180,1180,PR_SS,112,,2011-12-25 16:00,2011-12-13 08:00
160,79490,85227,85226,1180,1180,PR_FS,0,,2011-11-09 08:00,2011-11-09 08:00
161,79491,85189,85229,1180,1180,PR_FS,136,,2011-11-29 16:00,2011-11-20 08:00
162,79492,85221,85229,1180,1180,PR_FS,240,,2011-12-14 16:00,2012-02-27 08:00
163,79493,85238,85234,1180,1180,PR_FS,0,,2012-05-08 16:00,2012-05-08 16:00
164,79494,85247,85235,1180,1180,PR_FS,0,,2011-12-11 16:00,2012-01-22 08:00
165,79495,85238,85237,1180,1180,PR_FS,0,,2012-04-25 16:00,2012-05-08 16:00
166,79496,85238,85241,1180,1180,PR_FS,0,,2012-04-11 16:00,2012-05-08 16:00
167,79497,85274,85254,1180,1180,PR_FS,0,,2012-04-05 16:00,2012-04-22 08:00
168,79498,85243,85256,1180,1180,PR_SS,48,,2011-12-12 16:00,2011-11-29 08:00
169,79499,85277,85264,1180,1180,PR_FF,0,,2012-04-02 08:00,2012-05-08 16:00
170,79500,85276,85275,1180,1180,PR_FS,0,,2012-05-02 16:00,2012-05-06 08:00
171,79501,85231,85276,1180,1180,PR_FS,0,,2012-05-06 16:00,2012-05-08 16:00
172,79502,85233,85276,1180,1180,PR_FS,0,,2012-05-06 16:00,2012-05-08 16:00
173,79503,85231,85277,1180,1180,PR_FS,0,,2012-04-19 16:00,2012-05-08 16:00
174,79504,85263,85281,1180,1180,PR_FS,0,,2012-04-21 16:00,2012-04-29 08:00
175,79505,85285,85284,1180,1180,PR_FS,0,,2011-12-11 16:00,2011-12-12 08:00
176,79506,85286,85285,1180,1180,PR_FS,0,,2011-12-25 16:00,2011-12-26 08:00
177,79507,85291,85289,1180,1180,PR_SS,80,,2012-02-12 16:00,2012-02-04 08:00
178,79508,85295,85289,1180,1180,PR_FS,0,,2012-02-23 16:00,2012-03-26 16:00
179,79509,85336,85289,1180,1180,PR_FS,40,,2012-02-29 16:00,2012-03-29 08:00
180,79510,85311,85289,1180,1180,PR_SS,80,,2012-02-12 16:00,2012-01-14 08:00
181,79511,85310,85292,1180,1180,PR_SS,0,,2012-03-27 08:00,2012-03-27 08:00
