,taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,pobs_id,skill_level,pend_complete_pct,remain_qty,pend_remain_qty,target_qty,remain_qty_per_hr,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,target_crv,remain_crv,actual_crv,ts_pend_act_end_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,create_user,create_date,has_rsrchours,taskrsrc_sum_id
0,57400,85242,1180,Y,,,2152,,,,20000,,20000,357.14285714,0,357.14285714,0,0,0,,1.00,20000.00,0.00,0.00,20000.00,,,2011-11-28 08:00,2011-12-05 16:00,2011-11-28 08:00,2011-12-05 16:00,2011-11-30 08:00,2011-12-07 16:00,N,,,,N,pEjPVFI0SGCxieXkKe2GyA,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-20 13:37,,
1,57401,85243,1180,Y,,,2152,,,,11000,,11000,114.58333333,0,114.58333333,0,0,0,,1.00,11000.00,0.00,0.00,11000.00,,,2011-12-13 08:00,2011-12-26 16:00,2011-12-13 08:00,2011-12-26 16:00,2011-12-15 08:00,2011-12-28 16:00,N,,,,N,NnTqsFLOR3yNhVE07b7fbQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-20 13:37,,
2,57402,85244,1180,Y,,,2152,,,,21432,,21432,382.71428571,0,382.71428571,0,0,0,,1.00,21432.00,0.00,0.00,21432.00,,,2011-12-27 08:00,2012-01-03 16:00,2011-12-27 08:00,2012-01-03 16:00,2011-12-29 08:00,2012-01-05 16:00,N,,,,N,fM6RVTvYTAOSs/oIcT+9lQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-20 13:37,,
3,57403,85245,1180,Y,,,2152,,,,17880,,17880,223.5,0,223.5,0,0,0,,1.00,17880.00,0.00,0.00,17880.00,,,2012-01-04 08:00,2012-01-15 16:00,2012-01-04 08:00,2012-01-15 16:00,2012-01-07 08:00,2012-01-17 16:00,N,,,,N,ZJesX2utQ+WJOzTZu3rNzg,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-20 13:37,,
4,57404,85246,1180,Y,,,2104,,,,66,,66,2.75,0,2.75,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2012-01-16 08:00,2012-01-18 16:00,2012-01-16 08:00,2012-01-18 16:00,2012-01-18 08:00,2012-01-21 16:00,N,,,,N,Jer/uuuQSmWFhqA+jjrijw,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2011-11-20 13:37,,
5,57405,85246,1180,Y,,,2110,,,,100,,100,4.16666667,0,4.16666667,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2012-01-16 08:00,2012-01-18 16:00,2012-01-16 08:00,2012-01-18 16:00,2012-01-18 08:00,2012-01-21 16:00,N,,,,N,jX1seZEYRLe5dHwGoSURnQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-20 13:37,,
6,57406,85246,1180,Y,,,2152,,,,6000,,6000,250,0,250,0,0,0,,1.00,6000.00,0.00,0.00,6000.00,,,2012-01-16 08:00,2012-01-18 16:00,2012-01-16 08:00,2012-01-18 16:00,2012-01-18 08:00,2012-01-21 16:00,N,,,,N,dKxhIOHnQ9qU8zInwWi9UA,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-20 13:37,,
7,57407,85247,1180,Y,,,2104,,,,27,,27,0.48214286,0,0.48214286,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2012-01-19 08:00,2012-01-26 16:00,2012-01-19 08:00,2012-01-26 16:00,2012-01-22 08:00,2012-01-29 16:00,N,,,,N,xJp7fyGtQ/Ki4F6oj/uHew,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2011-11-20 13:37,,
8,57408,85247,1180,Y,,,2103,,,,40,,40,0.71428571,0,0.71428571,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2012-01-19 08:00,2012-01-26 16:00,2012-01-19 08:00,2012-01-26 16:00,2012-01-22 08:00,2012-01-29 16:00,N,,,,N,m0zmU2QkTTqFfLRNNlQljg,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2011-11-20 13:37,,
9,57409,85247,1180,Y,,,2109,,,,40,,40,0.71428571,0,0.71428571,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2012-01-19 08:00,2012-01-26 16:00,2012-01-19 08:00,2012-01-26 16:00,2012-01-22 08:00,2012-01-29 16:00,N,,,,N,DN00lwUQQPSX9ER5mLp0Tg,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-20 13:37,,
