,udf_type_id,fk_id,proj_id,udf_date,udf_number,udf_text,udf_code_id
0,75,85170,1180,,,DD130,
1,75,85171,1180,,,DD130,
2,75,85172,1180,,,DD140,
3,75,85173,1180,,,DD120,
4,75,85174,1180,,,DD110,
5,75,85175,1180,,,DD130,
6,75,85176,1180,,,DD100,
7,75,85180,1180,,,PO 140,
8,75,85181,1180,,,PO 140,
9,75,85182,1180,,,PO 100,
10,75,85183,1180,,,PO 130,
11,75,85184,1180,,,PO 120,
12,75,85185,1180,,,PO 140,
13,75,85186,1180,,,PO 110,
14,75,85229,1180,,,Ms 100,
15,75,85230,1180,,,Ms 110,
16,75,85231,1180,,,Ms 160,
17,75,85232,1180,,,Ms 170,
18,75,85233,1180,,,Ms 180,
19,75,85234,1180,,,Ms 120,
20,75,85235,1180,,,Ms 190,
21,75,85236,1180,,,Ms 111,
22,75,85237,1180,,,Ms 130,
23,75,85238,1180,,,Ms 200,
24,75,85242,1180,,,JP-C100,
25,75,85243,1180,,,JP-C120,
26,75,85244,1180,,,JP-C130,
27,75,85245,1180,,,JP-C140,
28,75,85246,1180,,,JP-C150,
29,75,85247,1180,,,JP-C160,
30,75,85248,1180,,,JP-C200,
31,75,85249,1180,,,JP-C190,
32,75,85250,1180,,,JP-C210,
33,75,85251,1180,,,JP-C220,
34,75,85252,1180,,,JP-C170,
35,75,85253,1180,,,JP-A160,
36,75,85254,1180,,,JP-A170,
37,75,85255,1180,,,JP-C180,
38,75,85256,1180,,,JP-C110,
39,75,85257,1180,,,JP-C230,
40,75,85259,1180,,,JP-A250,
41,75,85260,1180,,,JP-A280,
42,75,85261,1180,,,JP-A110,
43,75,85262,1180,,,JP-A120,
44,75,85263,1180,,,JP-A290,
45,75,85264,1180,,,JP-A250,
46,75,85265,1180,,,JP-A210,
47,75,85266,1180,,,JP-A220,
48,75,85267,1180,,,JP-A230,
49,75,85268,1180,,,JP-A180,
50,75,85269,1180,,,JP-A240,
51,75,85270,1180,,,JP-A190,
52,75,85271,1180,,,JP-A310,
53,75,85272,1180,,,JP-A130,
54,75,85273,1180,,,JP-A140,
55,75,85274,1180,,,JP-A200,
56,75,85275,1180,,,JP-A300,
57,75,85276,1180,,,JP-A320,
58,75,85277,1180,,,JP-A260,
59,75,85278,1180,,,JP-A100,
60,75,85279,1180,,,JP-A150,
61,75,85280,1180,,,JP-A270,
62,75,85281,1180,,,JP-A330,
63,75,85283,1180,,,PET-C100,
64,75,85284,1180,,,PET-C110,
65,75,85285,1180,,,PET-C160,
66,75,85286,1180,,,PET-C200,
67,75,85287,1180,,,PET-C220,
68,75,85288,1180,,,PET-C240,
69,75,85289,1180,,,PET-C330,
70,75,85290,1180,,,PET-C280,
71,75,85291,1180,,,PET-C390,
72,75,85292,1180,,,PET-C420,
73,75,85293,1180,,,PET-C260,
74,75,85294,1180,,,PET-C360,
75,75,85295,1180,,,PET-C430,
76,75,85296,1180,,,PET-C460,
77,75,85297,1180,,,PET-C480,
78,75,85298,1180,,,PET-C400,
79,75,85301,1180,,,PET-C450,
80,75,85302,1180,,,PET-C440,
81,75,85303,1180,,,PET-C270,
82,75,85305,1180,,,PET-C370,
83,75,85306,1180,,,PET-C120,
84,75,85307,1180,,,PET-C170,
85,75,85308,1180,,,PET-C510,
86,75,85311,1180,,,PET-C330,
87,75,85316,1180,,,PET-A260,
88,75,85317,1180,,,PET-A270,
89,75,85318,1180,,,PET-A230,
90,75,85319,1180,,,PET-A100,
91,75,85320,1180,,,PET-A120,
92,75,85321,1180,,,PET-A280,
93,75,85322,1180,,,PET-A240,
94,75,85323,1180,,,PET-A130,
95,75,85324,1180,,,PET-A200,
96,75,85325,1180,,,PET-C470,
97,75,85326,1180,,,PET-A340,
98,75,85327,1180,,,PET-C490,
99,75,85330,1180,,,PET-A210,
100,75,85331,1180,,,PET-A380,
101,75,85332,1180,,,PET-A410,
102,75,85333,1180,,,PET-A290,
103,75,85334,1180,,,PET-A300,
104,75,85335,1180,,,PET-A310,
105,75,85336,1180,,,PET-A180,
106,75,85337,1180,,,PET-A430,
107,75,85345,1180,,,PET-A320,
108,75,85346,1180,,,PET-A220,
