,rsrc_rate_id,rsrc_id,max_qty_per_hr,cost_per_qty,start_date,shift_period_id,cost_per_qty2,cost_per_qty3,cost_per_qty4,cost_per_qty5
0,2427,2103,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
1,2428,2108,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
2,2429,2104,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
3,2430,2105,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
4,2431,2106,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
5,2432,2107,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
6,2433,2109,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
7,2434,2110,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
8,2435,2111,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
9,2436,2112,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
10,2437,2113,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
11,2438,2114,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
12,2439,2115,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
13,2440,2116,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
14,2441,2117,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
15,2442,2118,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
16,2478,2152,0.125,1.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
17,2570,2374,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
