,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user
0,83971,1076,10893,841,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,DD170,Guard bollard delivery on site,,104,0,0,0,0,0,0,0,0,0,,,,2012-02-23 08:00,2012-02-23 08:00,,2012-02-08 08:00,2012-02-08 08:00,2012-02-08 08:00,2012-02-08 08:00,2012-02-08 08:00,2012-02-08 08:00,,2012-02-23 08:00,2012-02-23 08:00,,PT_Normal,,,,,wFzTga8OG02nJVxTHBonDA,,,,N,0,0,,,2011-11-01 20:34,2011-11-01 21:11,admin,admin
1,83972,1076,10893,841,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,DD200,Windows delivery on site,,80,0,0,0,0,0,0,0,0,0,,,,2012-03-21 08:00,2012-03-21 08:00,,2012-03-10 08:00,2012-03-10 08:00,2012-03-10 08:00,2012-03-10 08:00,2012-03-10 08:00,2012-03-10 08:00,,2012-03-21 08:00,2012-03-21 08:00,,PT_Normal,,,,,PbsJW2+g+0OQquXIEaJSaA,yG244tJxSSyUfgdrznr8kA,,,N,0,0,,,2011-11-01 20:34,2011-11-01 21:11,admin,admin
2,83973,1076,10893,841,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,DD210,Doors delivery on site,,24,0,0,0,0,0,0,0,0,0,,,,2012-02-28 08:00,2012-02-28 08:00,,2012-02-25 08:00,2012-02-25 08:00,2012-02-25 08:00,2012-02-25 08:00,2012-02-25 08:00,2012-02-25 08:00,,2012-02-28 08:00,2012-02-28 08:00,,PT_Normal,,,,,3+o2LD8kc0OKzIcXNdDWdA,LwxOL0OA70ir27sTopBkvQ,,,N,0,0,,,2011-11-01 20:34,2011-11-01 21:11,admin,admin
3,83974,1076,10893,841,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,DD140,Polyurethane delivery on site,,0,0,0,0,0,0,0,0,0,0,,,,2012-03-15 08:00,2012-03-15 08:00,,2012-03-15 08:00,2012-03-15 08:00,2012-03-15 08:00,2012-03-15 08:00,2012-03-15 08:00,2012-03-15 08:00,,2012-03-15 08:00,2012-03-15 08:00,,PT_Normal,,,,,caW3HAiQsECcvlY5RQI3Mg,,,,Y,0,0,,,2011-11-01 20:34,2011-11-01 21:11,admin,admin
4,83975,1076,10893,841,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,DD120,Delivery of walk-on-ceiling laminated with electrostatic galvanized steel,,8,0,0,0,0,0,0,0,0,0,,,,2012-02-18 16:00,2012-02-18 16:00,,2012-02-18 08:00,2012-02-18 08:00,2012-02-18 08:00,2012-02-18 08:00,2012-02-18 08:00,2012-02-18 08:00,,2012-02-18 16:00,2012-02-18 16:00,,PT_Normal,,,,,gd1NKwWYg0eMnVrYl5KcqA,,,,N,0,0,,,2011-11-01 20:34,2011-11-01 21:11,admin,admin
5,83976,1076,10893,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDrtn,RV_OK,TK_NotStart,DD110,Steel structure delivery on site,,104,0,96,0,0,0,96,0,0,0,,,,2011-12-31 08:00,2012-01-12 16:00,,2011-12-15 08:00,2011-12-28 16:00,2011-12-15 08:00,2011-12-28 16:00,2011-12-15 08:00,2011-12-28 16:00,,2011-12-31 08:00,2012-01-12 16:00,,PT_Normal,,,,,AjM48ViEG0iQo+EJeOHfuA,,,,N,0,0,,,2011-11-01 20:34,2011-11-01 21:11,admin,admin
6,83977,1076,10893,841,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,DD130,Metal works delivery on site,,176,104,0,0,0,0,0,0,0,0,,,,2012-03-06 08:00,2012-03-06 08:00,,2012-02-09 08:00,2012-02-09 08:00,2012-02-09 08:00,2012-02-09 08:00,2012-02-09 08:00,2012-02-09 08:00,,2012-03-06 08:00,2012-03-06 08:00,,PT_Normal,,,,,+FL1TVtltkeHK1oZCTvePQ,,,,N,0,0,,,2011-11-01 20:34,2011-11-01 21:11,admin,admin
7,83978,1076,10893,841,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,DD100,Sandwich panel delivery on site,,184,0,0,0,0,0,0,0,0,0,,,,2012-02-04 08:00,2012-02-04 08:00,,2012-01-08 08:00,2012-01-08 08:00,2012-01-08 08:00,2012-01-08 08:00,2012-01-08 08:00,2012-01-08 08:00,,2012-02-04 08:00,2012-02-04 08:00,,PT_Normal,,,,,PRIHsLVXoUG7MlTJsa3LuA,,,,N,0,0,,,2011-11-01 20:34,2011-11-01 21:11,admin,admin
8,83979,1076,10893,841,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,DD150,Steel stairs Delivery on site,,256,0,0,0,0,0,0,0,0,0,,,,2012-03-21 08:00,2012-03-21 08:00,,2012-02-13 08:00,2012-02-13 08:00,2012-02-13 08:00,2012-02-13 08:00,2012-02-13 08:00,2012-02-13 08:00,,2012-03-21 08:00,2012-03-21 08:00,,PT_Normal,,,,,MUrT3+6/BkiFnhoFa8mEKQ,,,,N,0,0,,,2011-11-01 20:34,2011-11-01 21:11,admin,admin
9,83980,1076,10893,841,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,DD160,Roll up shutter doors delivery on site,,32,0,0,0,0,0,0,0,0,0,,,,2012-03-12 08:00,2012-03-12 08:00,,2012-03-07 08:00,2012-03-07 08:00,2012-03-07 08:00,2012-03-07 08:00,2012-03-07 08:00,2012-03-07 08:00,,2012-03-12 08:00,2012-03-12 08:00,,PT_Normal,,,,,M4u+lqLYHk+Q6TLoo82VGA,,,,N,0,0,,,2011-11-01 20:34,2011-11-01 21:11,admin,admin
