,task_id,actv_code_type_id,actv_code_id,proj_id
0,83971,7250,12729,1076
1,83972,7250,12730,1076
2,83973,7250,12730,1076
3,83974,7250,12729,1076
4,83975,7250,12729,1076
5,83976,7250,12728,1076
6,83977,7250,12730,1076
7,83978,7250,12729,1076
8,83979,7250,12730,1076
9,83980,7250,12729,1076
10,83981,7250,12729,1076
11,83982,7250,12730,1076
12,83983,7250,12730,1076
13,83984,7250,12729,1076
14,83985,7250,12729,1076
15,83986,7250,12728,1076
16,83987,7250,12730,1076
17,83988,7250,12729,1076
18,83989,7250,12729,1076
19,83990,7250,12729,1076
20,83991,7250,12729,1076
21,83992,7250,12729,1076
22,83993,7250,12729,1076
23,83994,7250,12729,1076
24,83995,7250,12729,1076
25,83996,7250,12729,1076
26,83997,7250,12729,1076
27,83998,7250,12729,1076
28,83999,7250,12729,1076
29,84000,7250,12729,1076
30,84001,7250,12729,1076
31,84002,7250,12729,1076
32,84003,7250,12729,1076
33,84004,7250,12729,1076
34,84005,7250,12729,1076
35,84006,7250,12729,1076
36,84007,7250,12729,1076
37,84008,7250,12729,1076
38,84009,7250,12729,1076
39,84010,7250,12729,1076
40,84011,7250,12729,1076
41,84012,7250,12729,1076
42,84013,7250,12729,1076
43,84014,7250,12729,1076
44,84015,7250,12729,1076
45,84016,7250,12729,1076
46,84017,7250,12729,1076
47,84018,7250,12729,1076
48,84019,7250,12729,1076
49,84020,7250,12729,1076
50,84021,7250,12729,1076
51,84022,7250,12729,1076
52,84023,7250,12729,1076
53,84024,7250,12729,1076
54,84025,7250,12729,1076
55,84026,7250,12729,1076
56,84044,7250,12728,1076
57,84044,7251,12731,1076
58,84045,7250,12728,1076
59,84045,7251,12731,1076
60,84046,7250,12728,1076
61,84046,7251,12731,1076
62,84047,7250,12728,1076
63,84047,7251,12731,1076
64,84048,7250,12728,1076
65,84048,7251,12731,1076
66,84049,7250,12728,1076
67,84049,7251,12731,1076
68,84050,7250,12728,1076
69,84050,7251,12732,1076
70,84051,7250,12728,1076
71,84051,7251,12731,1076
72,84052,7250,12728,1076
73,84052,7251,12732,1076
74,84053,7250,12728,1076
75,84053,7251,12732,1076
76,84054,7250,12728,1076
77,84054,7251,12731,1076
78,84055,7250,12728,1076
79,84055,7251,12733,1076
80,84056,7250,12728,1076
81,84056,7251,12734,1076
82,84057,7250,12728,1076
83,84057,7251,12732,1076
84,84058,7250,12728,1076
85,84058,7251,12731,1076
86,84059,7250,12728,1076
87,84059,7251,12731,1076
88,84060,7250,12728,1076
89,84060,7251,12732,1076
90,84061,7250,12729,1076
91,84061,7251,12732,1076
92,84062,7250,12729,1076
93,84062,7251,12732,1076
94,84063,7250,12729,1076
95,84063,7251,12732,1076
96,84064,7250,12729,1076
97,84064,7251,12732,1076
98,84065,7250,12729,1076
99,84065,7251,12732,1076
100,84066,7250,12729,1076
101,84066,7251,12732,1076
102,84067,7250,12729,1076
103,84067,7251,12734,1076
104,84068,7250,12729,1076
105,84068,7251,12734,1076
106,84069,7250,12729,1076
107,84069,7251,12734,1076
108,84070,7250,12729,1076
109,84070,7251,12732,1076
110,84071,7250,12729,1076
111,84071,7251,12732,1076
112,84072,7250,12729,1076
113,84072,7251,12733,1076
114,84073,7250,12729,1076
115,84073,7251,12732,1076
116,84074,7250,12729,1076
117,84074,7251,12733,1076
118,84075,7250,12729,1076
119,84075,7251,12733,1076
120,84076,7250,12729,1076
121,84076,7251,12734,1076
122,84077,7250,12729,1076
123,84077,7251,12732,1076
124,84078,7250,12729,1076
125,84078,7251,12732,1076
126,84079,7250,12729,1076
127,84079,7251,12734,1076
128,84080,7250,12729,1076
129,84080,7251,12732,1076
130,84081,7250,12729,1076
131,84081,7251,12732,1076
132,84082,7250,12729,1076
133,84082,7251,12732,1076
134,84083,7250,12729,1076
135,84083,7251,12732,1076
136,84084,7250,12729,1076
137,84084,7251,12732,1076
138,84086,7250,12728,1076
139,84086,7251,12731,1076
140,84086,7252,12735,1076
141,84087,7250,12728,1076
142,84087,7251,12731,1076
143,84087,7252,12735,1076
144,84088,7250,12728,1076
145,84088,7251,12731,1076
146,84088,7252,12735,1076
147,84089,7250,12728,1076
148,84089,7251,12731,1076
149,84089,7252,12735,1076
150,84090,7250,12728,1076
151,84090,7251,12731,1076
152,84090,7252,12735,1076
153,84091,7250,12728,1076
154,84091,7251,12731,1076
155,84091,7252,12735,1076
156,84092,7250,12728,1076
157,84092,7251,12732,1076
158,84092,7252,12735,1076
159,84093,7250,12728,1076
160,84093,7251,12732,1076
161,84093,7252,12735,1076
162,84094,7250,12728,1076
163,84094,7251,12732,1076
164,84094,7252,12735,1076
165,84095,7250,12728,1076
166,84095,7251,12732,1076
167,84095,7252,12735,1076
168,84096,7250,12728,1076
169,84096,7251,12731,1076
170,84096,7252,12735,1076
171,84097,7250,12728,1076
172,84097,7251,12732,1076
173,84097,7252,12735,1076
174,84098,7250,12728,1076
175,84098,7251,12733,1076
176,84098,7252,12735,1076
177,84099,7250,12728,1076
178,84099,7251,12733,1076
