,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,76957,84210,83988,1076,1076,PR_FS,0,,2011-11-15 08:00,2011-12-13 08:00
1,76958,84065,83974,1076,1076,PR_FS,0,,2012-03-15 08:00,2012-03-22 08:00
2,76959,84171,83976,1076,1076,PR_SS,0,,2011-12-15 08:00,2011-12-19 08:00
3,76960,84048,84047,1076,1076,PR_FS,0,,2011-11-22 16:00,2011-12-12 08:00
4,76961,84052,84051,1076,1076,PR_FS,0,,2011-12-22 16:00,2012-01-10 08:00
5,76962,84065,84053,1076,1076,PR_FS,80,,2012-02-19 16:00,2012-03-11 08:00
6,76963,84060,84053,1076,1076,PR_FF,0,,2012-01-28 08:00,2012-03-21 16:00
7,76964,84045,84058,1076,1076,PR_FF,80,,2011-10-13 08:00,2011-11-09 08:00
8,76965,84079,84066,1076,1076,PR_FF,0,,2012-02-21 08:00,2012-04-01 16:00
9,76966,84062,84072,1076,1076,PR_FS,0,,2012-02-27 16:00,2012-03-27 08:00
10,76967,84037,84078,1076,1076,PR_FS,0,,2012-03-25 16:00,2012-04-01 16:00
11,76968,84035,84081,1076,1076,PR_FS,0,,2012-03-01 16:00,2012-04-01 16:00
12,76969,84197,84199,1076,1076,PR_FS,0,,2011-11-29 16:00,2012-01-08 08:00
13,76970,84186,84190,1076,1076,PR_SS,0,,2012-02-26 08:00,2012-03-06 08:00
14,76971,84201,84195,1076,1076,PR_FS,0,,2011-10-05 16:00,2011-11-21 08:00
15,76972,84036,84098,1076,1076,PR_FS,0,,2012-03-31 17:00,2012-04-01 16:00
16,76973,84109,84108,1076,1076,PR_FS,0,,2011-10-11 16:00,2011-10-30 08:00
17,76974,84098,84113,1076,1076,PR_FS,0,,2012-01-18 16:00,2012-02-18 16:00
18,76975,84138,84113,1076,1076,PR_FS,40,,2012-01-24 16:00,2012-02-21 08:00
19,76976,84123,84119,1076,1076,PR_SS,0,,2012-03-01 08:00,2012-03-15 08:00
20,76977,84116,84119,1076,1076,PR_SS,0,,2012-03-01 08:00,2012-03-18 08:00
21,76978,84098,84120,1076,1076,PR_FF,0,,2012-01-30 16:00,2012-04-01 16:00
22,76979,84136,84120,1076,1076,PR_FF,0,,2012-03-03 08:00,2012-04-01 16:00
23,76980,84124,84126,1076,1076,PR_FS,0,,2012-02-13 16:00,2012-03-06 08:00
24,76981,84166,84165,1076,1076,PR_FS,0,,2011-10-03 16:00,2011-10-20 08:00
25,76982,84176,84172,1076,1076,PR_FS,144,,2012-01-08 16:00,2012-01-04 08:00
26,76983,84156,84182,1076,1076,PR_FF,0,,2012-02-08 08:00,2012-03-11 16:00
27,76984,84164,84184,1076,1076,PR_FF,120,,2012-01-22 08:00,2012-02-23 08:00
28,76985,84163,84184,1076,1076,PR_FS,0,,2012-01-21 16:00,2012-02-07 08:00
29,76986,84143,84148,1076,1076,PR_SS,0,,2012-02-26 08:00,2012-03-01 08:00
30,76987,84153,84149,1076,1076,PR_FS,0,,2012-01-10 16:00,2012-03-15 08:00
31,76988,84152,84150,1076,1076,PR_FS,0,,2012-02-21 16:00,2012-03-12 08:00
32,76989,84147,84151,1076,1076,PR_SS,0,,2012-03-04 08:00,2012-03-08 08:00
33,76990,84155,84152,1076,1076,PR_FS,0,,2012-03-07 16:00,2012-03-27 08:00
34,76991,84034,84033,1076,1076,PR_FS,0,,2011-09-17 08:00,2011-09-28 08:00
35,76992,84039,84034,1076,1076,PR_FS,0,,2011-09-24 16:00,2011-11-01 08:00
36,76993,84042,84037,1076,1076,PR_FS,0,,2012-03-27 16:00,2012-04-01 16:00
37,76994,84169,84039,1076,1076,PR_FS,0,,2011-10-11 16:00,2011-12-04 08:00
38,76995,84213,84040,1076,1076,PR_FS,0,,2011-10-02 16:00,2011-10-18 08:00
39,76996,83978,84211,1076,1076,PR_FS,240,,2012-01-07 16:00,2011-12-31 08:00
40,76997,83983,84202,1076,1076,PR_FS,0,,2011-12-15 16:00,2011-12-20 08:00
41,76998,84205,84204,1076,1076,PR_SS,112,,2011-10-18 16:00,2011-10-10 08:00
42,76999,84207,84206,1076,1076,PR_SS,112,,2011-11-13 16:00,2011-11-22 08:00
43,77000,84049,84215,1076,1076,PR_FS,0,,2011-11-02 16:00,2011-12-15 08:00
44,77001,84090,84215,1076,1076,PR_FS,0,,2011-11-02 16:00,2011-11-26 08:00
45,77002,84169,84215,1076,1076,PR_FS,0,,2011-11-02 16:00,2011-12-04 08:00
46,77003,84137,83979,1076,1076,PR_FS,0,,2012-02-13 08:00,2012-03-21 08:00
47,77004,84129,84130,1076,1076,PR_FS,0,,2012-02-22 16:00,2012-03-22 08:00
48,77005,84104,84131,1076,1076,PR_FS,0,,2012-02-11 16:00,2012-03-13 08:00
49,77006,84006,84005,1076,1076,PR_SS,224,,2011-11-02 16:00,2012-01-12 08:00
