,taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,pobs_id,skill_level,pend_complete_pct,remain_qty,pend_remain_qty,target_qty,remain_qty_per_hr,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,target_crv,remain_crv,actual_crv,ts_pend_act_end_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,create_user,create_date,has_rsrchours,taskrsrc_sum_id
0,56492,84044,1076,Y,,,2152,,,,20000,,20000,357.14285714,0,357.14285714,0,0,0,,1.00,20000.00,0.00,0.00,20000.00,,,2011-09-28 08:00,2011-10-05 16:00,2011-09-28 08:00,2011-10-05 16:00,2011-10-16 08:00,2011-10-23 16:00,N,,,,N,MXxFlKWRRO6JhQBPQg/ZFQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-01 20:34,,
1,56493,84045,1076,Y,,,2152,,,,11000,,11000,114.58333333,0,114.58333333,0,0,0,,1.00,11000.00,0.00,0.00,11000.00,,,2011-10-13 08:00,2011-10-26 16:00,2011-10-13 08:00,2011-10-26 16:00,2011-10-31 08:00,2011-11-20 16:00,N,,,,N,YpOwWkiXRGuAXvpbzFuH1Q,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-01 20:34,,
2,56494,84046,1076,Y,,,2152,,,,21432,,21432,382.71428571,0,382.71428571,0,0,0,,1.00,21432.00,0.00,0.00,21432.00,,,2011-10-27 08:00,2011-11-03 16:00,2011-10-27 08:00,2011-11-03 16:00,2011-11-21 08:00,2011-11-29 16:00,N,,,,N,5hyBFvy/SsC/ESFhTti++A,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-01 20:34,,
3,56495,84047,1076,Y,,,2152,,,,17880,,17880,223.5,0,223.5,0,0,0,,1.00,17880.00,0.00,0.00,17880.00,,,2011-11-12 08:00,2011-11-22 16:00,2011-11-12 08:00,2011-11-22 16:00,2011-11-30 08:00,2011-12-11 16:00,N,,,,N,fIuCqWlGTnO3kZ4UhpSYPA,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-01 20:34,,
4,56496,84048,1076,Y,,,2104,,,,66,,66,2.75,0,2.75,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2011-11-23 08:00,2011-11-26 16:00,2011-11-23 08:00,2011-11-26 16:00,2011-12-12 08:00,2011-12-14 16:00,N,,,,N,BTTczDXORJ+wIVhLA+FkoQ,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2011-11-01 20:34,,
5,56497,84048,1076,Y,,,2110,,,,100,,100,4.16666667,0,4.16666667,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2011-11-23 08:00,2011-11-26 16:00,2011-11-23 08:00,2011-11-26 16:00,2011-12-12 08:00,2011-12-14 16:00,N,,,,N,xML1au93SV+v+GqnxH92xg,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-01 20:34,,
6,56498,84048,1076,Y,,,2152,,,,6000,,6000,250,0,250,0,0,0,,1.00,6000.00,0.00,0.00,6000.00,,,2011-11-23 08:00,2011-11-26 16:00,2011-11-23 08:00,2011-11-26 16:00,2011-12-12 08:00,2011-12-14 16:00,N,,,,N,qffNcOJOSxGygN0dhIlJ9w,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-01 20:34,,
7,56499,84049,1076,Y,,,2104,,,,27,,27,0.48214286,0,0.48214286,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2011-11-28 08:00,2011-12-05 16:00,2011-11-28 08:00,2011-12-05 16:00,2011-12-15 08:00,2011-12-22 16:00,N,,,,N,YUSUrkGaQAOSJ5XsUQ4xgw,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2011-11-01 20:34,,
8,56500,84049,1076,Y,,,2103,,,,40,,40,0.71428571,0,0.71428571,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2011-11-28 08:00,2011-12-05 16:00,2011-11-28 08:00,2011-12-05 16:00,2011-12-15 08:00,2011-12-22 16:00,N,,,,N,AvDVOve/RlqTGiq1TYDVxA,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2011-11-01 20:34,,
9,56501,84049,1076,Y,,,2109,,,,40,,40,0.71428571,0,0.71428571,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2011-11-28 08:00,2011-12-05 16:00,2011-11-28 08:00,2011-12-05 16:00,2011-12-15 08:00,2011-12-22 16:00,N,,,,N,KOs8BOf1SbeC8d1j9RL1/g,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-01 20:34,,
10,56502,84049,1076,Y,,,2152,,,,69240,,69240,1236.42857143,0,1236.42857143,0,0,0,,1.00,69240.00,0.00,0.00,69240.00,,,2011-11-28 08:00,2011-12-05 16:00,2011-11-28 08:00,2011-12-05 16:00,2011-12-15 08:00,2011-12-22 16:00,N,,,,N,Qn9G+bfBTbCXDGgQCbjVNg,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-01 20:34,,
11,56503,84050,1076,Y,,,2113,,,,40,,40,0.2,0,0.2,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2011-12-29 08:00,2012-01-26 16:00,2011-12-29 08:00,2012-01-26 16:00,2012-01-16 08:00,2012-02-13 16:00,N,,,,N,BSnvX6k3TOOBc1VaIxz49g,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-01 20:34,,
12,56504,84050,1076,Y,,,2152,,,,412000,,412000,2060,0,2060,0,0,0,,1.00,412000.00,0.00,0.00,412000.00,,,2011-12-29 08:00,2012-01-26 16:00,2011-12-29 08:00,2012-01-26 16:00,2012-01-16 08:00,2012-02-13 16:00,N,,,,N,mzjiGhUiQZWZE06ZMNrcuw,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-01 20:34,,
13,56505,84051,1076,Y,,,2152,,,,6120,,6120,109.28571429,0,109.28571429,0,0,0,,1.00,6120.00,0.00,0.00,6120.00,,,2011-12-15 08:00,2011-12-22 16:00,2011-12-15 08:00,2011-12-22 16:00,2012-01-02 08:00,2012-01-09 16:00,N,,,,N,H8MXamZfR7SPk5kgIAallg,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-01 20:34,,
14,56506,84052,1076,Y,,,2110,,,,170,,170,4.25,0,4.25,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2011-12-24 08:00,2011-12-28 16:00,2011-12-24 08:00,2011-12-28 16:00,2012-01-10 08:00,2012-01-15 16:00,N,,,,N,H8pZwIT+RhSMx7ygY750uQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-01 20:34,,
15,56507,84052,1076,Y,,,2152,,,,34850,,34850,871.25,0,871.25,0,0,0,,1.00,34850.00,0.00,0.00,34850.00,,,2011-12-24 08:00,2011-12-28 16:00,2011-12-24 08:00,2011-12-28 16:00,2012-01-10 08:00,2012-01-15 16:00,N,,,,N,8DJoK/G6StaTpGHO8A0DnQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-01 20:34,,
16,56508,84053,1076,Y,,,2110,,,,355,,355,4.4375,0,4.4375,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2012-01-28 08:00,2012-02-07 16:00,2012-01-28 08:00,2012-02-07 16:00,2012-02-28 08:00,2012-03-10 16:00,N,,,,N,7SyKxdCWTL2spRu6w4NwFg,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-01 20:34,,
17,56509,84053,1076,Y,,,2152,,,,37275,,37275,465.9375,0,465.9375,0,0,0,,1.00,37275.00,0.00,0.00,37275.00,,,2012-01-28 08:00,2012-02-07 16:00,2012-01-28 08:00,2012-02-07 16:00,2012-02-28 08:00,2012-03-10 16:00,N,,,,N,sgjvGdNqQ7imwal/4VIkrw,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-01 20:34,,
18,56510,84054,1076,Y,,,2109,,,,4,,4,0.0625,0,0.0625,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2011-12-06 08:00,2011-12-14 16:00,2011-12-06 08:00,2011-12-14 16:00,2011-12-24 08:00,2012-01-01 16:00,N,,,,N,32lwarz7QJ24D16M7yXdfQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-01 20:34,,
19,56511,84054,1076,Y,,,2152,,,,10872,,10872,169.875,0,169.875,0,0,0,,1.00,10872.00,0.00,0.00,10872.00,,,2011-12-06 08:00,2011-12-14 16:00,2011-12-06 08:00,2011-12-14 16:00,2011-12-24 08:00,2012-01-01 16:00,N,,,,N,kS83rFpyQlaWJSrv3C6Z7g,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-01 20:34,,
20,56512,84055,1076,Y,,,2109,,,,170,,170,3.03571429,0,3.03571429,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2012-02-08 08:00,2012-02-15 16:00,2012-02-08 08:00,2012-02-15 16:00,2012-03-07 08:00,2012-03-14 16:00,N,,,,N,KAcWV1VwTc+o1FA7RqEOkw,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-01 20:34,,
21,56513,84055,1076,Y,,,2152,,,,31110,,31110,555.53571429,0,555.53571429,0,0,0,,1.00,31110.00,0.00,0.00,31110.00,,,2012-02-08 08:00,2012-02-15 16:00,2012-02-08 08:00,2012-02-15 16:00,2012-03-07 08:00,2012-03-14 16:00,N,,,,N,wWm2dtOrRMqeKA0prcknhw,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-01 20:34,,
22,56514,84056,1076,Y,,,2374,,,,40,,40,1,0,1,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2012-02-08 08:00,2012-02-13 16:00,2012-02-08 08:00,2012-02-13 16:00,2012-03-10 08:00,2012-03-14 16:00,Y,,,,N,NO/4Tb9oTACWrdmeTmzGHw,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-01 20:34,,
23,56515,84057,1076,Y,,,2374,,,,48,,48,1,0,1,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2011-12-08 08:00,2011-12-14 16:00,2011-12-08 08:00,2011-12-14 16:00,2012-01-09 08:00,2012-01-15 16:00,Y,,,,N,J16w4A9nTLyQxcQUJLw+LA,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-01 20:34,,
24,56516,84058,1076,Y,,,2374,,,,64,,64,1,0,1,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2011-10-06 08:00,2011-10-15 16:00,2011-10-06 08:00,2011-10-15 16:00,2011-10-24 08:00,2011-11-01 16:00,Y,,,,N,f+YquE6OTraIK3pqqzHPKQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-01 20:34,,
25,56517,84059,1076,Y,,,2374,,,,16,,16,1,0,1,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2011-12-15 08:00,2011-12-17 16:00,2011-12-15 08:00,2011-12-17 16:00,2012-03-31 08:00,2012-04-01 16:00,Y,,,,N,rZ4j2HaFR6OlQb0/yAt8Qw,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-01 20:34,,
26,56518,84060,1076,Y,,,2152,,,,8100,,8100,101.25,0,101.25,0,0,0,,1.00,8100.00,0.00,0.00,8100.00,,,2012-01-28 08:00,2012-02-07 16:00,2012-01-28 08:00,2012-02-07 16:00,2012-03-11 08:00,2012-03-21 16:00,N,,,,N,t9IZjFtvR+mC6k3Wb9iJ3Q,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-01 20:34,,
27,56519,84061,1076,Y,,,2152,,,,61776,,61776,643.5,0,643.5,0,0,0,,1.00,61776.00,0.00,0.00,61776.00,,,2012-02-25 08:00,2012-03-08 16:00,2012-02-25 08:00,2012-03-08 16:00,2012-03-08 08:00,2012-03-21 16:00,N,,,,N,Esm5PqDITbKBbhwjq+Yjig,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-01 20:34,,
28,56520,84062,1076,Y,,,2152,,,,4020,,4020,100.5,0,100.5,0,0,0,,1.00,4020.00,0.00,0.00,4020.00,,,2012-02-28 08:00,2012-03-04 16:00,2012-02-28 08:00,2012-03-04 16:00,2012-03-27 08:00,2012-04-01 16:00,N,,,,N,3n+dImZrTKygP0DLhD0qRg,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-01 20:34,,
29,56521,84063,1076,Y,,,2152,,,,136,,136,8.5,0,8.5,0,0,0,,1.00,136.00,0.00,0.00,136.00,,,2011-09-26 08:00,2011-09-27 16:00,2011-09-26 08:00,2011-09-27 16:00,2011-10-13 08:00,2011-10-15 16:00,N,,,,N,XhCW1MICQcqVpwOHh2PAxw,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-01 20:34,,
30,56522,84064,1076,Y,,,2114,,,,145,,145,1.20833333,0,1.20833333,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2012-01-28 08:00,2012-02-13 16:00,2012-01-28 08:00,2012-02-13 16:00,2012-02-14 08:00,2012-03-01 16:00,N,,,,N,Jfk18uXcSWmuA8qAfFt0gQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-01 20:34,,
31,56523,84064,1076,Y,,,2152,,,,101045,,101045,842.04166667,0,842.04166667,0,0,0,,1.00,101045.00,0.00,0.00,101045.00,,,2012-01-28 08:00,2012-02-13 16:00,2012-01-28 08:00,2012-02-13 16:00,2012-02-14 08:00,2012-03-01 16:00,N,,,,N,AdyuVUQLSDm4bXJa1elUyw,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-01 20:34,,
32,56524,84065,1076,Y,,,2112,,,,415,,415,7.41071429,0,7.41071429,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2012-03-15 08:00,2012-03-22 16:00,2012-03-15 08:00,2012-03-22 16:00,2012-03-22 08:00,2012-03-29 16:00,N,,,,N,HgHeKvrQQrGC2cBX6fLySA,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-01 20:34,,
33,56525,84065,1076,Y,,,2152,,,,244240,,244240,4361.42857143,0,4361.42857143,0,0,0,,1.00,244240.00,0.00,0.00,244240.00,,,2012-03-15 08:00,2012-03-22 16:00,2012-03-15 08:00,2012-03-22 16:00,2012-03-22 08:00,2012-03-29 16:00,N,,,,N,h29Xy0juTESCgThIBu6ehg,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-01 20:34,,
34,56526,84066,1076,Y,,,2152,,,,216442,,216442,2705.525,0,2705.525,0,0,0,,1.00,216442.00,0.00,0.00,216442.00,,,2012-02-25 08:00,2012-03-06 16:00,2012-02-25 08:00,2012-03-06 16:00,2012-03-11 08:00,2012-03-21 16:00,N,,,,N,GlE17KQrRea/7w/2dHklvw,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2011-11-01 20:34,,
