,actv_code_id,parent_actv_code_id,actv_code_type_id,actv_code_name,short_name,seq_num,color
0,8475,,5275,Construction,C,700,
1,8476,,5274,Clinic Building,CB,101,
2,8477,,5277,General,GN,0,
3,8478,,5277,All Floors,AF,101,
4,8479,,5277,Foundations,FN,501,
5,8480,,5277,Podium 3,P3,601,
6,8481,,5277,Podium 2,P2,701,
7,8482,,5277,Podium 1,P1,801,
8,8483,,5277,Level 1,01,1001,
9,8484,,5277,Level 2,02,1101,
10,8485,,5277,Level 3,03,1201,
11,8486,,5277,Level 4,04,1301,
12,8487,,5277,Roof Level 5,R5,3201,
13,8488,,5276,Concrete,03,200,
14,8489,,5276,Masonry,04,300,
15,8490,,5276,Doors and Windows,08,700,
16,8491,,5279,Facade,FA,201,
17,8492,,5279,Lift & Escalator,EL,1501,
18,8493,,5278,Zone SC,SC,801,
19,8494,,5278,Zone SD,SD,901,
20,8495,,5278,Zone S1,S1,1101,
21,8496,,5278,Zone S2,S2,1201,
22,8497,,5278,Public area,PA,1501,
23,8498,,5278,Toilet,TO,1801,
24,8499,,5278,"MRI, RAD, NUC MED & CT",MR,4301,
25,8500,,5278,TR Room,TR,2301,
26,8501,,5278,Landscaping,LS,2701,
27,8502,,5278,All Floor,AF,2801,
28,8503,,5278,Exam- 1,E1,1601,
29,8504,,5278,Exam- 2,E2,1701,
30,8505,,5278,"Demo Cooking,Pantry,Retail",DC,3001,
31,8506,,5278,Pick Up sales STN/AMB Resist/TLT,PU,3101,
32,8507,,5278,"Laser,Wave,Intralase",LW,3201,
33,8508,,5277,Ground Level,GL,901,
34,8509,,5279,Steel Structure,ST,101,
35,8510,,5279,Concrete Structure,CT,2,
36,8511,,5279,MEP,ME,801,
37,8512,,5281,Activity 1,01,0,
38,8513,,5281,Activity 1,03,200,
39,8514,,5281,Activity 1,05,400,
40,8515,,5281,Activity 1,07,500,
41,8516,,5281,Activity 1,09,600,
42,8517,,5281,Activity 1,11,800,
43,8518,,5281,Activity 1,13,1000,
44,8519,,5281,Activity 1,15,1100,
45,8520,,5281,Activity 1,17,1200,
46,8521,,5281,Activity 1,19,1300,
47,8522,,5281,Activity 1,21,1500,
48,8523,,5281,Activity 12,23,1700,
49,8524,,5281,Activity 13,25,1800,
50,8525,,5281,Activity 14,27,1900,
51,8526,,5281,Activity 15,29,2000,
52,8527,,5281,Activity 16,31,2100,
53,8528,,5281,Activity 17,33,2200,
54,8529,,5281,Activity 18,35,2300,
55,8530,,5281,Activity 19,37,2400,
56,8531,,5281,Activity 20,39,2500,
57,8532,,5281,Activity 21,41,2600,
58,8533,,5281,Activity 22,43,2700,
59,8534,,5281,Activity 23,45,2800,
60,8535,,5281,Activity 24,47,2900,
61,8536,,5281,Activity 26,51,3100,
62,8537,,5281,Activity 27,53,3200,
63,8538,,5281,Activity 29,57,3400,
64,8539,,5279,Metal / secondary steel work,SW,1201,
65,8540,,5279,Door,DO,501,
66,8541,,5279,Ceiling,CE,701,
67,8542,,5279,Wall Finish,WF,901,
68,8543,,5279,Floor Finish,FF,1001,
69,8544,,5279,Painting,PA,1101,
70,8545,,5279,Partition,PT,401,
71,8546,,5279,Land scaping,LN,1701,
72,8547,,5279,Equipment,EQ,1601,
73,8548,,5279,Block work,BL,301,
74,8549,,5279,Accessories,AC,1301,
75,8550,,5279,Wood work,WO,601,
76,8551,,5281,Activity 34,71,4100,
77,8552,,5281,Activity 34,73,4101,
78,8553,,5281,Activity 34,75,4102,
79,8554,,5281,Activity 34,77,4103,
80,8555,,5281,Activity 34,87,4300,
81,8556,,5281,Activity 34,97,4800,
82,8557,,5281,Activity 1,02,100,
83,8558,,5281,Activity 1,04,300,
84,8559,,5281,Activity 34,06,4107,
85,8560,,5281,Activity 34,08,4108,
86,8561,,5281,Activity 1,10,700,
87,8562,,5281,Activity 1,12,900,
88,8563,,5281,Activity 34,14,4109,
89,8564,,5281,Activity 34,16,4110,
90,8565,,5281,Activity 34,18,4111,
91,8566,,5281,Activity 1,20,1400,
92,8567,,5281,Activity 1,22,1600,
93,8568,,5281,Activity 34,24,4112,
94,8569,,5281,Activity 34,26,4113,
95,8570,,5281,Activity 34,30,4115,
96,8571,,5281,Activity 34,32,4116,
97,8572,,5281,Activity 34,34,4117,
98,8573,,5281,Activity 34,36,4118,
99,8574,,5281,Activity 34,38,4119,
100,8575,,5281,Activity 34,42,4121,
101,8576,,5281,Activity 34,46,4123,
102,8577,,5281,Activity 34,52,4126,
103,8578,,5281,Activity 34,54,4127,
104,8579,,5281,Activity 34,56,4128,
105,8580,,5281,Activity 34,60,4130,
106,8581,,5281,Activity 34,74,4137,
107,8582,,5281,Activity 34,76,4138,
108,8583,,5281,Activity 34,80,4140,
109,8584,,5281,Activity 34,86,4143,
110,8585,,5281,Activity 34,96,4148,
111,8586,,5280,Concrete work,033,101,
112,8587,,5280,Block works,040,201,
113,8588,,5280,Ext. Stone works / Cladding,044,301,
114,8589,,5280,Structural steel,051,401,
115,8590,,5280,Steel Deck,053,501,
116,8591,,5280,Secondary steel works (Metal works),055,2203,
117,8592,,5280,Wood works/casework,061,601,
118,8593,,5280,Waterproofing,071,701,
119,8594,,5280,Cementitious Fireproofing,078,801,
120,8595,,5280,Doors & Frames,081,1001,
