,wbs_id,proj_id,obs_id,seq_num,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,40629,8788,540,2701,Y,N,WS_Open,CCA R03 dt 24Oct11SC,CCAD CPM Rev.3 dt 24-Oct-2011 (Subcontractor Copy),,26063,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,JPs7RiA6RkWgjo1r5HpJxw,,
1,40630,8788,540,0,N,N,WS_Open,MI,Contract Milestones,,40629,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,peD3ioHfbUCp0pJR5w7MgA,,
2,40631,8788,540,6,N,N,WS_Open,PC,Pre-Construction Activities,,40629,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,c9cB2/gsYUaAMjO0rbucVg,,
3,40632,8788,540,414,N,N,WS_Open,VO,Approved Variation Orders,,40629,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,UJExrQ+Q/E+OSgPa+w/hQw,,
4,40633,8788,540,7,N,N,WS_Open,TE,Temporary Works,,40629,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,1RnL1fBAtk+3u5de9iSOFg,,
5,40634,8788,540,11,N,N,WS_Open,CU,CUP(Central Utility Plant),,40629,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,WNaHorpXq0qXzBFtPuxS8A,,
6,40635,8788,540,404,N,N,WS_Open,SW,Swing Wing,,40629,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,12zyJ1peL06hQWto/p2QOQ,,
7,40636,8788,540,10,N,N,WS_Open,MU,Mockup,,40629,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,gOM5cOQ92kCGKajxzx+y/Q,,
8,40637,8788,540,405,N,N,WS_Open,PT,Patient Tower,,40629,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,S91hw2yvYU65V/7kI23/5A,,
9,40638,8788,540,8,N,N,WS_Open,GU,"Global Utility, Leave-out & T&C",,40629,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,hDj3LK48LES+01pAMFZ9Tw,,
10,40639,8788,540,411,N,N,WS_Open,GL,Landscaping & External Cladding,,40629,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,x/oCa0ZJHEa3FJnUzNKzdg,,
