,rsrc_id,parent_rsrc_id,clndr_id,role_id,shift_id,user_id,pobs_id,guid,rsrc_seq_num,email_addr,employee_code,office_phone,other_phone,rsrc_name,rsrc_short_name,rsrc_title_name,def_qty_per_hr,cost_qty_type,ot_factor,active_flag,auto_compute_act_flag,def_cost_qty_link_flag,ot_flag,curr_id,unit_id,rsrc_type,location_id,rsrc_notes,load_tasks_flag,level_flag,last_checksum
0,13411,,12845,,,,,CG0sHWRoZUu6gLEBF7j3Kg,21502,,,,,Cost,CC,,0,QT_Hour,0,Y,Y,Y,N,1,2068,RT_Mat,,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META content=""""text/html; charset=unicode"""" http-equiv=Content-Type><META name=GENERATOR content=""""MSHTML 8.00.6001.18876""""></HEAD><BODY bgColor=#ffffff></BODY></HTML>",,,
1,13412,13410,12845,,,,,NrVHzviWgkueqYVbRgrQDA,4,,,,,Loaded Manhours,LABOR MANHOURS,,1,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,,,
2,13413,13410,12845,,,,,MMHHsNx8sUSonlQ6kIVX3Q,2,,,,,Loaded Quantities,QTY,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
3,13414,13412,12845,,,,,hu1kH+JJRUSRLe1lV6ip5A,4507,,,,,MEP WORKS,LAB MEP,,1,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,,,
4,13415,13413,12845,,,,,BLm56o99FE2nzDz282gZyA,701,,,,,FACADE QUANTITIES,QTY FACADE,,1,QT_Hour,,Y,Y,Y,N,1,414,RT_Mat,,,,,
5,13416,13413,12845,,,,,cM4pVZnutUOr2d5zCpi+1g,301,,,,,CONCRETE,QTY CONCRETE,,1,QT_Hour,0,Y,Y,Y,N,1,413,RT_Mat,,,,,
6,13417,13413,12845,,,,,n+w+CjUixkytfMgro9ppCQ,0,,,,,WOOD WORK/CASEWORK,QTY CASEWORK,,1,QT_Hour,,Y,Y,Y,N,1,1813,RT_Mat,,,,,
7,13418,13413,12845,,,,,T1Wx2Pd+lE+GVJHLUNJAvg,801,,,,,FF&E,QTY FF&E,,1,QT_Hour,0,Y,Y,Y,N,1,1813,RT_Mat,,,,,
8,13419,13413,12845,,,,,ek7PR0+duUmdAjBkNqpTPg,4001,,,,,STRUCTURAL STEEL,QTY STEEL,,1,QT_Hour,0,Y,Y,Y,N,1,2066,RT_Mat,,,,,
9,13420,13412,12845,,,,,Wuh0y7O7/ESjc/l6WxhU5w,1001,,,,,FACADE LABOR MANHOURS,LAB FACADE,,1,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,,,
10,13421,13413,12845,,,,,O56BhvMoCE2umwAF425P/A,3901,,,,,SIGNAGES,QTY SIGNAGE,,1,QT_Hour,0,Y,Y,Y,N,1,1813,RT_Mat,,,,,
11,13422,13413,12845,,,,,FXjy7Mv+5UKwmpGHlx6mvw,6,,,,,CEMENTITIOUS FIREPROOFING,QTY CEM FIRE,,1,QT_Hour,0,Y,Y,Y,N,1,414,RT_Mat,,,,,
12,13423,13413,12845,,,,,j0SK1BwuUEqnqnTmpf6Lcg,601,,,,,EXCAVATION & BACKFILLING,QTY EXCAV-FILL,,1,QT_Hour,0,Y,Y,Y,N,1,413,RT_Mat,,,,,
13,13424,13413,12845,,,,,uktsN6SXg0KyxnN/Ya58Hw,3701,,,,,METAL DECKING,QTY METAL DECK,,1,QT_Hour,0,Y,Y,Y,N,1,414,RT_Mat,,,,,
