,rsrc_rate_id,rsrc_id,max_qty_per_hr,cost_per_qty,start_date,shift_period_id,cost_per_qty2,cost_per_qty3,cost_per_qty4,cost_per_qty5
0,8885,13457,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
1,8886,13458,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
2,8887,13489,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
3,8888,13463,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
4,8889,13464,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
5,8890,13460,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
6,8891,13466,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
7,8892,13423,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
8,8893,13495,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
9,8894,13477,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
10,8895,13416,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
11,8896,13422,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
12,8897,13480,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
13,8898,13481,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
14,8899,13482,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
15,8900,13483,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
16,8901,13431,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
17,8902,13442,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
18,8903,13467,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
19,8904,13471,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
20,8905,13488,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
21,8906,13470,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
22,8907,13459,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
23,8908,13461,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
24,8909,13462,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
25,8910,13468,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
26,8911,13418,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
27,8912,13421,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
28,8913,13424,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
29,8914,13430,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
30,8915,13419,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
31,8916,13496,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
32,8917,13484,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
33,8918,13428,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
34,8919,13478,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
35,8920,13486,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
36,8921,13445,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
37,8922,13485,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
38,8923,13469,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
39,8924,13465,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
40,8925,13508,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
41,8926,13476,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
42,8927,13472,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
43,8928,13473,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
44,8929,13479,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
45,8930,13475,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
46,8931,13518,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
47,8932,13515,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
48,8933,13517,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
49,8934,13474,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
50,8935,13527,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
51,8936,13491,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
52,8937,13494,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
53,8938,13429,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
54,8939,13504,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
55,8940,13503,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
56,8941,13435,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
57,8942,13439,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
58,8943,13500,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
59,8944,13499,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
60,8945,13498,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
61,8946,13497,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
62,8947,13425,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
63,8948,13433,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
64,8949,13490,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
65,8950,13505,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
66,8951,13502,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
67,8952,13523,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
68,8953,13510,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
69,8954,13509,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
70,8955,13519,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
71,8956,13501,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
72,8957,13427,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
73,8958,13426,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
74,8959,13434,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
75,8960,13449,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
76,8961,13437,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
77,8962,13511,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
78,8963,13513,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
79,8964,13447,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
80,8965,13512,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
81,8966,13521,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
82,8967,13438,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
83,8968,13520,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
84,8969,13487,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
85,8970,13492,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
86,8971,13493,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
87,8972,13514,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
88,8973,13516,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
89,8974,13522,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
90,8975,13506,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
91,8976,13507,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
92,8977,13524,3343,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
93,8978,13525,898.875,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
94,8979,13526,3745.375,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
95,8980,13436,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
96,8981,13417,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
97,8982,13432,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
98,8983,13453,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
99,8984,13446,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
100,8985,13443,1,0.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
101,8986,13455,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
102,8987,13528,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
103,8988,13411,1,1.00,2010-01-01 00:00,,0.00,0.00,0.00,0.00
