,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,252418,160430,160556,8788,8788,PR_FS,0,,2013-02-20 17:00,2013-03-04 08:01
1,252419,160430,160557,8788,8788,PR_SS,0,,2012-04-10 13:48,2012-02-12 11:49
2,252420,160430,160558,8788,8788,PR_SS,0,,2012-04-10 13:48,2012-02-12 11:49
3,252421,160430,160559,8788,8788,PR_SS,0,,2012-04-10 13:48,2012-02-12 11:49
4,252422,160430,160560,8788,8788,PR_SS,0,,2012-06-10 08:00,2012-04-11 16:01
5,252423,160430,160561,8788,8788,PR_SS,0,,2012-06-10 08:00,2012-04-11 16:01
6,252424,160430,160562,8788,8788,PR_SS,0,,2012-06-10 08:00,2012-04-11 16:01
7,252425,160430,160563,8788,8788,PR_SS,0,,2012-07-16 08:00,2012-03-27 08:02
8,252426,160430,160564,8788,8788,PR_SS,0,,2012-04-10 13:48,2012-02-12 11:49
9,252427,160556,160444,8788,8788,PR_FS,0,,2011-12-15 11:56,2013-03-04 08:01
10,252428,160557,160451,8788,8788,PR_FS,0,,2012-04-10 13:48,2013-03-04 08:01
11,252429,160557,174184,8788,8788,PR_FF,0,,2011-11-13 09:21,2013-05-04 17:00
12,252430,160557,174185,8788,8788,PR_FF,0,,2011-11-13 09:21,2013-05-04 17:00
13,252431,160557,174186,8788,8788,PR_FF,0,,2011-11-13 09:21,2013-05-04 17:00
14,252432,160557,174194,8788,8788,PR_FF,0,,2011-12-06 09:21,2013-05-04 17:00
15,252433,160557,174187,8788,8788,PR_FF,0,,2011-11-13 09:21,2013-05-04 17:00
16,252434,160557,174188,8788,8788,PR_FF,0,,2011-10-01 09:21,2013-05-04 17:00
17,252435,160557,174189,8788,8788,PR_FF,0,,2011-11-13 09:21,2013-05-04 17:00
18,252436,160557,174190,8788,8788,PR_FF,0,,2011-10-01 09:21,2013-05-04 17:00
19,252437,160557,174191,8788,8788,PR_FF,0,,2011-11-13 09:21,2013-05-04 17:00
20,252438,160557,174192,8788,8788,PR_FF,0,,2011-11-13 09:21,2013-05-04 17:00
21,252439,160557,174193,8788,8788,PR_FF,0,,2011-11-22 09:21,2013-05-04 17:00
22,252440,160557,174195,8788,8788,PR_FF,0,,2011-11-13 09:21,2013-05-04 17:00
23,252441,160557,174234,8788,8788,PR_FF,0,,2011-10-20 15:36,2013-05-04 17:00
24,252442,160557,174233,8788,8788,PR_FF,0,,2011-09-15 15:36,2013-05-04 17:00
25,252443,160557,174243,8788,8788,PR_FF,0,,2011-11-03 15:36,2013-05-04 17:00
26,252444,160557,174236,8788,8788,PR_FF,0,,2011-09-12 09:21,2013-05-04 17:00
27,252445,160557,174235,8788,8788,PR_FF,0,,2011-10-03 09:21,2013-05-04 17:00
28,252446,160557,174238,8788,8788,PR_FF,0,,2011-10-20 15:36,2013-05-04 17:00
29,252447,160557,174240,8788,8788,PR_FF,0,,2011-09-15 15:36,2013-05-04 17:00
30,252448,160557,174239,8788,8788,PR_FF,0,,2011-09-15 15:36,2013-05-04 17:00
31,252449,160557,174237,8788,8788,PR_FF,0,,2011-12-25 09:21,2013-05-04 17:00
32,252450,160557,174241,8788,8788,PR_FF,0,,2011-10-31 09:21,2013-05-04 17:00
33,252451,160557,174242,8788,8788,PR_FF,0,,2011-09-15 15:36,2013-05-04 17:00
34,252452,160557,173987,8788,8788,PR_FF,0,,2011-09-01 15:36,2013-05-04 17:00
35,252453,160557,173854,8788,8788,PR_FF,0,,2011-09-08 15:36,2013-05-04 17:00
36,252454,160557,173994,8788,8788,PR_FF,0,,2011-09-12 15:36,2013-05-04 17:00
37,252455,160557,173861,8788,8788,PR_FF,0,,2011-09-19 15:36,2013-05-04 17:00
38,252456,160557,173988,8788,8788,PR_FF,0,,2011-09-22 15:36,2013-05-04 17:00
39,252457,160557,173855,8788,8788,PR_FF,0,,2011-09-29 15:36,2013-05-04 17:00
40,252458,160557,173989,8788,8788,PR_FF,0,,2011-10-03 15:36,2013-05-04 17:00
41,252459,160557,173856,8788,8788,PR_FF,0,,2011-10-10 15:36,2013-05-04 17:00
42,252460,160557,173990,8788,8788,PR_FF,0,,2011-10-13 15:36,2013-05-04 17:00
43,252461,160557,173857,8788,8788,PR_FF,0,,2011-10-24 09:21,2013-05-04 17:00
44,252462,160557,174137,8788,8788,PR_FF,0,,2011-08-03 10:00,2013-05-04 17:00
45,252463,160557,174138,8788,8788,PR_FF,0,,2011-08-03 10:00,2013-05-04 17:00
46,252464,160557,174139,8788,8788,PR_FF,0,,2011-08-03 10:00,2013-05-04 17:00
47,252465,160557,174147,8788,8788,PR_FF,0,,2011-09-18 10:00,2013-05-04 17:00
48,252466,160557,174140,8788,8788,PR_FF,0,,2011-08-03 10:00,2013-05-04 17:00
49,252467,160557,174141,8788,8788,PR_FF,0,,2011-06-19 10:00,2013-05-04 17:00
50,252468,160557,174142,8788,8788,PR_FF,0,,2011-08-03 10:00,2013-05-04 17:00
51,252469,160557,174143,8788,8788,PR_FF,0,,2011-07-13 10:00,2013-05-04 17:00
52,252470,160557,174144,8788,8788,PR_FF,0,,2011-08-03 10:00,2013-05-04 17:00
53,252471,160557,174145,8788,8788,PR_FF,0,,2011-08-03 10:00,2013-05-04 17:00
54,252472,160557,174146,8788,8788,PR_FF,0,,2011-07-25 10:00,2013-05-04 17:00
55,252473,160557,174148,8788,8788,PR_FF,0,,2011-08-03 10:00,2013-05-04 17:00
56,252474,160557,173944,8788,8788,PR_FF,0,,2011-12-13 09:54,2013-05-04 17:00
57,252475,160557,173943,8788,8788,PR_FF,0,,2011-11-03 09:54,2013-05-04 17:00
58,252476,160557,173953,8788,8788,PR_FF,0,,2012-02-09 09:54,2013-05-04 17:00
59,252477,160557,173946,8788,8788,PR_FF,0,,2011-10-13 09:54,2013-05-04 17:00
60,252478,160557,173945,8788,8788,PR_FF,0,,2011-11-03 09:54,2013-05-04 17:00
61,252479,160557,173948,8788,8788,PR_FF,0,,2011-12-13 09:54,2013-05-04 17:00
62,252480,160557,173950,8788,8788,PR_FF,0,,2011-11-21 09:54,2013-05-04 17:00
63,252481,160557,173949,8788,8788,PR_FF,0,,2011-11-21 09:54,2013-05-04 17:00
64,252482,160557,173947,8788,8788,PR_FF,0,,2011-12-13 09:54,2013-05-04 17:00
65,252483,160557,173951,8788,8788,PR_FF,0,,2011-10-13 09:54,2013-05-04 17:00
66,252484,160557,173952,8788,8788,PR_FF,0,,2011-11-21 09:54,2013-05-04 17:00
67,252485,160557,174052,8788,8788,PR_FF,0,,2011-09-07 15:48,2013-05-04 17:00
68,252486,160557,174074,8788,8788,PR_FF,0,,2011-09-15 09:54,2013-05-04 17:00
69,252487,160557,173811,8788,8788,PR_FF,0,,2011-08-18 11:48,2013-05-04 17:00
70,252488,160557,174059,8788,8788,PR_FF,0,,2011-09-21 15:48,2013-05-04 17:00
71,252489,160557,174081,8788,8788,PR_FF,0,,2011-09-29 09:54,2013-05-04 17:00
72,252490,160557,173818,8788,8788,PR_FF,0,,2011-09-04 11:48,2013-05-04 17:00
73,252491,160557,174053,8788,8788,PR_FF,0,,2011-10-05 15:48,2013-05-04 17:00
74,252492,160557,174075,8788,8788,PR_FF,0,,2011-10-13 09:54,2013-05-04 17:00
75,252493,160557,173812,8788,8788,PR_FF,0,,2011-09-18 11:48,2013-05-04 17:00
76,252494,160557,174054,8788,8788,PR_FF,0,,2011-10-19 15:48,2013-05-04 17:00
77,252495,160557,174076,8788,8788,PR_FF,0,,2011-11-03 09:54,2013-05-04 17:00
78,252496,160557,173813,8788,8788,PR_FF,0,,2011-10-02 11:48,2013-05-04 17:00
79,252497,160557,174055,8788,8788,PR_FF,0,,2011-11-24 15:48,2013-05-04 17:00
80,252498,160557,174077,8788,8788,PR_FF,0,,2011-11-29 09:54,2013-05-04 17:00
81,252499,160557,173814,8788,8788,PR_FF,0,,2011-11-02 13:48,2013-05-04 17:00
82,252500,160557,174319,8788,8788,PR_FF,0,,2011-08-07 10:12,2013-05-04 17:00
83,252501,160557,173873,8788,8788,PR_FF,0,,2011-08-16 10:12,2013-05-04 17:00
84,252502,160557,174320,8788,8788,PR_FF,0,,2011-08-07 10:12,2013-05-04 17:00
85,252503,160557,173874,8788,8788,PR_FF,0,,2011-08-16 10:12,2013-05-04 17:00
86,252504,160557,174321,8788,8788,PR_FF,0,,2011-08-07 10:12,2013-05-04 17:00
87,252505,160557,173875,8788,8788,PR_FF,0,,2011-08-16 10:12,2013-05-04 17:00
88,252506,160557,174329,8788,8788,PR_FF,0,,2011-08-08 10:12,2013-05-04 17:00
89,252507,160557,173883,8788,8788,PR_FF,0,,2011-09-01 10:12,2013-05-04 17:00
90,252508,160557,174322,8788,8788,PR_FF,0,,2011-08-07 10:12,2013-05-04 17:00
91,252509,160557,173876,8788,8788,PR_FF,0,,2011-08-16 10:12,2013-05-04 17:00
92,252510,160557,174323,8788,8788,PR_FF,0,,2010-11-20 13:49,2013-05-04 17:00
93,252511,160557,173877,8788,8788,PR_FF,0,,2011-06-16 10:12,2013-05-04 17:00
94,252512,160557,174324,8788,8788,PR_FF,0,,2011-08-07 10:12,2013-05-04 17:00
95,252513,160557,173878,8788,8788,PR_FF,0,,2011-08-16 10:12,2013-05-04 17:00
96,252514,160557,174325,8788,8788,PR_FF,0,,2011-07-28 10:12,2013-05-04 17:00
97,252515,160557,173879,8788,8788,PR_FF,0,,2011-07-28 10:12,2013-05-04 17:00
98,252516,160557,174326,8788,8788,PR_FF,0,,2011-08-07 10:12,2013-05-04 17:00
99,252517,160557,173880,8788,8788,PR_FF,0,,2011-08-16 10:12,2013-05-04 17:00
100,252518,160557,174327,8788,8788,PR_FF,0,,2011-08-07 10:12,2013-05-04 17:00
101,252519,160557,173881,8788,8788,PR_FF,0,,2011-08-16 10:12,2013-05-04 17:00
102,252520,160557,174328,8788,8788,PR_FF,0,,2011-07-28 10:12,2013-05-04 17:00
103,252521,160557,173882,8788,8788,PR_FF,0,,2011-07-28 10:12,2013-05-04 17:00
104,252522,160557,174330,8788,8788,PR_FF,0,,2011-08-07 10:12,2013-05-04 17:00
105,252523,160557,173884,8788,8788,PR_FF,0,,2011-08-16 10:12,2013-05-04 17:00
106,252524,160557,174096,8788,8788,PR_FF,0,,2011-07-18 10:12,2013-05-04 17:00
107,252525,160557,174408,8788,8788,PR_FF,0,,2011-07-21 10:12,2013-05-04 17:00
108,252526,160557,174103,8788,8788,PR_FF,0,,2011-07-28 10:12,2013-05-04 17:00
109,252527,160557,174415,8788,8788,PR_FF,0,,2011-07-28 10:12,2013-05-04 17:00
110,252528,160557,174097,8788,8788,PR_FF,0,,2011-08-08 10:12,2013-05-04 17:00
111,252529,160557,174409,8788,8788,PR_FF,0,,2011-08-04 10:12,2013-05-04 17:00
112,252530,160557,174098,8788,8788,PR_FF,0,,2011-08-18 10:12,2013-05-04 17:00
113,252531,160557,174410,8788,8788,PR_FF,0,,2011-08-11 10:12,2013-05-04 17:00
114,252532,160557,174099,8788,8788,PR_FF,0,,2011-08-29 10:12,2013-05-04 17:00
115,252533,160557,174411,8788,8788,PR_FF,0,,2011-08-18 10:12,2013-05-04 17:00
116,252534,160557,174117,8788,8788,PR_FF,0,,2011-05-16 13:48,2013-05-04 17:00
117,252535,160557,174365,8788,8788,PR_FF,0,,2011-08-25 10:12,2013-05-04 17:00
118,252536,160557,174124,8788,8788,PR_FF,0,,2011-05-30 13:48,2013-05-04 17:00
119,252537,160557,174372,8788,8788,PR_FF,0,,2011-09-11 10:12,2013-05-04 17:00
120,252538,160557,174118,8788,8788,PR_FF,0,,2011-06-13 13:48,2013-05-04 17:00
121,252539,160557,174366,8788,8788,PR_FF,0,,2011-09-25 10:12,2013-05-04 17:00
122,252540,160557,174119,8788,8788,PR_FF,0,,2011-06-27 13:48,2013-05-04 17:00
123,252541,160557,174367,8788,8788,PR_FF,0,,2011-10-10 10:12,2013-05-04 17:00
124,252542,160557,174120,8788,8788,PR_FF,0,,2011-07-19 11:48,2013-05-04 17:00
125,252543,160557,174368,8788,8788,PR_FF,0,,2011-10-24 10:12,2013-05-04 17:00
126,252544,160557,174427,8788,8788,PR_FF,0,,2011-07-25 08:03,2013-05-04 17:00
127,252545,160557,174006,8788,8788,PR_FF,0,,2010-12-06 09:24,2013-05-04 17:00
128,252546,160557,174428,8788,8788,PR_FF,0,,2011-07-25 08:03,2013-05-04 17:00
129,252547,160557,174007,8788,8788,PR_FF,0,,2010-12-06 09:24,2013-05-04 17:00
130,252548,160557,174429,8788,8788,PR_FF,0,,2011-07-25 08:03,2013-05-04 17:00
131,252549,160557,174008,8788,8788,PR_FF,0,,2010-12-06 09:24,2013-05-04 17:00
132,252550,160557,174437,8788,8788,PR_FF,0,,2011-07-17 09:03,2013-05-04 17:00
133,252551,160557,174016,8788,8788,PR_FF,0,,2010-10-12 09:02,2013-05-04 17:00
134,252552,160557,174430,8788,8788,PR_FF,0,,2011-07-25 08:03,2013-05-04 17:00
135,252553,160557,174009,8788,8788,PR_FF,0,,2010-11-20 08:24,2013-05-04 17:00
136,252554,160557,174431,8788,8788,PR_FF,0,,2011-05-10 09:03,2013-05-04 17:00
137,252555,160557,174010,8788,8788,PR_FF,0,,2010-11-20 09:24,2013-05-04 17:00
138,252556,160557,174432,8788,8788,PR_FF,0,,2011-07-25 08:03,2013-05-04 17:00
139,252557,160557,174011,8788,8788,PR_FF,0,,2010-10-28 08:09,2013-05-04 17:00
140,252558,160557,174433,8788,8788,PR_FF,0,,2011-07-17 09:03,2013-05-04 17:00
141,252559,160557,174012,8788,8788,PR_FF,0,,2010-11-30 09:24,2013-05-04 17:00
142,252560,160557,174434,8788,8788,PR_FF,0,,2011-07-25 08:03,2013-05-04 17:00
143,252561,160557,174013,8788,8788,PR_FF,0,,2010-11-30 09:24,2013-05-04 17:00
144,252562,160557,174435,8788,8788,PR_FF,0,,2011-07-25 08:03,2013-05-04 17:00
