,udf_type_id,table_name,udf_type_name,udf_type_label,logical_data_type,super_flag,indicator_expression,summary_indicator_expression
0,863,TASK,user_field_863,user_number8,FT_FLOAT_2_DECIMALS,N,,
1,1013,PROJECT,user_field_1013,user_text1,FT_TEXT,N,,
2,1014,TASK,user_field_1014,user_end_date3,FT_END_DATE,N,,
3,1015,TASK,user_field_1015,user_end_date4,FT_END_DATE,N,,
4,1016,TASK,user_field_1016,user_integer1,FT_INT,N,,
5,1017,TASK,user_field_1017,user_integer2,FT_INT,N,,
6,1018,TASK,user_field_1018,Actual Cost,FT_FLOAT_2_DECIMALS,N,,
7,1019,TASK,user_field_1019,user_number7,FT_FLOAT_2_DECIMALS,N,,
8,1021,TASK,user_field_1021,user_text2,FT_TEXT,N,,
9,1022,TASK,user_field_1022,Change Order #,FT_TEXT,N,,
10,1023,TASK,user_field_1023,user_text4,FT_TEXT,N,,
11,1024,TASK,user_field_1024,user_text5,FT_TEXT,N,,
12,1025,TASK,user_field_1025,NEW ACTIVITY ID,FT_TEXT,N,,
13,1026,TASK,user_field_1026,change id,FT_TEXT,N,,
14,1027,TASK,user_field_1027,IDDD,FT_TEXT,N,,
15,1028,TASK,user_field_1028,No.of Wor Days,FT_INT,N,,
16,1029,TASK,user_field_1029,Duration|Differe,FT_INT,N,,
17,1030,TASK,user_field_1030,DIVISION FOR ACTIVITY ID,FT_TEXT,N,,
18,1031,TASK,user_field_1031,name,FT_TEXT,N,,
19,1032,TASK,user_field_1032,RENZ CODE,FT_TEXT,N,,
20,1033,TASK,user_field_1033,ACCESS DATES,FT_TEXT,N,,
21,1034,TASK,user_field_1034,RENZ % COMPLETE,FT_FLOAT_2_DECIMALS,N,,
22,1035,TASK,user_field_1035,PERCENT COMPLETE,FT_FLOAT_2_DECIMALS,N,,
23,1036,TASK,user_field_1036,July2011 Target% Complete,FT_FLOAT_2_DECIMALS,N,,
24,1037,TASK,user_field_1037,Claimed This Month,FT_FLOAT_2_DECIMALS,N,,
25,1038,TASK,user_field_1038,N_%,FT_INT,N,,
26,1039,TASK,user_field_1039,CARPARK NEW ACTIVITIES_REV03,FT_TEXT,N,,
27,1040,TASK,user_field_1040,Y_id,FT_TEXT,N,,
28,1041,TASK,user_field_1041,YC_id,FT_TEXT,N,,
29,1042,TASK,user_field_1042,P_811,FT_FLOAT_2_DECIMALS,N,,
30,1043,TASK,user_field_1043,P_711,FT_FLOAT_2_DECIMALS,N,,
31,1044,TASK,user_field_1044,U%,FT_FLOAT_2_DECIMALS,N,,
32,1045,TASK,user_field_1045,Not include in Draft Application,FT_TEXT,N,,
