,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,11680,785,648,100,1,Y,N,WS_Open,CFC baseline,Office Building 14B01 Substructure Package,,10170,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,bnwxIFlXxEalC9zy7Y+DTg,,
1,11681,785,648,0,1,N,N,WS_Open,1,General,,11680,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,jE+Wub6Az0q6GM0Phdu9nw,,
2,11682,785,648,3,1,N,N,WS_Open,3,construction,,11680,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,d6wQt0SzukawiZLN1qFi5Q,,
3,11683,785,648,1,1,N,N,WS_Open,2,Engineering,,11680,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,Uae+x7+U5U+UFzS5Uy/PLg,,
4,11684,785,648,201,1,N,N,WS_Open,TANK,Tank,,11686,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,Ui1fj/OusUO3KWQ5O4J3Ww,,
5,11685,785,648,2,1,N,N,WS_Open,3,Tank,,11683,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,S+V1qE1tykyhsVvOxd05WA,,
6,11686,785,648,0,1,N,N,WS_Open,OFC,Office building,,11682,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,vuaQcOfFMkS3LSWahOiFQg,,
7,11687,785,648,102,1,N,N,WS_Open,2,Tower 2,,11683,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,VqMF4QeyA0mePX+emZiCuw,,
8,11688,785,648,2,1,N,N,WS_Open,1,Tower 1,,11683,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,wZHHcLFWek6Rt7/AvG7gDw,,
9,11689,785,648,101,1,N,N,WS_Open,P2,Tower 2,,11686,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,wJBGUD5xOUCBpMFYXqaGog,,
10,11690,785,648,1,1,N,N,WS_Open,P1,Tower 1,,11686,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,SD7zEm9qX0mjIvEkJBQClw,,
11,11691,785,648,3,1,N,N,WS_Open,1,Submittals,,11688,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,vzOD23eKo0GRC9EgeDlOCw,,
12,11692,785,648,103,1,N,N,WS_Open,2,Approvals,,11688,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,LmqrnEVd20GO9Z4ujMoH9w,,
13,11693,785,648,202,1,N,N,WS_Open,1,Submittals,,11687,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,xZEMKfiOeUG6HHb4dp7J+A,,
14,11694,785,648,302,1,N,N,WS_Open,2,Approvals,,11687,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,AZGfdfFgsEu4vWoCzClg1Q,,
15,11695,785,648,101,1,N,N,WS_Open,A2,Area 2 (1450 m2),,11690,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,3LTFCS2Txk+FCLQdnh8jGw,,
16,11696,785,648,2,1,N,N,WS_Open,A3,Area 3 (660 m2),,11689,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,rh9CPVJEA0SWW1ydanK+wQ,JtSvmx4EtUCC6SKVm1w9qQ,
17,11697,785,648,101,1,N,N,WS_Open,A3,Area 3 (660 m2),,11690,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,9f08Dw1DWkGRbAX5C3YKsw,,
18,11698,785,648,0,1,N,N,WS_Open,A1,Area 1 (550 m2),,11690,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,ZJQFF0w6+U26XqmA/E1LGQ,,
19,11699,785,648,0,1,N,N,WS_Open,A1,Area 1 (550 m2),,11689,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,P9CClSEC20mrV6fO/XIFYA,yOk/wmInb0u9lye6fwABgA,
20,11700,785,648,1,1,N,N,WS_Open,A2,Area 2 (1450 m2),,11689,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,YzIsY7rcRUuLphYydQKt+A,fQHVDAGna02FFtF0xgOyJw,
21,11701,785,648,101,1,N,N,WS_Open,1,Earth Work For Tower 1,,11690,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,C/uavqC+3E2caCQkHRqgIw,,
22,11702,785,648,201,1,N,N,WS_Open,2,Testing & Handingover For Tower 1,,11690,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,Rbax863RV02Z2GiSgVlO1w,,
23,11703,785,648,102,1,N,N,WS_Open,1,Earth Work For Tower 2,,11689,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,EFcj+mN4z0mUfTMScIYVUA,OzawMpKE6UuDXl3EW6cPRA,
24,11704,785,648,103,1,N,N,WS_Open,2,Testing & Handingover For Tower 2,,11689,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,497i5+t7Bki4eDYZ22G3wA,YDJuQMT4Dk+pRDiKbik/wg,
25,11705,785,648,1,1,N,N,WS_Open,1,R.C Raft,,11698,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,gBETZ9DhJkif9YPNHhAmdg,,
26,11706,785,648,101,1,N,N,WS_Open,2,Basement Walls & Columns,,11698,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,EhFINjcUrEymvY0bvoiBsA,,
27,11707,785,648,201,1,N,N,WS_Open,3,Basement Slab,,11698,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,A+CS28QQDUWNhN9ADjOmgw,,
28,11708,785,648,0,1,N,N,WS_Open,1,R.C Raft,,11695,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,fwYqdNpl3UCvjqLu7R6WGg,TSlxiZMM30+FpDZkcW5nxQ,
29,11709,785,648,1,1,N,N,WS_Open,2,Basement Walls & Columns,,11695,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,4XZ4n1BjiUuukvT41kiJWw,/rnrKjdcrEyvS2suaRgRmw,
30,11710,785,648,2,1,N,N,WS_Open,3,Basement Slab,,11695,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,M6yW/qvzJ0mltNGXHTFtYg,rIlveXae5EOoSQP4CdejOw,
31,11711,785,648,0,1,N,N,WS_Open,1,R.C Raft,,11697,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,DRauTZXWWUmP2lOhPxvZYA,TSlxiZMM30+FpDZkcW5nxQ,
32,11712,785,648,1,1,N,N,WS_Open,2,Basement Walls & Columns,,11697,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,N4W6KjTIHEiABZNbMW7UUw,/rnrKjdcrEyvS2suaRgRmw,
33,11713,785,648,2,1,N,N,WS_Open,3,Basement Slab,,11697,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,8lTdUgaXkEO7G6HovXyyVw,rIlveXae5EOoSQP4CdejOw,
34,11714,785,648,0,1,N,N,WS_Open,1,R.C Raft,,11699,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,5GupnMS6GkWGELmXbNfomw,TSlxiZMM30+FpDZkcW5nxQ,
35,11715,785,648,1,1,N,N,WS_Open,2,Basement Walls & Columns,,11699,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,FF3ecTZg9Uu52SnL7ayj7A,/rnrKjdcrEyvS2suaRgRmw,
36,11716,785,648,2,1,N,N,WS_Open,3,Basement Slab,,11699,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,b5VRxLL210GVYYFzRH9dnQ,rIlveXae5EOoSQP4CdejOw,
37,11717,785,648,0,1,N,N,WS_Open,1,R.C Raft,,11700,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,t0RakA3/zEmUp+fIEBXjmw,TSlxiZMM30+FpDZkcW5nxQ,
38,11718,785,648,1,1,N,N,WS_Open,2,Basement Walls & Columns,,11700,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,+5Mcr8585UyN4uZFtbe6NA,/rnrKjdcrEyvS2suaRgRmw,
39,11719,785,648,2,1,N,N,WS_Open,3,Basement Slab,,11700,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,YMgBSSrg/0eCyFhTLoJrwA,rIlveXae5EOoSQP4CdejOw,
40,11720,785,648,0,1,N,N,WS_Open,1,R.C Raft,,11696,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,5a+5fixsVk+n9W60D/PoWA,TSlxiZMM30+FpDZkcW5nxQ,
41,11721,785,648,1,1,N,N,WS_Open,2,Basement Walls & Columns,,11696,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,W1vzt5ybOka2bTp2i3VOmg,/rnrKjdcrEyvS2suaRgRmw,
42,11722,785,648,2,1,N,N,WS_Open,3,Basement Slab,,11696,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,vf7fOcYKVUCa7HU6HvGwtw,rIlveXae5EOoSQP4CdejOw,
43,11723,785,648,301,1,N,N,WS_Open,4,Insulation & Water Proofing,,11698,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,oEE24ES59E2RIvPGmp1wvA,,
44,11724,785,648,102,1,N,N,WS_Open,4,Insulation & Water Proofing,,11695,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,1cmXv2Bv10KSXX1nwC0+Ow,x/KkRlQftke61J5jM6D39A,
45,11725,785,648,102,1,N,N,WS_Open,4,Insulation & Water Proofing,,11697,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,S6iM4gOuoEWmPPt4lLV0IQ,Ol5AiNW7SE+FMEqIs7h0RQ,
46,11726,785,648,102,1,N,N,WS_Open,4,Insulation & Water Proofing,,11699,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,xOhwF9D1qEKVoW+WPVFKEA,Ol5AiNW7SE+FMEqIs7h0RQ,
47,11727,785,648,3,1,N,N,WS_Open,4,Insulation & Water Proofing,,11700,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,/9ZzaWTXeEO3jcLki1Gt6Q,Ol5AiNW7SE+FMEqIs7h0RQ,
48,11728,785,648,102,1,N,N,WS_Open,4,Insulation & Water Proofing,,11696,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,zu14WGvnQEWWCE0tnIczJQ,Ol5AiNW7SE+FMEqIs7h0RQ,
