,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,79381,89747,89746,785,785,PR_SS,16,,2010-07-07 16:00,2010-07-04 08:00
1,79382,89749,89747,785,785,PR_FS,0,,2010-07-22 16:00,2010-07-24 08:00
2,79383,89749,89748,785,785,PR_FS,8,,2010-07-22 08:01,2010-07-22 08:00
3,79384,89748,89747,785,785,PR_FS,-16,,2010-07-21 08:00,2010-07-24 16:00
4,79385,89750,89749,785,785,PR_FS,8,,2010-07-26 16:00,2010-07-26 08:00
5,79386,89751,89750,785,785,PR_SS,16,,2010-07-28 16:00,2010-07-21 08:00
6,79387,89752,89751,785,785,PR_FS,0,,2010-08-03 16:00,2010-08-04 08:00
7,79388,89753,89752,785,785,PR_FS,16,,2010-08-07 16:00,2010-09-14 08:00
8,79389,89755,89754,785,785,PR_FS,-16,,2010-08-16 08:00,2010-08-17 16:00
9,79390,89757,89755,785,785,PR_FS,0,,2010-08-22 16:00,2010-08-23 08:00
10,79391,89756,89755,785,785,PR_FS,-16,,2010-08-21 08:00,2010-08-23 16:00
11,79392,89757,89756,785,785,PR_FS,8,,2010-08-22 08:01,2010-08-22 08:00
12,79393,89759,89758,785,785,PR_FS,0,,2010-08-12 16:00,2010-09-16 08:00
13,79394,89745,89743,785,785,PR_FS,0,,2010-07-01 08:00,2010-09-29 08:00
14,79395,89760,89743,785,785,PR_FS,8,,2010-07-01 16:00,2010-07-03 08:00
15,79396,89761,89743,785,785,PR_FS,8,,2010-07-01 16:00,2010-07-03 08:00
16,79397,89762,89743,785,785,PR_FS,72,,2010-07-11 16:00,2010-07-01 08:00
17,79398,89763,89743,785,785,PR_FS,144,,2010-07-21 16:00,2010-07-07 08:00
18,79399,89764,89743,785,785,PR_FS,192,,2010-07-28 16:00,2010-07-06 08:00
19,79400,89765,89743,785,785,PR_FS,240,,2010-08-04 16:00,2010-07-08 08:00
20,79401,89774,89773,785,785,PR_SS,16,,2010-07-31 16:00,2010-08-10 08:00
21,79402,89776,89774,785,785,PR_FS,0,,2010-08-05 16:00,2010-08-25 08:00
