,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,11489,1346,565,309,1,Y,Y,WS_Planned,1,Convention & Exhibition Center Project :Roads & Utilities-CL 14,,10938,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,1EADlA2cN0ynWVtBtHgIxg,,
1,11490,1346,565,0,1,N,Y,WS_Planned,1,Contarct Dates,,11489,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,7/FO97g5xkSo7Cb7R8jtCQ,,
2,11491,1346,565,213,1,N,Y,WS_Planned,5,Completion & Handing Over of Project,,11489,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,L+ILuCCwsEyjf5W9GVkyZg,,
3,11492,1346,565,3,1,N,N,WS_Planned,2,Bridge Works,,11489,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,g7vM09+cWk6jVKT0knKKqw,7r+VL7W6Twiwqx8qaAwxNA,
4,11493,1346,565,209,1,N,N,WS_Planned,3,Internal Road Works,,11489,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,uQdU+yFne0GTJq8IuBU1yg,0sgs02mLQgmnmSDwHHVD1Q,
5,11494,1346,565,2,1,N,N,WS_Planned,4,Technical Queries,,11489,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,qXxW5W1mxE+QdrOzlYOxUw,,
6,11495,1346,565,211,1,N,N,WS_Planned,6,Utilities Works,,11489,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,PD+XSVBAbUqmg6iIvdJ68A,BSmx4tkpZ0646P0pq5hh8g,
7,11496,1346,565,411,1,N,N,WS_Planned,14,Abutment Construction for Bridges,,11492,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,s6CKH0F/70mGQUF5qN521A,rxWSxg+vR360ZJqIgVSgjQ,
8,11497,1346,565,1,1,N,N,WS_Planned,Ph1,Phase no. 1 - Internal Road no. 3,,11493,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,dP3klUwoB025ALX3wCrTDA,vOj9cTHnQEyb/BANNEnHJQ,
9,11498,1346,565,408,1,N,N,WS_Planned,7,Construction Works,,11492,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,OiDeS4WYP0a6c/J8YBE0XA,iX5fnVZ/R+qN/I1bUUXFPA,
10,11499,1346,565,410,1,N,N,WS_Planned,2,Pier Construction for Bridges,,11492,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,GIVndwRMQEqqOzE4MK6EfQ,Q/a70U9jQdyQ8ih38re1GQ,
11,11500,1346,565,3,1,N,N,WS_Planned,2,Completion of Road Works,,11493,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,dHavvpBZwE+PZ2ujYdjKJA,sWX6Y23CSl+S4lV+nhUbRQ,
