,rsrc_rate_id,rsrc_id,max_qty_per_hr,cost_per_qty,start_date,shift_period_id,cost_per_qty2,cost_per_qty3,cost_per_qty4,cost_per_qty5
0,2504,2182,1,0.00,2013-01-01 00:00,,,,,
1,2536,2214,5000,0.00,2013-01-01 00:00,,,,,
2,2978,2508,1,0.00,2013-01-01 00:00,,,,,
3,2982,2566,1,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
4,3031,2969,1,0.00,1999-01-01 00:00,,,,,
5,3032,2987,10,0.00,2013-01-01 00:00,,,,,
6,3033,2989,10,0.00,2013-01-01 00:00,,,,,
7,3034,2988,10,0.00,2013-01-01 00:00,,,,,
8,3035,2985,10,0.00,2012-01-01 00:00,,,,,
9,3036,3000,10,0.00,2012-01-01 00:00,,,,,
10,3037,2986,10,0.00,2012-01-01 00:00,,,,,
11,3038,2984,10,0.00,2012-01-01 00:00,,,,,
12,3039,2983,10,0.00,2012-01-01 00:00,,,,,
13,3040,2982,10,0.00,2012-01-01 00:00,,,,,
14,3041,2971,10,0.00,2012-01-01 00:00,,,,,
15,3042,2970,10,0.00,2012-01-01 00:00,,,,,
16,3043,2981,10,0.00,2012-01-01 00:00,,,,,
17,3044,2980,10,0.00,2012-01-01 00:00,,,,,
18,3045,2979,10,0.00,2012-01-01 00:00,,,,,
19,3046,2978,10,0.00,2012-01-01 00:00,,,,,
20,3047,2977,10,0.00,2012-01-01 00:00,,,,,
21,3048,2975,10,0.00,2012-01-01 00:00,,,,,
22,3049,2974,10,0.00,2012-01-01 00:00,,,,,
23,3050,2973,10,0.00,2012-01-01 00:00,,,,,
24,3051,2972,10,0.00,2012-01-01 00:00,,,,,
25,3052,2908,1,0.00,2012-01-01 00:00,,,,,
26,3053,2990,1,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
27,3054,2991,1,0.00,2012-01-01 00:00,,,,,
28,3055,2992,1,0.00,2012-01-01 00:00,,,,,
29,3056,2993,1,0.00,2012-01-01 00:00,,,,,
30,3057,2994,1,0.00,1999-01-01 00:00,,,,,
31,3058,2995,1,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
32,3063,3001,30,0.00,2012-01-01 00:00,,,,,
33,3064,3002,30,0.00,2012-01-01 00:00,,,,,
34,3065,2910,10,0.00,2012-01-01 00:00,,,,,
35,3066,2913,10,0.00,2012-01-01 00:00,,,,,
36,3067,2914,10,0.00,2012-01-01 00:00,,,,,
37,3068,2909,10,0.00,2012-01-01 00:00,,,,,
38,3069,2930,10,0.00,2012-01-01 00:00,,,,,
39,3070,2912,10,0.00,2012-01-01 00:00,,,,,
40,3071,2926,10,0.00,2012-01-01 00:00,,,,,
41,3072,2927,10,0.00,2012-01-01 00:00,,,,,
42,3073,2911,10,0.00,2012-01-01 00:00,,,,,
43,3074,2924,10,0.00,2012-01-01 00:00,,,,,
44,3075,2925,10,0.00,2012-01-01 00:00,,,,,
45,3076,2918,10,0.00,2012-01-01 00:00,,,,,
46,3077,2919,10,0.00,2012-01-01 00:00,,,,,
47,3078,2915,10,0.00,2012-01-01 00:00,,,,,
48,3079,2916,10,0.00,2012-01-01 00:00,,,,,
49,3080,2917,10,0.00,2012-01-01 00:00,,,,,
50,3081,2922,10,0.00,2012-01-01 00:00,,,,,
51,3082,2923,10,0.00,2012-01-01 00:00,,,,,
52,3083,2920,10,0.00,2012-01-01 00:00,,,,,
53,3084,2921,10,0.00,2012-01-01 00:00,,,,,
54,3085,2928,10,0.00,2012-01-01 00:00,,,,,
55,3086,2929,10,0.00,2012-01-01 00:00,,,,,
56,3087,2949,10,0.00,2013-01-01 00:00,,,,,
57,3088,2959,10,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
58,3089,2960,10,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
59,3090,2961,10,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
60,3091,2906,50,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
61,3094,2941,50,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
62,3095,2942,50,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
63,3096,2943,50,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
64,3097,2933,50,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
65,3098,2934,50,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
66,3099,2935,50,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
67,3100,2946,50,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
68,3101,2936,50,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
69,3102,2937,50,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
70,3103,2938,50,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
71,3104,2951,50,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
72,3105,2947,50,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
73,3106,2948,50,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
74,3107,2968,50,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
75,3108,2950,50,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
76,3109,2955,50,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
77,3110,2952,50,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
78,3111,2953,50,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
79,3113,2944,50,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
80,3114,2945,50,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
81,3115,2932,10,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
82,3116,2931,10,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
83,3117,2905,1,0.00,2012-01-01 00:00,,,,,
84,3118,2907,20,0.00,2012-01-01 00:00,,,,,
85,3120,2963,50,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
86,3121,2964,50,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
87,3122,2965,50,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
88,3123,2966,50,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
89,3124,2967,50,0.00,2013-01-01 00:00,,0.00,0.00,0.00,0.00
