,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user
0,85085,1346,11490,1473,0,100,N,N,N,CP_Phys,TT_Mile,DT_FixedDrtn,RV_OK,TK_Complete,A1,Contract Award Date,,,,0,0,0,0,0,0,0,0,,2012-12-17 07:00,2012-12-17 07:00,2013-04-23 16:00,2013-04-23 16:00,,2013-04-23 00:00,2013-04-23 00:00,,,2012-12-17 07:00,2012-12-17 07:00,,,,,PT_Normal,,,,,Pwli97SyUkytgqAi7FHegQ,,,,N,0,0,,,2013-06-23 13:00,2013-06-23 13:00,admin,admin
1,85086,1346,11490,1473,1,40,N,N,N,CP_Phys,TT_Task,DT_FixedDrtn,RV_OK,TK_Active,A4,Preliminaries,2972,9,9,1870,0,28050,28050,1870,0,0,0,,2013-01-16 16:00,,2013-04-23 16:00,2014-01-15 16:00,,2013-04-23 07:00,2014-01-14 17:00,2013-04-23 07:00,2014-01-14 17:00,2013-04-23 07:00,2014-01-14 17:00,,2013-04-23 16:00,2014-01-15 16:00,,PT_Normal,,,,,jMxbPzBvbkeCUCPvH4C/GA,,,,N,0,0,,,2013-06-23 13:00,2013-06-23 13:00,admin,admin
2,85087,1346,11490,1473,1,100,N,N,N,CP_Phys,TT_Task,DT_FixedDrtn,RV_OK,TK_Complete,A2,Contract Commencement Date,,,,0,0,0,0,9,0,0,0,,2012-12-17 07:00,2012-12-17 16:00,2013-04-23 16:00,2013-04-23 16:00,,2013-04-23 00:00,2013-04-23 00:00,,,2012-12-17 07:00,2012-12-17 16:00,,,,,PT_Normal,,,,,APkEPB2iKk6Soscja7L0uQ,,,,N,0,0,,,2013-06-23 13:00,2013-06-23 13:00,admin,admin
3,85088,1346,11490,1473,1,100,N,N,N,CP_Phys,TT_Task,DT_FixedDrtn,RV_OK,TK_Complete,A3,Mobilization,,,,0,0,0,0,220,0,0,0,,2012-12-17 16:00,2013-01-16 16:00,2013-04-23 16:00,2013-04-23 16:00,,2013-04-23 00:00,2013-04-23 00:00,,,2012-12-17 16:00,2013-01-16 16:00,,,,,PT_Normal,,,,,Nu9zB5/u7US8D8b2ZMe8Zw,,,,N,0,0,,,2013-06-23 13:00,2013-06-23 13:00,admin,admin
4,85089,1346,11490,1473,0,0,N,N,N,CP_Phys,TT_FinMile,DT_FixedDrtn,RV_OK,TK_NotStart,A15091,Contract Completion Date,,0,0,0,0,0,0,0,0,0,0,,,,2014-01-15 16:00,2014-01-15 16:00,,2014-01-15 16:00,2014-01-15 16:00,2014-01-15 16:00,2014-01-15 16:00,2014-01-15 16:00,2014-01-15 16:00,,2014-01-15 16:00,2014-01-15 16:00,,PT_Normal,,,,,qaERmQpw50mNB2aOF3ctYw,JKCgw8FuQ7SmdhHy6tQUjw,,,Y,0,0,,,2013-06-23 13:00,2013-06-23 13:00,admin,admin
5,85090,1346,11491,1473,1,0,N,N,N,CP_Phys,TT_Task,DT_FixedDrtn,RV_OK,TK_NotStart,A9010,"Final Inspections, Measurements, As Built Drawings, Handing Over.",,0,0,1350,0,0,0,1350,0,0,0,,,,2013-07-06 16:00,2014-01-15 16:00,,2013-07-06 16:00,2014-01-15 16:00,2013-07-06 16:00,2014-01-15 16:00,2013-07-06 16:00,2014-01-15 16:00,,2013-07-06 16:00,2014-01-15 16:00,,PT_Normal,,,,,JNMZHa0p2EG5K8Y0GlXMkw,,,,Y,0,0,,,2013-06-23 13:00,2013-06-23 13:00,admin,admin
6,85091,1346,11535,1473,1,0,N,N,N,CP_Phys,TT_Task,DT_FixedDrtn,RV_OK,TK_NotStart,A14610,Erection of Scaffolding for Abutment - Lift 1,3002,142,0,27,0,579,579,27,30,0,30,,,,2013-06-15 08:00,2013-06-17 15:00,,2013-05-25 16:00,2013-05-28 13:00,2013-05-25 16:00,2013-05-28 13:00,2013-05-25 16:00,2013-05-28 13:00,,2013-06-15 08:00,2013-06-17 15:00,,PT_Normal,,,,,Bis+zndSXEafqM06R0swhw,UquOGlbUSGyL/kxeDt5nng,,,N,0,0,,,2013-06-23 13:00,2013-06-23 13:00,admin,admin
7,85092,1346,11535,1473,1,0,N,N,N,CP_Phys,TT_Task,DT_FixedDrtn,RV_OK,TK_NotStart,A14620,Reinforcement Fixing for Abutment - Lift 1,2971,142,0,45,0,500,500,45,50,0,50,,,,2013-06-17 15:00,2013-06-24 10:00,,2013-05-28 13:00,2013-06-04 08:00,2013-05-28 13:00,2013-06-04 08:00,2013-05-28 13:00,2013-06-04 08:00,,2013-06-17 15:00,2013-06-24 10:00,,PT_Normal,,,,,J9oocFrwkUKkgXSXnbRFxA,JgwlFWRTQOqpju89WkLdjA,,,N,0,0,,,2013-06-23 13:00,2013-06-23 13:00,admin,admin
8,85093,1346,11535,1473,1,0,N,N,N,CP_Phys,TT_Task,DT_FixedDrtn,RV_OK,TK_NotStart,A14630,Formwork for Abutment - Lift 1,2980,142,0,27,0,357,357,27,30,0,30,,,,2013-06-24 10:00,2013-06-26 17:00,,2013-06-04 08:00,2013-06-08 15:00,2013-06-04 08:00,2013-06-08 15:00,2013-06-04 08:00,2013-06-08 15:00,,2013-06-24 10:00,2013-06-26 17:00,,PT_Normal,,,,,XZtGwj8OfEq18afibVCW4A,6v6gX38vStu8zwOoHZhXgg,,,N,0,0,,,2013-06-23 13:00,2013-06-23 13:00,admin,admin
9,85094,1346,11535,1473,1,0,N,N,N,CP_Phys,TT_Task,DT_FixedDrtn,RV_OK,TK_NotStart,A14640,Concreting for Abutment - Lift 1,2969,142,0,8,0,138,138,8,62,0,62,,,,2013-06-29 07:00,2013-06-29 15:00,,2013-06-08 15:00,2013-06-09 13:00,2013-06-08 15:00,2013-06-09 13:00,2013-06-08 15:00,2013-06-09 13:00,,2013-06-29 07:00,2013-06-29 15:00,,PT_Normal,,,,,g/X6M7+JCkKrck+gtY8dGQ,iFM/2GuOQUOho0FFlIVyHg,,,N,0,0,,,2013-06-23 13:00,2013-06-23 13:00,admin,admin
