,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,78978,85088,85087,1346,1346,PR_FS,0,,2013-04-23 00:00,2013-04-23 16:00
1,78979,86729,86728,1346,1346,PR_SS,0,,2013-04-23 00:00,2013-05-15 16:00
2,78981,86730,86729,1346,1346,PR_SS,16,,2013-04-23 00:00,2013-05-15 16:00
3,78998,86519,86518,1346,1346,PR_FS,0,,2013-07-03 11:00,2013-12-10 16:00
4,78999,86518,86517,1346,1346,PR_FS,0,,2013-06-23 11:00,2013-11-30 16:00
5,79029,86731,86730,1346,1346,PR_SS,0,,2013-04-23 00:00,2013-05-15 16:00
6,79030,86732,86731,1346,1346,PR_SS,0,,2013-04-23 00:00,2013-05-15 16:00
7,79031,86733,86730,1346,1346,PR_SS,0,,2013-04-23 00:00,2013-11-17 16:00
8,79032,85731,86730,1346,1346,PR_FS,0,,2013-04-23 00:00,2013-11-09 16:00
9,79033,85732,86731,1346,1346,PR_FS,0,,2013-04-23 00:00,2013-11-17 16:00
10,79034,85733,86732,1346,1346,PR_FS,0,,2013-04-23 00:00,2013-05-15 16:00
11,79035,85734,86733,1346,1346,PR_FS,0,,2013-04-23 00:00,2013-11-17 16:00
12,79252,86522,86521,1346,1346,PR_FS,0,,2013-07-31 11:00,2014-01-07 16:00
13,79253,86523,86520,1346,1346,PR_FS,0,,2013-07-15 11:00,2013-12-22 16:00
14,79254,86524,86523,1346,1346,PR_FS,0,,2013-07-23 11:00,2013-12-30 16:00
15,79255,86521,86524,1346,1346,PR_FS,0,,2013-07-29 11:00,2014-01-05 16:00
16,79276,86520,86519,1346,1346,PR_FS,0,,2013-07-07 11:00,2013-12-14 16:00
17,79315,86506,86505,1346,1346,PR_FS,0,,2013-07-03 11:00,2013-12-10 16:00
18,79316,86505,86504,1346,1346,PR_FS,0,,2013-06-23 11:00,2013-11-30 16:00
19,79317,86509,86508,1346,1346,PR_FS,0,,2013-07-31 11:00,2014-01-07 16:00
20,79318,86510,86507,1346,1346,PR_FS,0,,2013-07-15 11:00,2013-12-22 16:00
