,taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,pobs_id,skill_level,pend_complete_pct,remain_qty,pend_remain_qty,target_qty,remain_qty_per_hr,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,target_crv,remain_crv,actual_crv,ts_pend_act_end_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,create_user,create_date,has_rsrchours,taskrsrc_sum_id
0,72374,85086,1346,Y,516,,2972,,3,,1870,,1870,1,0,1,0,0,0,,0.00,0.00,0.00,0.00,0.00,2013-01-16 16:00,,2013-04-23 07:00,2014-01-14 17:00,2013-04-23 07:00,2014-01-14 17:00,2013-04-23 16:00,2014-01-15 16:00,Y,,,,N,EDFKtKo07kmfr9GMelD4bA,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2013-06-23 13:00,,
1,72375,85086,1346,Y,,,2975,,,,1870,,1870,1,0,1,0,0,0,,0.00,0.00,0.00,0.00,0.00,2013-01-16 16:00,,2013-04-23 07:00,2014-01-14 17:00,2013-04-23 07:00,2014-01-14 17:00,2013-04-23 16:00,2014-01-15 16:00,Y,,,,N,5/sMURr11k+CxIdz5FE8qQ,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2013-06-23 13:00,,
2,72376,85086,1346,Y,,,2974,,,,1870,,1870,1,0,1,0,0,0,,0.00,0.00,0.00,0.00,0.00,2013-01-16 16:00,,2013-04-23 07:00,2014-01-14 17:00,2013-04-23 07:00,2014-01-14 17:00,2013-04-23 16:00,2014-01-15 16:00,Y,,,,N,KY0ly8X+5UWzuPoWN7rbqw,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2013-06-23 13:00,,
3,72377,85086,1346,Y,,,2978,,,,1870,,1870,1,0,1,0,0,0,,0.00,0.00,0.00,0.00,0.00,2013-01-16 16:00,,2013-04-23 07:00,2014-01-14 17:00,2013-04-23 07:00,2014-01-14 17:00,2013-04-23 16:00,2014-01-15 16:00,Y,,,,N,AOHq1+dcfUyASw35jmWucw,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2013-06-23 13:00,,
4,72378,85086,1346,Y,,,2977,,,,1870,,1870,1,0,1,0,0,0,,0.00,0.00,0.00,0.00,0.00,2013-01-16 16:00,,2013-04-23 07:00,2014-01-14 17:00,2013-04-23 07:00,2014-01-14 17:00,2013-04-23 16:00,2014-01-15 16:00,Y,,,,N,5M14ZL5eLEaBmRvaAXjkjw,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2013-06-23 13:00,,
5,72379,85086,1346,Y,,,2973,,,,1870,,1870,1,0,1,0,0,0,,0.00,0.00,0.00,0.00,0.00,2013-01-16 16:00,,2013-04-23 07:00,2014-01-14 17:00,2013-04-23 07:00,2014-01-14 17:00,2013-04-23 16:00,2014-01-15 16:00,Y,,,,N,Kded62iH1E+emJaiFxQEhQ,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2013-06-23 13:00,,
6,72380,85086,1346,Y,,,2566,,,,1870,,1870,1,0,1,0,0,0,,0.00,0.00,0.00,0.00,0.00,2013-01-16 16:00,,2013-04-23 07:00,2014-01-14 17:00,2013-04-23 07:00,2014-01-14 17:00,2013-04-23 16:00,2014-01-15 16:00,Y,,,,N,ZK4Fm45FCE2plyLEQouV+A,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2013-06-23 13:00,,
7,72381,85086,1346,Y,,,2982,,,,1870,,1870,1,0,1,0,0,0,,0.00,0.00,0.00,0.00,0.00,2013-01-16 16:00,,2013-04-23 07:00,2014-01-14 17:00,2013-04-23 07:00,2014-01-14 17:00,2013-04-23 16:00,2014-01-15 16:00,Y,,,,N,Qa5r2XAxHkm9v254G3c+wg,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2013-06-23 13:00,,
8,72382,85086,1346,Y,,,3000,,,,1870,,1870,1,0,1,0,0,0,,0.00,0.00,0.00,0.00,0.00,2013-01-16 16:00,,2013-04-23 07:00,2014-01-14 17:00,2013-04-23 07:00,2014-01-14 17:00,2013-04-23 16:00,2014-01-15 16:00,Y,,,,N,KDkeGpUHxE+LEmrCbXZ0xQ,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2013-06-23 13:00,,
9,72383,85086,1346,Y,,,2985,,,,1870,,1870,1,0,1,0,0,0,,0.00,0.00,0.00,0.00,0.00,2013-01-16 16:00,,2013-04-23 07:00,2014-01-14 17:00,2013-04-23 07:00,2014-01-14 17:00,2013-04-23 16:00,2014-01-15 16:00,Y,,,,N,soNXwzCDN0eddb7f3zj/yw,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2013-06-23 13:00,,
