,udf_type_id,fk_id,proj_id,udf_date,udf_number,udf_text,udf_code_id
0,39,2909,,,,****,
1,39,2910,,,,****,
2,39,2911,,,,****,
3,39,2912,,,,****,
4,39,2913,,,,****,
5,39,2914,,,,****,
6,39,2915,,,,****,
7,39,2916,,,,****,
8,39,2917,,,,****,
9,39,2918,,,,****,
10,39,2919,,,,****,
11,39,2920,,,,****,
12,39,2921,,,,****,
13,39,2922,,,,****,
14,39,2923,,,,****,
15,39,2924,,,,****,
16,39,2925,,,,****,
17,39,2926,,,,****,
18,39,2927,,,,****,
19,39,2928,,,,****,
20,39,2929,,,,****,
21,39,2930,,,,****,
22,39,2931,,,,****,
23,39,2932,,,,****,
24,39,2933,,,,****,
25,39,2934,,,,****,
26,39,2935,,,,****,
27,39,2936,,,,****,
28,39,2937,,,,****,
29,39,2938,,,,****,
30,39,2941,,,,****,
31,39,2942,,,,****,
32,39,2943,,,,****,
33,39,2944,,,,****,
34,39,2945,,,,****,
35,39,2946,,,,****,
36,39,2947,,,,****,
37,39,2948,,,,****,
38,39,2949,,,,****,
39,39,2950,,,,****,
40,39,2951,,,,****,
41,39,2952,,,,****,
42,39,2953,,,,****,
43,39,2955,,,,****,
44,39,2959,,,,****,
45,39,2960,,,,****,
46,39,2961,,,,****,
47,39,2963,,,,****,
48,39,2964,,,,****,
49,39,2965,,,,****,
50,39,2966,,,,****,
51,39,2967,,,,****,
52,39,2968,,,,****,
53,39,3001,,,,****,
54,39,3002,,,,****,
55,42,2969,,,,Hour,
56,42,2994,,,,Hour,
57,75,85397,1346,,,39,
58,75,85400,1346,,,35,
59,75,85402,1346,,,36,
60,75,85406,1346,,,37,
61,75,85409,1346,,,38,
62,75,85412,1346,,,40,
63,75,85415,1346,,,41,
64,75,85418,1346,,,42,
65,75,85421,1346,,,43,
66,75,85424,1346,,,44,
67,75,85427,1346,,,45,
68,75,85429,1346,,,46,
69,75,85432,1346,,,47,
70,75,85436,1346,,,64,
71,75,85455,1346,,,Jan2013,
72,75,85456,1346,,,43,
73,75,85457,1346,,,44,
74,75,85458,1346,,,Jan2013,
75,75,85459,1346,,,39,
76,75,85460,1346,,,38,
77,75,85461,1346,,,40,
78,75,85462,1346,,,Feb 2013,
79,75,85463,1346,,,41,
80,75,85464,1346,,,42,
81,75,85465,1346,,,Feb 2013,
82,75,85466,1346,,,36,
83,75,85467,1346,,,37,
84,75,85468,1346,,,64,
85,75,85491,1346,,,3,
86,75,85493,1346,,,2,
87,75,85505,1346,,,April 2013,
88,75,85506,1346,,,March 2013,
89,75,85551,1346,,,3,
90,75,85554,1346,,,17,
91,75,85557,1346,,,19,
92,75,85559,1346,,,as for no. 1,
93,75,85560,1346,,,57,
94,75,85561,1346,,,no.1,
95,75,85563,1346,,,58,
96,75,85566,1346,,,49,
97,75,85569,1346,,,59,
98,75,85572,1346,,,60,
99,75,85597,1346,,,here,
100,75,85627,1346,,,March 2013,
101,75,85628,1346,,,Jan2013,
102,75,85629,1346,,,March 2013,
103,75,85630,1346,,,March 2013,
104,75,85631,1346,,,May 2013,
105,75,85632,1346,,,March 2013,
106,75,85633,1346,,,59,
107,75,85634,1346,,,60,
108,75,85658,1346,,,here,
109,75,85689,1346,,,18,
110,75,85692,1346,,,52,
111,75,85695,1346,,,53,
112,75,85698,1346,,,56,
113,75,85701,1346,,,51,
114,75,85713,1346,,,63,
115,75,85716,1346,,,69,
116,75,85718,1346,,,63,
117,75,85719,1346,,,69,
118,75,85720,1346,,,18,
119,75,85721,1346,,,52,
120,75,85722,1346,,,53,
121,75,85723,1346,,,56,
122,75,85724,1346,,,April 2013,
123,75,85731,1346,,,11+10+8,
124,75,85732,1346,,,15+14+13,
125,75,85733,1346,,,7+6+5,
126,75,85734,1346,,,9+4+2+1,
127,75,85735,1346,,,11+10+8,
128,75,85736,1346,,,15+14+13,
129,75,85737,1346,,,7+6+5,
130,75,85738,1346,,,9+4+2+1,
131,75,86730,1346,,,11+10+8,
132,75,86731,1346,,,15+14+13,
133,75,86732,1346,,,7+6+5,
134,75,86733,1346,,,9+4+2+1,
135,75,86752,1346,,,25,
136,75,86755,1346,,,26,
137,75,86758,1346,,,27,
138,75,86761,1346,,,28,
139,75,86764,1346,,,29,
140,75,86767,1346,,,22,
141,75,86770,1346,,,23,
142,75,86773,1346,,,24,
143,75,86776,1346,,,48,
144,75,86779,1346,,,50,
145,75,86782,1346,,,20,
146,75,86784,1346,,,95,
147,75,86785,1346,,,Jan2013,
148,75,86786,1346,,,April 2013,
149,75,86787,1346,,,25,
150,75,86788,1346,,,26,
151,75,86789,1346,,,27,
152,75,86790,1346,,,28,
153,75,86792,1346,,,22,
154,75,86793,1346,,,23,
155,75,86794,1346,,,24,
156,75,86795,1346,,,20,
157,75,86796,1346,,,95,
158,75,86804,1346,,,21,
159,75,86807,1346,,,62,
160,75,86810,1346,,,61,
161,75,86812,1346,,,21,
162,75,86813,1346,,,April 2013,
163,75,86814,1346,,,62,
164,75,86836,1346,,,1,
165,75,86838,1346,,,14,
166,75,86841,1346,,,16,
167,75,86844,1346,,,8,
