,cost_item_id,acct_id,pobs_id,cost_type_id,proj_id,task_id,cost_name,po_number,vendor_name,act_cost,cost_per_qty,remain_cost,target_cost,cost_load_type,auto_compute_act_flag,target_qty,qty_name,cost_descr,contract_manager_import
0,10377,803,,,2631,190446,C,,,0.00,249485.53,249485.53,249485.53,CL_Uniform,N,1,,,
1,10821,800,,,2631,190438,"D,E,F &G",,,0.00,39519.64,45740.32,45740.32,CL_Uniform,N,1.157407,,,
2,10822,800,,,2631,190472,"D,E,F &G",,,0.00,39519.64,45740.32,45740.32,CL_Uniform,N,1.157407,,,
3,10823,800,,,2631,208780,A&B,,,0.00,168934.25,168934.25,168934.25,CL_Uniform,N,1,,,
4,10824,800,,,2631,208781,A&B,,,0.00,168934.25,168934.25,168934.25,CL_Uniform,N,1,,,
5,10825,800,,,2631,208782,A&B,,,0.00,168934.25,168934.25,168934.25,CL_Uniform,N,1,,,
6,10826,800,,,2631,190471,C,,,0.00,39519.64,39519.64,39519.64,CL_Uniform,N,1,,,
7,10827,800,,,2631,190439,C,,,0.00,39519.64,39519.64,39519.64,CL_Uniform,N,1,,,
8,10828,801,,,2631,208779,A&B,,,0.00,783897.63,783897.63,783897.63,CL_Uniform,N,1,,,
9,10831,802,,,2631,208788,"A,B & C",,,0.00,303977.11,303977.11,303977.11,CL_Uniform,N,1,,,
10,10832,802,,,2631,208789,"A, B & C",,,0.00,303977.11,303977.11,303977.11,CL_Uniform,N,1,,,
11,10834,802,,,2631,208791,"A, B & C",,,0.00,303977.11,303977.11,303977.11,CL_Uniform,N,1,,,
12,10835,802,,,2631,208792,"A, B & C",,,0.00,303977.11,303977.11,303977.11,CL_Uniform,N,1,,,
13,10836,802,,,2631,208779,D&E,,,0.00,27444.19,27444.19,27444.19,CL_Uniform,N,1,,,
14,10837,802,,,2631,190727,F,,,0.00,3430.52,3430.52,3430.52,CL_Uniform,N,1,,,
15,10838,802,,,2631,190728,F,,,0.00,3430.52,3430.52,3430.52,CL_Uniform,N,1,,,
16,10839,802,,,2631,190729,F,,,0.00,3430.52,3430.52,3430.52,CL_Uniform,N,1,,,
17,10840,802,,,2631,190730,F,,,0.00,3430.52,3430.52,3430.52,CL_Uniform,N,1,,,
18,10841,802,,,2631,208784,A,,,0.00,3201.82,3201.82,3201.82,CL_Uniform,N,1,,,
19,10842,802,,,2631,208785,"A, B, C, D E, F, G, H & I",,,0.00,122405.67,122405.67,122405.67,CL_Uniform,N,1,,,
20,10843,802,,,2631,208786,B,,,0.00,6403.65,6403.65,6403.65,CL_Uniform,N,1,,,
21,10844,802,,,2631,197452,C,,,0.00,3522.00,3522.00,3522.00,CL_Uniform,N,1,,,
22,10845,802,,,2631,190438,C,,,0.00,58547.61,58547.61,58547.61,CL_Uniform,N,1,,,
23,10846,802,,,2631,190472,C,,,0.00,58547.61,58547.61,58547.61,CL_Uniform,N,1,,,
24,10847,802,,,2631,190727,C,,,0.00,3430.52,3430.52,3430.52,CL_Uniform,N,1,,,
25,10848,802,,,2631,190728,C,,,0.00,3430.52,3430.52,3430.52,CL_Uniform,N,1,,,
26,10849,802,,,2631,190729,C,,,0.00,3430.52,3430.52,3430.52,CL_Uniform,N,1,,,
27,10850,802,,,2631,190730,C,,,0.00,3430.52,3430.52,3430.52,CL_Uniform,N,1,,,
28,10851,803,,,2631,190476,C,,,0.00,249485.53,249485.53,249485.53,CL_Uniform,N,1,,,
29,10854,803,,,2631,190479,C,,,0.00,2527814.17,3364673.86,3364673.86,CL_Uniform,N,1.331061,,,
30,10855,803,,,2631,190482,C,,,0.00,2527814.17,3364673.86,3364673.86,CL_Uniform,N,1.331061,,,
31,10856,803,,,2631,190485,C,,,0.00,3364673.86,3364673.86,3364673.86,CL_Uniform,N,1,,,
32,10857,803,,,2631,190462,C,,,0.00,2527814.17,2527814.17,2527814.17,CL_Uniform,N,1,,,
33,10858,803,,,2631,190465,C,,,0.00,2527814.17,2527814.17,2527814.17,CL_Uniform,N,1,,,
34,10859,803,,,2631,190468,C,,,0.00,2527814.17,2527814.17,2527814.17,CL_Uniform,N,1,,,
35,10861,803,,,2631,190463,C,,,0.00,645530.37,645530.37,645530.37,CL_Uniform,N,1,,,
36,10862,803,,,2631,190466,C,,,0.00,645530.37,645530.37,645530.37,CL_Uniform,N,1,,,
37,10863,803,,,2631,190483,C,,,0.00,645530.37,645530.37,645530.37,CL_Uniform,N,1,,,
38,10864,803,,,2631,190480,C,,,0.00,645530.37,645530.37,645530.37,CL_Uniform,N,1,,,
39,10865,803,,,2631,190598,C,,,0.00,1071077.70,803308.28,803308.28,CL_Uniform,N,0.75,,,
40,10866,803,,,2631,190599,C,,,0.00,1071077.70,803308.28,803308.28,CL_Uniform,N,0.75,,,
41,10867,803,,,2631,190601,C,,,0.00,1071077.70,803308.28,803308.28,CL_Uniform,N,0.75,,,
42,10868,803,,,2631,190602,C,,,0.00,1071077.70,803308.28,803308.28,CL_Uniform,N,0.75,,,
43,10869,803,,,2631,190603,C,,,0.00,1071077.70,803308.28,803308.28,CL_Uniform,N,0.75,,,
44,10870,803,,,2631,190604,C,,,0.00,1071077.70,803308.28,803308.28,CL_Uniform,N,0.75,,,
45,10872,803,,,2631,190464,C,,,0.00,655721.40,655721.40,655721.40,CL_Uniform,N,1,,,
46,10873,803,,,2631,190467,C,,,0.00,655721.40,655721.40,655721.40,CL_Uniform,N,1,,,
47,10875,803,,,2631,190481,C,,,0.00,655721.40,655721.40,655721.40,CL_Uniform,N,1,,,
48,10876,803,,,2631,190484,C,,,0.00,655721.40,655721.40,655721.40,CL_Uniform,N,1,,,
49,10877,803,,,2631,197466,C,,,0.00,300825.18,300825.18,300825.18,CL_Uniform,N,1,,,
50,10878,803,,,2631,197467,C,,,0.00,300825.18,300825.18,300825.18,CL_Uniform,N,1,,,
51,10879,803,,,2631,197468,C,,,0.00,300825.18,300825.18,300825.18,CL_Uniform,N,1,,,
52,10880,803,,,2631,197469,C,,,0.00,300825.18,300825.18,300825.18,CL_Uniform,N,1,,,
53,10881,803,,,2631,197474,C,,,0.00,15624.49,15624.49,15624.49,CL_Uniform,N,1,,,
54,10882,803,,,2631,197475,C,,,0.00,15624.49,15624.49,15624.49,CL_Uniform,N,1,,,
55,10883,803,,,2631,197476,C,,,0.00,15624.49,15624.49,15624.49,CL_Uniform,N,1,,,
56,10884,803,,,2631,197471,C,,,0.00,15624.49,15624.49,15624.49,CL_Uniform,N,1,,,
57,10885,803,,,2631,197472,C,,,0.00,15624.49,15624.49,15624.49,CL_Uniform,N,1,,,
58,10886,803,,,2631,197473,C,,,0.00,15624.49,15624.49,15624.49,CL_Uniform,N,1,,,
59,10887,803,,,2631,197477,C,,,0.00,15624.49,15624.49,15624.49,CL_Uniform,N,1,,,
60,10888,803,,,2631,197478,C,,,0.00,15624.49,15624.49,15624.49,CL_Uniform,N,1,,,
61,10889,803,,,2631,197479,C,,,0.00,15624.49,15624.49,15624.49,CL_Uniform,N,1,,,
62,10890,803,,,2631,197480,C,,,0.00,15624.49,15624.49,15624.49,CL_Uniform,N,1,,,
