,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,42466,2631,565,200,1,Y,N,WS_Open,JWM-B01,JW Marriott - Baseline Programme,,40797,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,aqy15s5nlkOC8IZFifAdyQ,,
1,42467,2631,565,0,1,N,N,WS_Open,G,General,,42466,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,9EkhfVfew0OANiYmpiSDuQ,,
2,42468,2631,565,1,1,N,N,WS_Open,M,Milestones,,42467,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,I2bwgNo5V0+JL6SYdbDhkQ,,
3,42469,2631,565,0,1,N,N,WS_Open,C,Contract Milestones,,42468,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,VAeaSQqig0yDOugUR5DoEQ,,
4,42470,2631,565,100,1,N,N,WS_Open,M,Major Milestones,,42468,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,3eFJ+U01S0epmCWryC/nIA,,
5,42471,2631,565,1,1,N,N,WS_Open,1,Client Deliverables,,42467,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,VSEG7UQ79kW+8W2wnFJfOQ,,
6,42472,2631,565,100,1,N,N,WS_Open,2,Contractor Deliverables,,42467,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,2n7N40xEb0eZ3zM/1gX8eA,,
7,42473,2631,565,2,1,N,N,WS_Open,3,Mobilization,,42466,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,4L/Z4Oe+1kSFDMtd9ftHsA,,
8,42474,2631,565,200,1,N,N,WS_Open,1,Major Equipments,,42473,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,UiPzJz9l00WG6aYEUCrAjQ,,
9,42475,2631,565,300,1,N,N,WS_Open,2,Temporary Facilities,,42473,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,WqeWgtmFU06HM5UnddECkQ,,
