,acct_id,parent_acct_id,acct_seq_num,acct_name,acct_short_name,acct_descr
0,1743,,62803,DUKHAN HOUSING PROJECT,DH01,
1,1762,1743,302,PACKAGE -1A INFRASTRUCTRE,B03,
2,1763,1762,1,Provisional sums,D01_31,
3,1764,1762,3,Demolition,D02_32,
4,1765,1762,201,Site clearance general excavation and earthwork,D03_33,
5,1766,1762,301,Electrical power supply and distribution,D04_34,
6,1767,1762,401,Telecommunication,D05_35,
7,1768,1762,501,Surface Water drainage and Sewerage system,D06_36,
8,1769,1762,601,Water supply system,D07_37,
9,1770,1762,701,Road work,D08_38,
10,1771,1762,801,Street lighting,D09_39,
11,1772,1762,901,Substation,D10_310,
12,1773,1762,1001,Hard and soft landscaping,D11_311,
13,1777,1743,401,PACKAGE -1B  TWIN VILLAS (TRADITIONAL TYPE),B04,
14,1778,1777,0,Excavation and Earth Works,D01_41,
15,1779,1777,1,Concrete Works,D02_42,
16,1780,1777,201,Block work,D03_43,
17,1781,1777,301,Roofing,D04_44,
18,1782,1777,401,Carpentry and Joinery,D05_45,
19,1783,1777,501,Metal work,D06_46,
20,1784,1777,601,Plumbing and Drainage works,D07_47,
21,1785,1777,701,Air-conditioning and Ventilation works,D08_48,
22,1786,1777,801,Electrical Installations,D09_49,
23,1787,1777,901,Finishes,D10_410,
24,1788,1777,1001,Painting and Decorating,D11_411,
25,1789,1777,1101,External works within the Plot Curtilage,D12_412,
26,1790,1777,1201,Provisional sums,D13_413,
27,1805,1743,501,PACKAGE -1B INFRASTRUCTRE,B05,
28,1806,1805,1,Provisional sums,D01_51,
29,1807,1805,3,Demolition,D02_52,
30,1808,1805,201,Site clearance general excavation and earthwork,D03_53,
31,1809,1805,301,Electrical power supply and distribution,D04_54,
32,1810,1805,401,Telecommunication,D05_55,
33,1811,1805,501,Surface Water drainage and Sewerage system,D06_56,
34,1812,1805,601,Water supply system,D07_57,
35,1813,1805,701,Road work,D08_58,
36,1814,1805,801,Street lighting,D09_59,
37,1816,1805,1001,Hard and soft landscaping,D10_510,
38,1817,1743,601,PACKAGE -2A TWIN VILLAS (MODERN TYPE),B06,
39,1818,1817,0,Excavation and Earth Works,D01_61,
40,1819,1817,1,Concrete Works,D02_62,
41,1820,1817,201,Block work,D03_63,
42,1821,1817,301,Roofing,D04_64,
43,1822,1817,401,Carpentry and Joinery,D05_65,
44,1823,1817,501,Metal work,D06_66,
45,1824,1817,601,Plumbing and Drainage works,D07_67,
46,1825,1817,701,Air-conditioning and Ventilation works,D08_68,
47,1826,1817,801,Electrical Installations,D09_69,
48,1827,1817,901,Finishes,D10_610,
49,1828,1817,1001,Painting and Decorating,D11_611,
50,1829,1817,1101,External works within the Plot Curtilage,D12_612,
51,1830,1817,1201,Provisional sums,D13_613,
52,1831,1743,701,PACKAGE -2A INFRASTRUCTRE,B07,
53,1832,1831,1,Provisional sums,D01_71,
54,1833,1831,3,Demolition,D02_72,
55,1834,1831,201,Site clearance general excavation and earthwork,D03_73,
56,1835,1831,301,Electrical power supply and distribution,D04_74,
57,1836,1831,401,Telecommunication,D05_75,
58,1837,1831,501,Surface Water drainage and Sewerage system,D06_76,
59,1838,1831,601,Water supply system,D07_77,
60,1839,1831,701,Road work,D08_78,
61,1840,1831,801,Street lighting,D09_79,
62,1841,1831,1001,Hard and soft landscaping,D10_710,
63,1842,1743,801,PACKAGE -2B TWIN VILLAS (TRADITIONAL TYPE),B08,
64,1843,1842,0,Excavation and Earth Works,D01_81,
65,1844,1842,1,Concrete Works,D02_82,
66,1845,1842,201,Block work,D03_83,
67,1846,1842,301,Roofing,D04_84,
68,1847,1842,401,Carpentry and Joinery,D05_85,
69,1848,1842,501,Metal work,D06_86,
70,1849,1842,601,Plumbing and Drainage works,D07_87,
71,1850,1842,701,Air-conditioning and Ventilation works,D08_88,
72,1851,1842,801,Electrical Installations,D09_89,
73,1852,1842,901,Finishes,D10_810,
74,1853,1842,1001,Painting and Decorating,D11_811,
75,1854,1842,1101,External works within the Plot Curtilage,D12_812,
76,1855,1842,1201,Provisional sums,D13_813,
77,1856,1743,901,PACKAGE -2B INFRASTRUCTRE,B09,
78,1857,1856,1,Provisional sums,D01_91,
79,1858,1856,3,Demolition,D02_92,
80,1859,1856,201,Site clearance general excavation and earthwork,D03_93,
81,1860,1856,301,Electrical power supply and distribution,D04_94,
82,1861,1856,401,Telecommunication,D05_95,
83,1862,1856,501,Surface Water drainage and Sewerage system,D06_96,
84,1863,1856,601,Water supply system,D07_97,
85,1864,1856,701,Road work,D08_98,
86,1865,1856,801,Street lighting,D09_99,
87,1866,1856,1001,Hard and soft landscaping,D10_910,
