,actv_code_id,parent_actv_code_id,actv_code_type_id,actv_code_name,short_name,seq_num,color
0,19250,,3772,DUKHAN HOUSING PROJECT IX,DH,10,
1,19251,,3773,KEY DATES & MILESTONE,KYD,10,0000FF
2,19252,,3773,MOBILIZATION,MOB,20,0000FF
3,19253,,3773,ENGINEERING,ENG,30,
4,19254,,3773,PROCUREMENT,PRO,40,0000FF
5,19255,,3773,CONSTRUCTION,CON,50,0000FF
6,19256,,3773,HANDING OVER,HAN,60,
7,19257,,3774,GENERAL,OA,10,
8,19258,,3774,MOBILIZATION PACKAGE-1,MO1,20,
9,19259,,3774,MOBILIZATION PACKAGE-2,MO2,30,
10,19260,,3774,MOBILIZATION PACKAGE-3,MO3,40,
11,19261,,3774,PACKAGE-1A,1A,50,
12,19262,,3774,PACKAGE-1A INFRASTRUCTURE WORKS,1AF,60,
13,19263,,3774,PACKAGE-1B,1B,70,
14,19264,,3774,PACKAGE-1B INFRASTRUCTURE WORKS,1BF,80,
15,19265,,3774,PACKAGE-2A,2A,90,
16,19266,,3774,PACKAGE-2A INFRASTRUCTURE WORKS,2AF,100,
17,19267,,3774,PACKAGE-2B,2B,110,
18,19268,,3774,PACKAGE-2B INFRASTRUCTURE WORKS,2BF,120,
19,19269,,3774,PACKAGE-3,P3,130,
20,19270,,3774,PACKAGE-3 INFRASTRUCTURE WORKS,3IF,140,
21,19271,,3775,"MANUFACTURING,PROCUREMENT & DELIVERY",PRO,90,
22,19272,,3775,ZONE-3,Z3,100,0000FF
23,19273,,3775,ZONE-4,Z4,110,0000FF
24,19274,,3775,ZONE-5,Z5,120,0000FF
25,19275,,3775,ZONE-6,Z6,130,0000FF
26,19276,,3775,ZONE-7,Z7,140,0000FF
27,19277,,3775,ZONE-8,Z8,150,0000FF
28,19278,,3775,ZONE-9,Z9,160,0000FF
29,19279,,3775,SECONDARY BULIDINGS,OB,170,0000FF
30,19280,,3775,GENERAL,OA,180,
31,19281,,3775,PROVISIONAL SUM,PM,190,
32,19282,,3775,SITE PREPARATORY WORKS,SP,10,0000FF
33,19283,,3775,MOCKUP VILLA,MK,20,
34,19284,,3775,ZONE-0,Z0,30,0000FF
35,19285,,3775,SHOP DRAWING SUBMISSION & APPROVAL,DRWG,40,0000FF
36,19286,,3775,PREQUALIFICATION SUBMITTAL & APPROVAL,PRQ,50,
37,19287,,3775,ZONE-1,Z1,60,0000FF
38,19288,,3775,MATERIAL SUBMITTAL & APPROVAL,MAT,70,
39,19289,,3775,ZONE-2,Z2,80,0000FF
40,19290,,3776,SITE PREPARATORY WORKS,PR,10,
41,19291,,3776,SUBMISSION OF MATERIAL,SMAT,20,
42,19292,,3776,SUBMISSION OF PREQUALIFICATION,SPRQ,30,
43,19293,,3776,STRUCTURAL DRAWINGS,STDW,40,
44,19294,,3776,APPROVAL OF MATERIAL,AMAT,50,
45,19295,,3776,APPROVAL OF PREQUALIFICATION,APRQ,60,
46,19296,,3776,ARCHITECTURAL DRAWINGS,ARDW,70,
47,19297,,3776,STRUCTURAL WORKS,ST,80,
48,19298,,3776,2ND SUBMISSION MATERIAL,2SAT,90,
49,19299,,3776,2ND SUBMISSION PREQUALIFICATION,2SPQ,100,
