,curr_id,decimal_digit_cnt,curr_symbol,decimal_symbol,digit_group_symbol,pos_curr_fmt_type,neg_curr_fmt_type,curr_type,curr_short_name,group_digit_cnt,base_exch_rate
0,1,2,$,.,",",#1.1,(#1.1),US Dollar,USD,3,1
1,13,2,,.,",",#1.1,(#1.1),Pound Sterling,GBP,3,0.618603
2,14,2,,.,",",#1.1,(#1.1),Japanese Yen,JPY,3,91.2708
3,15,2,,.,",",#1.1,(#1.1),Euro,EUR,3,0.689711
4,16,2,,.,",",#1.1,(#1.1),Chinese Yuan Renminbi,CNY,3,6.82502
5,17,2,$,.,",",#1.1,(#1.1),Canadian Dollar,CAD,3,1.03757
6,18,2,RUB,.,",",#1.1,(#1.1),Russian Ruble,RUB,3,0.033948
7,19,2,$,.,",",#1.1,(#1.1),Argentine Peso,ARS,3,3.79109
8,20,2,$b,.,",",#1.1,(#1.1),Bolivian Boliviano,BOB,3,7.5708
9,21,2,R$,.,",",#1.1,(#1.1),Brazilian Real,BRL,3,1.7665
10,22,2,$,.,",",#1.1,(#1.1),Chilean Peso,CLP,3,507.58
11,23,2,$,.,",",#1.1,(#1.1),Columbian Peso,COP,3,1957.74
12,24,2,$,.,",",#1.1,(#1.1),Guyanese Dollar,GYD,3,202.95
13,25,2,Gs,.,",",#1.1,(#1.1),Paraguayan Guarani,PYG,3,4640
14,26,2,S/.,.,",",#1.1,(#1.1),Peruvian Nuevo Sol,PEN,3,2.7244
15,27,2,$,.,",",#1.1,(#1.1),Surinamese Dollar,SRD,3,2.8
16,28,2,Bs,.,",",#1.1,(#1.1),Venezuelan Bolivar Fuerto,VEF,3,2.1446
17,29,2,$U,.,",",#1.1,(#1.1),Uruguayan Peso,UYU,3,21.247
18,30,2,QR,.,",",#1.1,(#1.1),QATARI RIYALS,QR,3,1
