,cost_item_id,acct_id,pobs_id,cost_type_id,proj_id,task_id,cost_name,po_number,vendor_name,act_cost,cost_per_qty,remain_cost,target_cost,cost_load_type,auto_compute_act_flag,target_qty,qty_name,cost_descr,contract_manager_import
0,306801,1875,,697,6359,499287,P03-Air-conditioning and Ventilation works,,,0.00,3045.00,3045.00,3045.00,CL_Uniform,N,1,,,
1,306802,1876,,697,6359,499288,P03-Electrical Installations,,,0.00,104445.00,104445.00,104445.00,CL_Uniform,N,1,,,
2,306803,2266,,687,6359,499289,GEN-Preliminaries for all Packages,,,0.00,19566.00,19566.00,19566.00,CL_Uniform,N,1,,,
3,306804,2266,,687,6359,499290,GEN-Preliminaries for all Packages,,,0.00,240000.00,240000.00,240000.00,CL_Uniform,N,1,,,
4,306805,1874,,697,6359,499291,P03-Plumbing and Drainage works,,,0.00,19695.00,19695.00,19695.00,CL_Uniform,N,1,,,
5,306806,1785,,694,6359,499292,P1B-Air-conditioning and Ventilation works,,,0.00,7332.00,7332.00,7332.00,CL_Uniform,N,1,,,
6,306807,1786,,694,6359,499293,P1B-Electrical Installations,,,0.00,179192.00,179192.00,179192.00,CL_Uniform,N,1,,,
7,306808,1784,,694,6359,499294,P1B-Plumbing and Drainage works,,,0.00,22828.00,22828.00,22828.00,CL_Uniform,N,1,,,
8,306809,2266,,687,6359,499295,GEN-Preliminaries for all Packages,,,0.00,29794.00,29794.00,29794.00,CL_Uniform,N,1,,,
9,306810,2266,,687,6359,499296,GEN-Preliminaries for all Packages,,,0.00,356040.00,356040.00,356040.00,CL_Uniform,N,1,,,
10,306811,2266,,687,6359,499297,GEN-Preliminaries for all Packages,,,0.00,4769.00,4769.00,4769.00,CL_Uniform,N,1,,,
11,306812,2266,,687,6359,499298,GEN-Preliminaries for all Packages,,,0.00,56760.00,56760.00,56760.00,CL_Uniform,N,1,,,
12,306813,1825,,695,6359,499299,P2A-Air-conditioning and Ventilation works,,,0.00,1308.00,1308.00,1308.00,CL_Uniform,N,1,,,
13,306814,1826,,695,6359,499300,P2A-Electrical Installations,,,0.00,21612.00,21612.00,21612.00,CL_Uniform,N,1,,,
14,306815,1824,,695,6359,499301,P2A-Plumbing and Drainage works,,,0.00,3864.00,3864.00,3864.00,CL_Uniform,N,1,,,
15,306816,2259,,689,6359,499302,P1A-Plumbing and Drainage works,,,0.00,44104.00,44104.00,44104.00,CL_Uniform,N,1,,,
16,306817,2260,,689,6359,499303,P1A-Air-conditioning and Ventilation works,,,0.00,19610.00,19610.00,19610.00,CL_Uniform,N,1,,,
17,306818,2261,,689,6359,499304,P1A-Electrical Installations,,,0.00,224738.00,224738.00,224738.00,CL_Uniform,N,1,,,
18,306819,2266,,687,6359,499305,GEN-Preliminaries for all Packages,,,0.00,39549.00,39549.00,39549.00,CL_Uniform,N,1,,,
19,306820,2266,,687,6359,499306,GEN-Preliminaries for all Packages,,,0.00,471960.00,471960.00,471960.00,CL_Uniform,N,1,,,
20,306821,2266,,687,6359,499307,GEN-Preliminaries for all Packages,,,0.00,6322.00,6322.00,6322.00,CL_Uniform,N,1,,,
21,306822,2266,,687,6359,499308,GEN-Preliminaries for all Packages,,,0.00,75240.00,75240.00,75240.00,CL_Uniform,N,1,,,
22,306823,1851,,696,6359,499309,P2B-Electrical Installations,,,0.00,32436.00,32436.00,32436.00,CL_Uniform,N,1,,,
23,306824,1849,,696,6359,499310,P2B-Plumbing and Drainage works,,,0.00,5796.00,5796.00,5796.00,CL_Uniform,N,1,,,
24,306825,1850,,696,6359,499311,P2B-Air-conditioning and Ventilation works,,,0.00,1170.00,1170.00,1170.00,CL_Uniform,N,1,,,
25,306826,1820,,695,6359,499325,P2A-Block work,,,0.00,40027.00,40027.00,40027.00,CL_Uniform,N,1,,,
26,306827,1827,,695,6359,499325,P2A-Finishes,,,0.00,4560.00,4560.00,4560.00,CL_Uniform,N,1,,,
27,306828,1821,,695,6359,499326,P2A-Roofing,,,0.00,18468.00,18468.00,18468.00,CL_Uniform,N,1,,,
