,wbs_id,proj_id,obs_id,seq_num,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,124253,6359,540,28250,Y,N,WS_Open,DHBL,DUKHAN HOUSING PROJECT PHASE IX,,49761,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,YZ8TEeO9QPmNSttG+u1sNw,,
1,124255,6359,540,28365,N,N,WS_Open,K35,COMMISSIONING & HANDING OVER,,124253,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,rHxxedLWTtap2CGih3ekTA,,
2,124256,6359,540,43370,N,N,WS_Open,L45,PACKAGE-3,,124255,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,CshhKrg7RwOmdjvcXzxR/A,,
3,124257,6359,540,43340,N,N,WS_Open,L25,PACKAGE-1B,,124255,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,+6r1oy/BSouOZmSH+x3VIQ,,
4,124258,6359,540,43350,N,N,WS_Open,L35,PACKAGE-2A,,124255,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,iI9tfnSRTfqD3osbOecZ/g,,
5,124259,6359,540,43330,N,N,WS_Open,L20,PACKAGE-1A,,124255,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,PT4ji7JlRgmgtfnARMBmvw,,
6,124260,6359,540,43360,N,N,WS_Open,L40,PACKAGE-2B,,124255,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,eHU+/mteSfKO7cShka+fJw,,
7,124261,6359,540,28360,N,N,WS_Open,K10,KEY DATES & MILESTONES,,124253,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,DMfrJtwBT7WdhlohGisq6A,,
8,124262,6359,540,28320,N,N,WS_Open,L30,PACKAGE-2,,124261,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,SjM+B3cRT/yuKA7Eor33fg,,
9,124263,6359,540,28350,N,N,WS_Open,L45,PACKAGE-3,,124261,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,bWGhVn1ATXygjj4J7oIAeA,,
10,124264,6359,540,28280,N,N,WS_Open,L10,GENERAL,,124261,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,6lsFWMTjSIOFdOMlpt12hw,,
11,124265,6359,540,28290,N,N,WS_Open,L15,PACKAGE-1,,124261,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,FOB8n/EMQt61spkjCUqP5w,,
12,124266,6359,540,28362,N,N,WS_Open,K20,ENGINEERING,,124253,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,ey1lMntQQ929Rq5ylHbZTA,,
13,124267,6359,540,29040,N,N,WS_Open,L40,PACKAGE-2A,,124266,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,fbT5ehAGT9GRFVf2lARxPw,,
14,124268,6359,540,29050,N,N,WS_Open,E05,SHOP DRAWINGS SUBMISSION & APPROVAL,,124267,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,bntotxfiTweUZdroHDkT1w,,
15,124269,6359,540,29090,N,N,WS_Open,H10,ARCHITECTURAL DRAWINGS,,124268,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,ZWZf9kmRS8+o/S9FJtpbVw,,
16,124270,6359,540,29110,N,N,WS_Open,G20,APPROVAL OF DRAWINGS,,124269,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,BUUxNy06QWapbcZIBpiI6w,,
17,124271,6359,540,29100,N,N,WS_Open,G10,SUBMISSION OF DRAWINGS,,124269,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,wPe+Lz++SAmZg1MtIqTNFQ,,
18,124272,6359,540,29150,N,N,WS_Open,H30,"PLUMBING,DRAINAGE,FIREFIGHTING & AC DRAWINGS",,124268,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,LjE90GIpS6+P0n06TFB9cw,,
19,124273,6359,540,29160,N,N,WS_Open,G10,SUBMISSION OF DRAWINGS,,124272,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,fI+aDyf7QSacgt8zcRMZJA,,
20,124274,6359,540,29170,N,N,WS_Open,G20,APPROVAL OF DRAWINGS,,124272,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,QAPTf+OaQJ6RTzCOrVC4KA,,
21,124275,6359,540,29060,N,N,WS_Open,H05,STRUCTURAL DRAWINGS,,124268,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,Y00N4Y14QV2FTPwfpDXixQ,,
22,124276,6359,540,29080,N,N,WS_Open,G20,APPROVAL OF DRAWINGS,,124275,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,W5hja6pnSXazcqiT9FzUCQ,,
23,124277,6359,540,29070,N,N,WS_Open,G10,SUBMISSION OF DRAWINGS,,124275,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,WSl4FJQlSzC6hYEDiVSQEQ,,
24,124278,6359,540,29120,N,N,WS_Open,H20,ELECTRICAL DRAWINGS,,124268,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,JF2bG5GwRoi5ITVutJCd/A,,
25,124279,6359,540,29140,N,N,WS_Open,G20,APPROVAL OF DRAWINGS,,124278,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,wWPFpxE6RE2+yvtoQnZBqw,,
26,124280,6359,540,29130,N,N,WS_Open,G10,SUBMISSION OF DRAWINGS,,124278,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,LW3C8ORyTrSUmybBNWydBw,,
27,124281,6359,540,29180,N,N,WS_Open,H40,INFRA DRAWINGS,,124268,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,Ldfs+GRGT8W81D8pYTh0XA,,
28,124282,6359,540,29190,N,N,WS_Open,G10,SUBMISSION OF DRAWINGS,,124281,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,RJTKgc0+RcWRL8n1RaL9sQ,,
29,124283,6359,540,29200,N,N,WS_Open,G20,APPROVAL OF DRAWINGS,,124281,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,MZXjnOhvT5Wu0C5yhuvpuw,,
30,124284,6359,540,28700,N,N,WS_Open,L20,PACKAGE-1A,,124266,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,RxX0XbZiQ/aVYMb3KbapIA,,
31,124285,6359,540,28710,N,N,WS_Open,E05,SHOP DRAWINGS SUBMISSION & APPROVAL,,124284,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,MX9LVPizQTu69eeXl9rycQ,,
32,124286,6359,540,28810,N,N,WS_Open,H30,"PLUMBING,DRAINAGE,FIREFIGHTING & AC DRAWINGS",,124285,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,AA8p7VtgTD2pVSb08EJ3Jw,,
33,124287,6359,540,28820,N,N,WS_Open,G10,SUBMISSION OF DRAWINGS,,124286,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,ZPdsvZlSRYmTUkj5AE/FFw,,
34,124288,6359,540,28830,N,N,WS_Open,G20,APPROVAL OF DRAWINGS,,124286,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,1ZSvUkAlSAikmQe+MOd1lg,,
35,124289,6359,540,28780,N,N,WS_Open,H20,ELECTRICAL DRAWINGS,,124285,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,T/LBylZlSCicKj1B2877kQ,,
36,124290,6359,540,28790,N,N,WS_Open,G10,SUBMISSION OF DRAWINGS,,124289,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,l18d6qkMSCy1X5vCxs6B+A,,
37,124291,6359,540,28800,N,N,WS_Open,G20,APPROVAL OF DRAWINGS,,124289,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,/+YnApbdSXGTiP4n/lh2ZQ,,
38,124292,6359,540,28840,N,N,WS_Open,H40,INFRA DRAWINGS,,124285,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,ONed88evRF22+Elok4uQFA,,
39,124293,6359,540,28860,N,N,WS_Open,G20,APPROVAL OF DRAWINGS,,124292,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,ScyI1sksQxOtHT33RMP0Qw,,
40,124294,6359,540,28850,N,N,WS_Open,G10,SUBMISSION OF DRAWINGS,,124292,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,BoLS445CTk2N5zlArMQvjA,,
41,124295,6359,540,28750,N,N,WS_Open,H10,ARCHITECTURAL DRAWINGS,,124285,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,dYZSKVUFQueaWZWghXNtuQ,,
42,124296,6359,540,28770,N,N,WS_Open,G20,APPROVAL OF DRAWINGS,,124295,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,vdOfiwY2SV6ihRKKz5NSAQ,,
43,124297,6359,540,28760,N,N,WS_Open,G10,SUBMISSION OF DRAWINGS,,124295,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,+L9izVCGSqK9R21T/youpA,,
44,124298,6359,540,28720,N,N,WS_Open,H05,STRUCTURAL DRAWINGS,,124285,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,ygFejVwSTEqswjRAcsY7sg,,
45,124299,6359,540,28740,N,N,WS_Open,G20,APPROVAL OF DRAWINGS,,124298,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,VaDikWwlQTWi7VM+LCfzmw,,
46,124300,6359,540,28730,N,N,WS_Open,G10,SUBMISSION OF DRAWINGS,,124298,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,6bTdLv8NRRWTob9XbME4xQ,,
47,124301,6359,540,28870,N,N,WS_Open,L30,PACKAGE-1B,,124266,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,mMMM059WQsyYZZUqY99qeQ,,
48,124302,6359,540,28880,N,N,WS_Open,E05,SHOP DRAWINGS SUBMISSION & APPROVAL,,124301,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,FGddghRQRQiZV0Lzqv9CcQ,,
49,124303,6359,540,29010,N,N,WS_Open,H40,INFRA DRAWINGS,,124302,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,zf9KGUGfTyy4a9jpi1q/Ew,,
50,124304,6359,540,29020,N,N,WS_Open,G10,SUBMISSION OF DRAWINGS,,124303,,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_cpi,l4NekZckQR68M+gaKh8HEw,,
