,task_id,actv_code_type_id,actv_code_id,proj_id
0,499287,3772,19250,6359
1,499287,3773,19256,6359
2,499287,3774,19269,6359
3,499287,3779,19388,6359
4,499287,3780,19498,6359
5,499287,3781,19511,6359
6,499288,3772,19250,6359
7,499288,3773,19256,6359
8,499288,3774,19269,6359
9,499288,3779,19388,6359
10,499288,3780,19499,6359
11,499288,3781,19511,6359
12,499289,3772,19250,6359
13,499289,3773,19256,6359
14,499289,3774,19269,6359
15,499289,3779,19379,6359
16,499289,3780,19488,6359
17,499289,3781,19511,6359
18,499290,3772,19250,6359
19,499290,3773,19256,6359
20,499290,3774,19269,6359
21,499290,3779,19379,6359
22,499290,3780,19488,6359
23,499290,3781,19511,6359
24,499291,3772,19250,6359
25,499291,3773,19256,6359
26,499291,3774,19269,6359
27,499291,3779,19388,6359
28,499291,3780,19497,6359
29,499291,3781,19511,6359
30,499292,3772,19250,6359
31,499292,3773,19256,6359
32,499292,3774,19263,6359
33,499292,3779,19382,6359
34,499292,3780,19421,6359
35,499292,3781,19508,6359
36,499293,3772,19250,6359
37,499293,3773,19256,6359
38,499293,3774,19263,6359
39,499293,3779,19382,6359
40,499293,3780,19422,6359
41,499293,3781,19508,6359
42,499294,3772,19250,6359
43,499294,3773,19256,6359
44,499294,3774,19263,6359
45,499294,3779,19382,6359
46,499294,3780,19420,6359
47,499294,3781,19508,6359
48,499295,3772,19250,6359
49,499295,3773,19256,6359
50,499295,3774,19263,6359
51,499295,3779,19379,6359
52,499295,3780,19488,6359
53,499295,3781,19508,6359
54,499296,3772,19250,6359
55,499296,3773,19256,6359
56,499296,3774,19263,6359
57,499296,3779,19379,6359
58,499296,3780,19488,6359
59,499296,3781,19508,6359
60,499297,3772,19250,6359
61,499297,3773,19256,6359
62,499297,3774,19265,6359
63,499297,3779,19379,6359
64,499297,3780,19488,6359
65,499297,3781,19509,6359
66,499298,3772,19250,6359
67,499298,3773,19256,6359
68,499298,3774,19265,6359
69,499298,3779,19379,6359
70,499298,3780,19488,6359
71,499298,3781,19509,6359
72,499299,3772,19250,6359
73,499299,3773,19256,6359
74,499299,3774,19265,6359
75,499299,3779,19384,6359
76,499299,3780,19444,6359
77,499299,3781,19509,6359
78,499300,3772,19250,6359
79,499300,3773,19256,6359
80,499300,3774,19265,6359
81,499300,3779,19384,6359
82,499300,3780,19445,6359
83,499300,3781,19509,6359
84,499301,3772,19250,6359
85,499301,3773,19256,6359
86,499301,3774,19265,6359
87,499301,3779,19384,6359
88,499301,3780,19443,6359
89,499301,3781,19509,6359
90,499302,3772,19250,6359
91,499302,3773,19256,6359
92,499302,3774,19261,6359
93,499302,3779,19380,6359
94,499302,3780,19495,6359
95,499302,3781,19507,6359
96,499303,3772,19250,6359
97,499303,3773,19256,6359
98,499303,3774,19261,6359
99,499303,3779,19380,6359
100,499303,3780,19397,6359
101,499303,3781,19507,6359
102,499304,3772,19250,6359
103,499304,3773,19256,6359
104,499304,3774,19261,6359
105,499304,3779,19380,6359
106,499304,3780,19398,6359
107,499304,3781,19507,6359
108,499305,3772,19250,6359
109,499305,3773,19256,6359
110,499305,3774,19261,6359
111,499305,3779,19379,6359
112,499305,3780,19488,6359
113,499305,3781,19507,6359
114,499306,3772,19250,6359
115,499306,3773,19256,6359
116,499306,3774,19261,6359
117,499306,3779,19379,6359
118,499306,3780,19488,6359
119,499306,3781,19507,6359
120,499307,3772,19250,6359
121,499307,3773,19256,6359
122,499307,3774,19267,6359
123,499307,3779,19379,6359
124,499307,3780,19488,6359
125,499307,3781,19510,6359
126,499308,3772,19250,6359
127,499308,3773,19256,6359
128,499308,3774,19267,6359
129,499308,3779,19379,6359
130,499308,3780,19488,6359
131,499308,3781,19510,6359
132,499309,3772,19250,6359
133,499309,3773,19256,6359
134,499309,3774,19267,6359
135,499309,3779,19386,6359
136,499309,3780,19468,6359
137,499309,3781,19510,6359
138,499310,3772,19250,6359
139,499310,3773,19256,6359
140,499310,3774,19267,6359
141,499310,3779,19386,6359
142,499310,3780,19466,6359
143,499310,3781,19510,6359
144,499311,3772,19250,6359
145,499311,3773,19256,6359
146,499311,3774,19267,6359
147,499311,3779,19386,6359
148,499311,3780,19467,6359
149,499311,3781,19510,6359
150,499312,3772,19250,6359
151,499312,3773,19251,6359
152,499312,3774,19257,6359
153,499313,3772,19250,6359
154,499313,3773,19251,6359
155,499313,3774,19257,6359
156,499314,3772,19250,6359
157,499314,3773,19251,6359
158,499314,3774,19257,6359
159,499316,3772,19250,6359
160,499316,3773,19251,6359
161,499316,3774,19257,6359
162,499317,3772,19250,6359
163,499317,3773,19253,6359
164,499317,3774,19265,6359
165,499317,3775,19285,6359
166,499317,3776,19296,6359
167,499317,3777,19323,6359
168,499317,3781,19509,6359
169,499318,3772,19250,6359
170,499318,3773,19253,6359
171,499318,3774,19265,6359
172,499318,3775,19285,6359
173,499318,3776,19296,6359
174,499318,3777,19323,6359
175,499318,3781,19509,6359
176,499319,3772,19250,6359
177,499319,3773,19253,6359
178,499319,3774,19265,6359
179,499319,3775,19285,6359
180,499319,3776,19296,6359
181,499319,3777,19323,6359
182,499319,3781,19509,6359
183,499320,3772,19250,6359
184,499320,3773,19253,6359
185,499320,3774,19265,6359
186,499320,3775,19285,6359
