,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,1872424,500184,500088,6359,6359,PR_FS,0,,2013-09-04 17:00,2013-11-25 08:00
1,1872425,500191,500095,6359,6359,PR_FS,0,,2013-05-16 17:00,2013-06-17 08:00
2,1872426,500197,500101,6359,6359,PR_FS,0,,2013-05-16 17:00,2013-06-17 08:00
3,1872427,500204,500108,6359,6359,PR_FS,0,,2013-05-11 17:00,2013-06-18 08:00
4,1872428,500223,500127,6359,6359,PR_FS,0,,2013-05-11 17:00,2013-08-29 08:00
5,1872429,500147,500132,6359,6359,PR_FS,0,,2013-05-11 17:00,2013-08-18 08:00
6,1872430,500148,500133,6359,6359,PR_FS,0,,2013-05-25 17:00,2013-06-29 08:00
7,1872431,500149,500134,6359,6359,PR_FS,0,,2013-05-30 17:00,2013-07-06 08:00
8,1872432,500152,500137,6359,6359,PR_FS,0,,2013-05-30 17:00,2013-07-11 08:00
9,1872433,500155,500140,6359,6359,PR_FS,0,,2013-07-22 17:00,2013-09-12 08:00
10,1872434,499949,500162,6359,6359,PR_FS,0,,2013-07-04 17:00,2013-10-06 08:00
11,1872435,499973,500185,6359,6359,PR_FS,0,,2013-10-29 17:00,2013-12-31 08:00
12,1872436,499975,500187,6359,6359,PR_FS,0,,2013-09-22 17:00,2014-02-21 08:00
13,1872437,499897,500193,6359,6359,PR_FS,0,,2013-07-14 17:00,2013-09-07 08:00
14,1872438,499899,500195,6359,6359,PR_FS,0,,2013-07-14 17:00,2013-09-27 08:00
15,1872439,499919,500215,6359,6359,PR_FS,0,,2013-08-18 17:00,2014-01-17 08:00
16,1872440,499922,500218,6359,6359,PR_FS,0,,2013-09-04 17:00,2013-10-01 08:00
17,1872441,500070,500236,6359,6359,PR_FS,0,,2013-04-14 17:00,2013-08-22 08:00
18,1872442,500081,500247,6359,6359,PR_FS,0,,2013-05-01 17:00,2013-07-23 08:00
19,1872443,500082,500248,6359,6359,PR_FS,0,,2013-05-01 17:00,2013-07-23 08:00
20,1872444,500086,500252,6359,6359,PR_FS,0,,2013-07-16 17:00,2013-11-13 08:00
21,1872445,500090,500256,6359,6359,PR_FS,0,,2013-09-28 17:00,2013-11-13 08:00
22,1872446,500091,500257,6359,6359,PR_FS,0,,2013-08-03 17:00,2014-01-05 08:00
23,1872447,499889,500259,6359,6359,PR_FS,0,,2012-12-27 17:00,2013-02-12 08:00
24,1872448,500095,500265,6359,6359,PR_FS,0,,2013-05-05 17:00,2013-06-05 08:00
25,1872449,500100,500270,6359,6359,PR_FS,0,,2013-07-16 17:00,2013-10-07 08:00
26,1872450,500110,500280,6359,6359,PR_FS,0,,2013-04-29 17:00,2013-07-25 08:00
