,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,3913,374,565,200,1,Y,N,WS_Open,C-A-FR-2,    ,,3667,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,6qw+5ejEnUSxrB/5ijWN8A,,
1,3915,374,565,300,1,N,N,WS_Open,2, ,,3913,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,q9EHhSQDyUizeRHTNYgY5A,,
2,3916,374,565,400,1,N,N,WS_Open,3, ,,3913,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,DkJzEUaL4UG7W5KFKgxN2w,,
3,4002,374,565,2,1,N,N,WS_Open,3,  94,,3916,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,FFZp0+s+cUavihobzhF0ow,ftQNumgf/E6o78PN1D9EGA,
4,4003,374,565,0,1,N,N,WS_Open,1, ,,4002,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,wYvyZeFEqEC4z+hcngXtTw,5NRU9cE3T0KyNB+OoUfXZA,
5,4004,374,565,203,1,N,N,WS_Open,1, 1(  ),,4003,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,YkDHTIEiLk+6xGwqD1vVxg,Zdprq001uUOALSl1PYchUQ,
6,4005,374,565,203,1,N,N,WS_Open,2, 2(  ),,4003,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,23oS3CdBXUeeeHtk5q3lEg,X58V/bq1hk2Xql+D5jRl3w,
7,4006,374,565,203,1,N,N,WS_Open,3, 3 ( ),,4003,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,qMXNHD417kCKFWMdtkgUag,EAiBOqRUvEy35G6bJR7jiw,
8,4007,374,565,203,1,N,N,WS_Open,4, 4 ( ),,4003,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,jWbwMk6lHkiDFjF4bio1xw,gK7BPgeRk0O2mCsinzvccQ,
9,4008,374,565,203,1,N,N,WS_Open,5, 5(  ),,4003,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,exXdMsjIY0ecI/zU44F1rw,9HTKujOy9kmK5FsFTxk6+Q,
10,4009,374,565,203,1,N,N,WS_Open,6, 6(  ),,4003,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,BGL8+B3VlE2qT9ayBivI3g,a5Cch4/ICUy/99MP6Nr4/w,
11,4010,374,565,1,1,N,N,WS_Open,2, ,,4002,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,vxOnSLJbrUSpr2zvLKtviA,7M1pBW5g9k+L7JAyXDAN8g,
12,4011,374,565,0,1,N,N,WS_Open,1, 1(  ),,4010,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,SfQxOB05akG4WW9wyBd7Rw,bRKEs2NiwECaNKiMvDsTrQ,
13,4012,374,565,1,1,N,N,WS_Open,2, 2(  ),,4010,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,GjywGrYNUk2BpIO0nTGZvg,EVoz4IRjM0GZZqfF0JIpog,
14,4013,374,565,2,1,N,N,WS_Open,3, 3 ( ),,4010,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,ptfrzqoTkUijlLzn4oJTnQ,iwghDTrtwECrQXpgb1TkjQ,
15,4014,374,565,3,1,N,N,WS_Open,4, 4 ( ),,4010,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,76nMx+h/A0qw2sn/hSRVdQ,5OWaWoZJ+U6WWDlnndxJNA,
16,4015,374,565,4,1,N,N,WS_Open,5, 5(  ),,4010,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,kg6m0+2ccESvg24UzThfsw,B/rggZGjbE6wzxbc/kEuww,
17,4016,374,565,5,1,N,N,WS_Open,6, 6(  ),,4010,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,+lhABYl8Y0i9wyv8uRUE1Q,qQ84gFXlfEWZo4uYgakdQw,
18,4017,374,565,2,1,N,N,WS_Open,5,(KEYSTONE)   ,,4002,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,FSwfQ7JlHUKbPk22tvz+SA,X/faUwVVnEyD2VPDk8DTyw,
19,4018,374,565,0,1,N,N,WS_Open,1,  ,,4017,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,NsNYwQgZXEyD8gd6KgzOTg,jBC48gFHukq1u6cZL/Yxhg,
20,4019,374,565,1,1,N,N,WS_Open,2,  ,,4017,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,ADJpPe3tLE+4L77CpcXoTg,r3E2ibzIm0SLOhn45usfDg,
21,4020,374,565,3,1,N,N,WS_Open,3,  ,,4002,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,f4lpRWb5jE+LMb6Rk+O40A,dLgk+Sjft0eaeTRS3GocOQ,
22,4021,374,565,203,1,N,N,WS_Open,2,  ,,4020,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,WaPm22mRF0KDUPOcDGgMdA,Z0zhyOKXDUCY76D8+fuKDA,
23,4022,374,565,203,1,N,N,WS_Open,4,  ,,4020,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,r1NO/KqaNESfogWGeVt/gQ,3/2ywE7WkUKgREPBGOt0Bw,
24,4023,374,565,203,1,N,N,WS_Open,1,  ,,4020,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,HhwqIEab5UKmOGsJMP8T9A,PFVPc6S6tEudP4M6Ff7aGQ,
25,4024,374,565,203,1,N,N,WS_Open,3,  ,,4020,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,S6upgiSjx0eUX0072CsYuA,kGL4PROYkEurd2ImxMisvA,
26,4025,374,565,4,1,N,N,WS_Open,4, ,,4002,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Qgo4e6tU4E+Wv7LDbUo+bg,CY3DRyoe30Gs6Xeisxqivg,
27,4060,374,565,0,1,N,N,WS_Open,1,  84,,3916,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,CambzcEMKkiSwGUOtNTBvA,zWYx7JJVKkK80ShaGM/bfg,
28,4061,374,565,103,1,N,N,WS_Open,1, ,,4060,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,2BDhyn+NLEelWz5K7GGmQg,h66/fqEaOUGdxBqy2Rw4NA,
29,4062,374,565,103,1,N,N,WS_Open,2, ,,4060,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,xhiw+453U0SQQmCTN0fqlQ,7QikrvAh3kGckz1AKEtwrw,
30,4063,374,565,103,1,N,N,WS_Open,5,(KEYSTONE)   ,,4060,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,xrzPRc8hwk6yFNDodVBB2Q,Dblcof3vY0WXc7kxBLOkpw,
31,4064,374,565,0,1,N,N,WS_Open,1, 1   ,,4062,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,no+8dQwhFkSLMc0LZnpe8w,LMChqD21x0KScEJqCRSMAA,
32,4065,374,565,1,1,N,N,WS_Open,2, 2   ,,4062,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,6bfd5BnN1UmZRmievIuyIw,chq0G7/wL0KG51LujKbuCg,
33,4066,374,565,2,1,N,N,WS_Open,3, 3 ( ),,4062,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,71TPcnC0BEqzsL4RAoO4yg,m1zQtAdYLEum7DV9o41c0g,
34,4067,374,565,3,1,N,N,WS_Open,4, 4 ( ),,4062,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,IWEQr15HIECKxCbBAkLo8w,Ue6bbaTnZkiAj/YGvhmHkw,
35,4068,374,565,4,1,N,N,WS_Open,5, 5(  ),,4062,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,4octO1dBbUq4Uqzt9iv3ZQ,AZlgDhUhsECrX3IPmaswZw,
36,4069,374,565,5,1,N,N,WS_Open,6, 6(  ),,4062,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,FQ4G1R2NTU6IMxkWFZ/aQg,xqOBsiGHO0KOgiFIRn4YGQ,
37,4070,374,565,104,1,N,N,WS_Open,1,  ,,4063,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,K46l1YIp5Ee32t2juxLp7g,zLjEZIBO7UOQQZyW1x+5zQ,
38,4071,374,565,104,1,N,N,WS_Open,2,  ,,4063,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,HmQECt1HnEK76a2uiWP72g,I/L/a/CPsEislhFbPYGI1A,
39,4072,374,565,203,1,N,N,WS_Open,1,( 1)    ,,4061,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,l2HoOJoJ40mZHHC+QBiaCg,ulovooIw20+wHPd5adnbzw,
40,4073,374,565,203,1,N,N,WS_Open,2, 2  ,,4061,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,cFtQ3TFr50y0gPa/SZFGhw,n6JibjHJJ0OQYbvvLHNhFA,
41,4074,374,565,203,1,N,N,WS_Open,3, 3( ),,4061,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,wmxyTiX+KEquEesnryzxKg,fVC1s4EGCEa2q3OmPgF4Xw,
42,4075,374,565,203,1,N,N,WS_Open,4, 4 ( ),,4061,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,w6+Ovg0MsE207yKa7bkxQw,VT5DuZRfUEOyp8RIUuKzfg,
43,4076,374,565,203,1,N,N,WS_Open,5, 5 (  ),,4061,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,75ejznh/60yHWzNBEtUKaQ,BRtCHHoGh0KYJGcQ1ivH+A,
44,4077,374,565,203,1,N,N,WS_Open,6, 6 (  ),,4061,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,9SawGuv8vU6k5JoEilxJHQ,6kyeHWfj2EeLcvtmm2w8gA,
45,4078,374,565,203,1,N,N,WS_Open,3,  ,,4060,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,FeAPCYxT8k61Ga7xEUATtQ,/ZF3jvJoYEqAmMr8wTHpSQ,
46,4079,374,565,203,1,N,N,WS_Open,1,  ,,4078,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,v9dozcOOSUqZ5O+9SOybBw,HEtDDYNm2UmH5WqWh9aW8w,
47,4080,374,565,203,1,N,N,WS_Open,3,  ,,4078,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,2CYm8w6UP0WmLQPuGeKF+w,aPP3J9heUkSwVp2U+TG/yQ,
48,4081,374,565,203,1,N,N,WS_Open,4,  ,,4078,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,phA8yw4+GkWTGvHlhRZIKg,wxgJK/X+cEeKPcemxncWPQ,
49,4082,374,565,203,1,N,N,WS_Open,2,  ,,4078,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Q/4LetXOR0SqPweAwG/vsg,0KcJVMGKGUeUZgODiKwk1Q,
50,4083,374,565,303,1,N,N,WS_Open,4, ,,4060,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,15liVZ7LLEWeutNrTdr3gg,C7+QodiVL0SYVE/855Yc8g,
51,4084,374,565,1,1,N,N,WS_Open,2,  88,,3916,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,5j8NJGDXZ0OsIHp9ZwoM9A,CambzcEMKkiSwGUOtNTBvA,
52,4085,374,565,103,1,N,N,WS_Open,1, ,,4084,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,cNIvsmIP90KHuXw+1bFxPw,2BDhyn+NLEelWz5K7GGmQg,
53,4086,374,565,103,1,N,N,WS_Open,2, ,,4084,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,T14C3fh+IU69Mqay1OQZVw,xhiw+453U0SQQmCTN0fqlQ,
54,4087,374,565,103,1,N,N,WS_Open,5,(KEYSTONE)   ,,4084,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,yVD+Q0lj00C8njGKmK1lmw,xrzPRc8hwk6yFNDodVBB2Q,
55,4088,374,565,0,1,N,N,WS_Open,1, 1(  ),,4086,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Dqr0lbXoaUiRuzpsZjgxug,no+8dQwhFkSLMc0LZnpe8w,
56,4089,374,565,1,1,N,N,WS_Open,2, 2(  ),,4086,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,WCCtb1Tl7keoY+MvWodiMg,6bfd5BnN1UmZRmievIuyIw,
57,4090,374,565,2,1,N,N,WS_Open,3, 3 ( ),,4086,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,xRe2VbW6GkGK6elyYfMnPw,71TPcnC0BEqzsL4RAoO4yg,
58,4091,374,565,3,1,N,N,WS_Open,4, 4 ( ),,4086,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Y78vEaurGka7a72qMMCovQ,IWEQr15HIECKxCbBAkLo8w,
59,4092,374,565,4,1,N,N,WS_Open,5, 5(  ),,4086,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,P0HHOg8MOE6BzDz3udeDMA,4octO1dBbUq4Uqzt9iv3ZQ,
60,4093,374,565,5,1,N,N,WS_Open,6, 6(  ),,4086,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,/vY0PQEo4Eu4R8duT3e+Iw,FQ4G1R2NTU6IMxkWFZ/aQg,
61,4094,374,565,104,1,N,N,WS_Open,1,  ,,4087,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,HtZ/fIiYCUW/WBZw2yX0zQ,K46l1YIp5Ee32t2juxLp7g,
62,4095,374,565,104,1,N,N,WS_Open,2,  ,,4087,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,MAN1SikyXE6mB+FxqLdwAg,HmQECt1HnEK76a2uiWP72g,
63,4096,374,565,203,1,N,N,WS_Open,1, 1 (  ),,4085,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Mh5nT8+GDUKpbu9UFTbB+g,l2HoOJoJ40mZHHC+QBiaCg,
64,4097,374,565,203,1,N,N,WS_Open,2, 2(  ),,4085,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,pbWUfQd33kOXkdB4Psw4jQ,cFtQ3TFr50y0gPa/SZFGhw,
65,4098,374,565,203,1,N,N,WS_Open,3, 3 ( ),,4085,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,17b0kN469EmIg3zLn8JcJg,wmxyTiX+KEquEesnryzxKg,
66,4099,374,565,203,1,N,N,WS_Open,4, 4 ( ),,4085,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,D8jv4hkmeE+jrEUNAryAMA,w6+Ovg0MsE207yKa7bkxQw,
67,4100,374,565,203,1,N,N,WS_Open,5, 5(  ),,4085,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,xJl9J4AQoU2QAf7WRPoS7g,75ejznh/60yHWzNBEtUKaQ,
