,rsrc_rate_id,rsrc_id,max_qty_per_hr,cost_per_qty,start_date,shift_period_id,cost_per_qty2,cost_per_qty3,cost_per_qty4,cost_per_qty5
0,2073,1628,1,0.00,2008-01-01 00:00,,,,,
1,2074,1629,1,0.00,2008-01-01 00:00,,,,,
2,2075,1630,1,1.00,2008-01-01 00:00,,,,,
3,2076,1631,1,0.00,2008-01-01 00:00,,,,,
4,2077,1632,1,0.00,2008-01-01 00:00,,,,,
5,2078,1633,1,0.00,2008-01-01 00:00,,,,,
6,2079,1634,1,0.00,2008-01-01 00:00,,,,,
7,2080,1635,1,0.00,2008-01-01 00:00,,,,,
8,2081,1636,1,29.19,2008-01-01 00:00,,,,,
9,2082,1637,1,1751.40,2008-01-01 00:00,,,,,
10,2083,1638,1,1167.60,2008-01-01 00:00,,,,,
11,2084,1639,1,23352.00,2008-01-01 00:00,,,,,
12,2085,1640,1,18681.60,2008-01-01 00:00,,,,,
13,2086,1641,1,9340.80,2008-01-01 00:00,,,,,
14,2087,1642,1,11.68,2008-01-01 00:00,,,,,
15,2088,1643,1,19.46,2008-01-01 00:00,,,,,
16,2089,1644,1,1.36,2008-01-01 00:00,,,,,
17,2090,1645,1,35.03,2008-01-01 00:00,,,,,
18,2091,1646,1,1.00,2008-01-01 00:00,,,,,
19,2092,1647,1,99.25,2008-01-01 00:00,,,,,
20,2093,1648,1,8.27,2008-01-01 00:00,,,,,
21,2094,1649,1,0.00,2008-01-01 00:00,,,,,
22,2095,1650,1,2.33,2008-01-01 00:00,,,,,
23,2096,1651,1,99.25,2008-01-01 00:00,,,,,
24,2097,1652,1,43.78,2008-01-01 00:00,,,,,
25,2098,1653,1,21.41,2008-01-01 00:00,,,,,
26,2099,1654,1,11.68,2008-01-01 00:00,,,,,
27,2100,1655,1,7.78,2008-01-01 00:00,,,,,
28,2101,1656,1,12.65,2008-01-01 00:00,,,,,
29,2102,1657,1,14.60,2008-01-01 00:00,,,,,
30,2103,1658,1,0.97,2008-01-01 00:00,,,,,
31,2104,1659,1,16.54,2008-01-01 00:00,,,,,
32,2105,1660,1,1.95,2008-01-01 00:00,,,,,
33,2106,1661,1,97.30,2008-01-01 00:00,,,,,
34,2107,1662,1,0.00,2008-01-01 00:00,,,,,
35,2108,1663,1,612.99,2008-01-01 00:00,,,,,
36,2109,1664,1,4290.93,2008-01-01 00:00,,,,,
37,2110,1665,1,51082.50,2008-01-01 00:00,,,,,
38,2111,1666,1,29.19,2008-01-01 00:00,,,,,
39,2112,1667,1,1167.60,2008-01-01 00:00,,,,,
40,2113,1668,1,175.14,2008-01-01 00:00,,,,,
41,2114,1669,1,778.40,2008-01-01 00:00,,,,,
42,2115,1747,1,75894.00,2008-01-01 00:00,,,,,
43,2116,1712,1,163464.00,2008-01-01 00:00,,,,,
44,2117,1713,1,1897.35,2008-01-01 00:00,,,,,
45,2118,1714,1,1138.41,2008-01-01 00:00,,,,,
46,2119,1715,1,493.31,2008-01-01 00:00,,,,,
47,2120,1675,1,52.54,2008-01-01 00:00,,,,,
48,2121,1693,1,5.84,2008-01-01 00:00,,,,,
49,2122,1696,1,5.84,2008-01-01 00:00,,,,,
50,2123,1697,1,4.38,2008-01-01 00:00,,,,,
51,2124,1679,1,0.00,2008-01-01 00:00,,,,,
52,2125,1680,1,140.11,2008-01-01 00:00,,,,,
53,2127,1682,1,68.11,2008-01-01 00:00,,,,,
54,2128,1683,1,330.82,2008-01-01 00:00,,,,,
55,2129,1684,1,233.52,2008-01-01 00:00,,,,,
56,2130,1685,1,525.42,2008-01-01 00:00,,,,,
57,2131,1681,1,46.70,2008-01-01 00:00,,,,,
58,2132,1728,1,6.33,2008-01-01 00:00,,,,,
59,2133,1691,1,0.00,2008-01-01 00:00,,,,,
60,2134,1692,1,1041.11,2008-01-01 00:00,,,,,
61,2135,1700,1,1016.79,2008-01-01 00:00,,,,,
62,2136,1710,1,583.80,2008-01-01 00:00,,,,,
63,2137,1711,1,93.41,2008-01-01 00:00,,,,,
64,2138,1694,1,1196.79,2008-01-01 00:00,,,,,
65,2139,1695,1,75894.00,2008-01-01 00:00,,,,,
66,2140,1705,1,0.00,2008-01-01 00:00,,,,,
67,2141,1677,1,0.00,2008-01-01 00:00,,,,,
68,2142,1678,1,0.00,2008-01-01 00:00,,,,,
69,2143,1780,1,749.21,2008-01-01 00:00,,,,,
70,2144,1764,1,875.70,2008-01-01 00:00,,,,,
71,2145,1779,1,1026.52,2008-01-01 00:00,,,,,
72,2146,1759,1,676.24,2008-01-01 00:00,,,,,
73,2147,1702,1,15.18,2008-01-01 00:00,,,,,
74,2148,1703,1,817.32,2008-01-01 00:00,,,,,
75,2149,1704,1,0.00,2008-01-01 00:00,,,,,
76,2150,1746,1,1328.15,2008-01-01 00:00,,,,,
77,2151,1766,1,4665.54,2008-01-01 00:00,,,,,
78,2152,1765,1,1191.93,2008-01-01 00:00,,,,,
79,2153,1708,1,40.87,2008-01-01 00:00,,,,,
80,2154,1709,1,16.35,2008-01-01 00:00,,,,,
81,2155,1751,1,51.08,2008-01-01 00:00,,,,,
82,2156,1670,1,2656.29,2008-01-01 00:00,,,,,
83,2157,1671,1,1873.03,2008-01-01 00:00,,,,,
