,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,2721,36803,36802,374,374,PR_FS,0,,2008-12-31 00:00,2009-10-03 08:00
1,2722,36802,36801,374,374,PR_FS,0,,2008-12-31 00:00,2009-09-12 08:00
2,2723,36801,36800,374,374,PR_FS,0,,2008-12-31 00:00,2009-09-05 08:00
3,2724,36800,36799,374,374,PR_FS,0,,2008-12-31 00:00,2009-09-01 08:00
4,2725,36799,36798,374,374,PR_FS,0,,2008-12-31 00:00,2009-08-20 08:00
5,2726,36783,36781,374,374,PR_FS,0,,2008-12-31 00:00,2009-10-03 08:00
6,2727,36781,36780,374,374,PR_FS,0,,2008-12-31 00:00,2009-10-03 08:00
7,2728,36780,36779,374,374,PR_FS,0,,2008-12-31 00:00,2009-02-19 15:20
8,2729,36779,36778,374,374,PR_FS,0,,2008-12-31 00:00,2009-02-19 15:20
9,2730,36778,36777,374,374,PR_FS,0,,2008-12-31 00:00,2009-02-19 15:20
10,2731,36809,36808,374,374,PR_FS,0,,2008-12-31 00:00,2009-10-03 08:00
11,2732,36808,36807,374,374,PR_FS,0,,2008-12-31 00:00,2009-10-03 08:00
12,2733,36807,36806,374,374,PR_FS,0,,2008-12-31 00:00,2009-02-19 15:20
13,2734,36806,36805,374,374,PR_FS,0,,2008-12-31 00:00,2009-02-19 15:20
14,2735,36805,36804,374,374,PR_FS,0,,2008-12-31 00:00,2009-02-19 15:20
15,2736,36815,36814,374,374,PR_FS,0,,2008-12-31 00:00,2009-10-03 08:00
16,2737,36814,36813,374,374,PR_FS,0,,2008-12-31 00:00,2009-09-12 08:00
17,2738,36813,36812,374,374,PR_FS,0,,2008-12-31 00:00,2009-09-05 08:00
18,2739,36812,36811,374,374,PR_FS,0,,2008-12-31 00:00,2009-09-01 08:00
19,2740,36811,36810,374,374,PR_FS,0,,2008-12-31 00:00,2009-08-20 08:00
20,2741,36821,36820,374,374,PR_FS,0,,2009-02-17 16:00,2009-10-03 08:00
21,2742,36820,36819,374,374,PR_FS,0,,2009-02-05 16:00,2009-09-12 08:00
22,2743,36819,36818,374,374,PR_FS,0,,2009-01-29 16:00,2009-09-05 08:00
23,2744,36818,36817,374,374,PR_FS,0,,2009-01-26 16:00,2009-09-01 08:00
24,2745,36817,36816,374,374,PR_FS,0,,2009-01-14 16:00,2009-08-20 08:00
25,2746,36827,36826,374,374,PR_FS,0,,2009-03-01 16:00,2009-10-08 08:00
26,2747,36826,36825,374,374,PR_FS,0,,2009-02-12 16:00,2009-09-27 08:00
27,2748,36825,36824,374,374,PR_FS,0,,2009-02-04 13:00,2009-09-16 08:00
28,2749,36824,36823,374,374,PR_FS,0,,2009-02-01 13:00,2009-09-13 08:00
29,2750,36823,36822,374,374,PR_FS,0,,2009-01-14 16:00,2009-09-07 11:00
30,2751,36788,36787,374,374,PR_FS,0,,2009-05-23 16:00,2010-02-18 08:00
31,2752,36789,36788,374,374,PR_FS,0,,2009-07-21 16:00,2010-03-02 08:00
32,2753,36787,36786,374,374,PR_FS,0,,2009-05-14 16:00,2010-02-10 08:00
33,2754,36786,36835,374,374,PR_FS,0,,2009-04-23 16:00,2010-02-02 08:00
34,2755,36786,36834,374,374,PR_FS,0,,2009-05-06 16:00,2010-02-02 08:00
35,2756,36786,36829,374,374,PR_FS,0,,2009-05-06 16:00,2010-02-02 08:00
36,2757,36829,36793,374,374,PR_FS,0,,2009-02-07 16:00,2009-12-29 08:00
37,2758,36829,36797,374,374,PR_FS,0,,2009-03-30 16:00,2009-12-29 08:00
38,2759,36836,36837,374,374,PR_FF,16,,2009-04-06 08:00,2010-02-16 08:00
39,2760,36837,36833,374,374,PR_SS,24,,2009-04-15 16:00,2009-09-06 08:00
40,2761,36833,36831,374,374,PR_SS,40,,2009-04-11 16:00,2009-08-19 08:00
41,2762,36831,36830,374,374,PR_SS,40,,2009-04-05 16:00,2009-10-20 08:00
42,2763,36830,36792,374,374,PR_FS,0,,2009-02-04 16:00,2009-11-07 08:00
43,2764,36830,36791,374,374,PR_FS,0,,2009-02-04 16:00,2009-11-07 08:00
44,2765,36830,36797,374,374,PR_FS,0,,2009-03-30 16:00,2009-11-07 08:00
45,2766,36797,36827,374,374,PR_FS,0,,2009-03-07 16:00,2009-10-14 08:00
46,2767,36796,36821,374,374,PR_FS,0,,2009-02-23 16:00,2009-12-06 08:00
47,2768,36795,36815,374,374,PR_FS,0,,2008-12-31 00:00,2009-12-06 08:00
48,2769,36794,36803,374,374,PR_FS,0,,2008-12-31 00:00,2009-10-14 08:00
49,2770,36784,36783,374,374,PR_FS,0,,2008-12-31 00:00,2009-10-03 08:00
