,taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,pobs_id,skill_level,pend_complete_pct,remain_qty,pend_remain_qty,target_qty,remain_qty_per_hr,pend_act_reg_qty,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,pend_act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,target_crv,remain_crv,actual_crv,ts_pend_act_end_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,create_user,create_date,old_restart_date,old_reend_date,old_remain_drtn_hr_cnt,has_rsrchours,taskrsrc_sum_id
0,7025,37070,374,Y,,,1705,,,,80,,80,0.83333333,,0,0.83333333,0,,0,0,,0.00,0.00,0.00,0.00,0.00,,,2008-12-31 08:00,2009-01-14 16:00,2008-12-31 08:00,2009-01-14 16:00,2009-02-19 15:20,2009-03-05 15:20,Y,,,,N,s/znbCv+C0O7vvSpflgRGg,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2008-12-17 10:28,,,,,
1,7026,36782,374,Y,,,1705,,,,0,,80,1,,0,0.83333333,0,,80,0,,0.00,0.00,0.00,0.00,0.00,2008-07-01 00:00,2008-07-14 00:00,,,2008-11-01 08:00,2008-11-13 16:00,,,Y,,,,N,G6T4kZ5YskKt8eVuaEpKUA,COST_PER_QTY,0.00,80,,RT_Mat,ST_Rsrc,admin,2008-12-17 10:28,,,,,
2,7027,36828,374,Y,,,1695,,,,0,,1,1,,0,0.00416667,0,,1,0,,75894.00,75894.00,75894.00,0.00,0.00,2008-07-15 00:00,2008-08-12 00:00,,,2008-11-15 08:00,2008-12-18 16:00,,,Y,,,,N,dkjz3y+v+U2o0y35ebD9ow,COST_PER_QTY,75894.00,1,,RT_Mat,ST_Rsrc,admin,2008-12-17 10:28,,,,,
3,7029,37065,374,Y,,,1694,,,,385,,385,14.58333333,,0,1.45833333,0,,0,0,,1196.79,460764.15,0.00,0.00,460764.15,2008-12-13 00:00,,2009-01-15 08:00,2009-01-19 10:24,2009-01-15 08:00,2009-02-22 16:00,2009-03-09 14:56,2009-03-14 09:20,Y,,,,N,Am0Jh4x7n0iFuPdZ0FGXgg,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2008-12-17 10:29,,,,,
4,7030,37066,374,Y,,,1711,,,,455,,455,5,,0,5,0,,0,0,,93.41,42501.55,0.00,0.00,42501.55,,,2009-01-19 10:24,2009-02-01 13:24,2009-01-19 10:24,2009-02-01 13:24,2009-04-07 14:20,2009-04-22 09:20,Y,,,,N,lVOEpRKBDkC5urb7s9V52A,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2008-12-17 10:29,,,,,
5,7031,37069,374,Y,,,1710,,,,312.5,,312.5,2.5,,0,2.5,0,,0,0,,583.80,182437.50,0.00,0.00,182437.50,,,2009-02-14 13:24,2009-03-04 10:24,2009-02-14 13:24,2009-03-04 10:24,2009-08-17 10:20,2009-09-03 15:20,Y,,,,N,CIH0rwoLyE2id2QYmiLs3g,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2008-12-17 10:29,,,,,
6,7032,37071,374,Y,,,1728,,,,327.5,,327.5,7.5,,0,7.5,0,,0,0,,6.33,2073.07,0.00,0.00,2073.07,,,2009-03-04 10:24,2009-03-10 14:04,2009-03-04 10:24,2009-03-10 14:04,2009-09-16 08:40,2009-09-26 12:20,Y,,,,N,6VxCGgTAGESvAsgZg2qibA,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2008-12-17 10:29,,,,,
7,7034,37091,374,Y,,,1728,,,,155,,155,3.75,,0,3.75,0,,0,0,,6.33,981.15,0.00,0.00,981.15,,,2009-02-25 13:00,2009-03-03 14:20,2009-02-25 13:00,2009-03-03 14:20,2009-09-16 10:40,2009-09-26 12:00,Y,,,,N,PX2eon6xhk2q6goz0ulFrQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2008-12-17 10:30,,,,,
8,7035,37103,374,Y,,,1728,,,,155,,155,3.75,,0,3.75,0,,0,0,,6.33,981.15,0.00,0.00,981.15,,,2009-03-11 13:00,2009-03-17 14:20,2009-03-11 13:00,2009-03-17 14:20,2009-09-26 12:00,2009-10-01 13:20,Y,,,,N,wN++0YES9EePury8JiaFYw,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2008-12-17 10:30,,,,,
9,7036,37109,374,Y,,,1728,,,,155,,155,3.75,,0,3.75,0,,0,0,,6.33,981.15,0.00,0.00,981.15,,,2009-03-25 13:00,2009-03-31 14:20,2009-03-25 13:00,2009-03-31 14:20,2009-10-01 13:20,2009-10-07 14:40,Y,,,,N,BYgUBS3BsE+LEv1OUeugOA,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2008-12-17 10:30,,,,,
10,7037,37115,374,Y,,,1728,,,,155,,155,3.75,,0,3.75,0,,0,0,,6.33,981.15,0.00,0.00,981.15,,,2009-04-08 13:00,2009-04-15 14:20,2009-04-08 13:00,2009-04-15 14:20,2009-10-07 14:40,2009-10-13 16:00,Y,,,,N,vkn8aghwO06l7uvSsoMwqw,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2008-12-17 10:30,,,,,
11,7038,37097,374,Y,,,1728,,,,327.5,,327.5,7.5,,0,7.5,0,,0,0,,6.33,2073.07,0.00,0.00,2073.07,,,2009-04-12 10:24,2009-04-19 14:04,2009-04-12 10:24,2009-04-19 14:04,2009-09-26 12:20,2009-10-01 16:00,Y,,,,N,s8PlIw/lEUuURHPnSmatcg,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2008-12-17 10:30,,,,,
12,7039,36783,374,Y,,,1728,,,,0,,327.5,1,,0,8.1875,0,,13.1,0,,6.33,2073.07,82.92,0.00,0.00,2008-11-20 00:00,2008-11-23 00:00,,,2008-12-18 14:24,2008-12-24 14:24,,,Y,,,,N,QTwMvxCdJEeQCuCbQW3GSw,COST_PER_QTY,82.92,13.1,,RT_Mat,ST_Rsrc,admin,2008-12-17 10:30,,,,,
13,7040,36803,374,Y,,,1728,,,,0,,155,1,,0,3.875,0,,6.2,0,,6.33,981.15,39.25,0.00,0.00,2008-11-20 00:00,2008-11-24 00:00,,,2008-12-18 14:24,2008-12-24 14:24,,,Y,,,,N,T0yxlK292E2gz0tTMKMo9g,COST_PER_QTY,39.25,6.2,,RT_Mat,ST_Rsrc,admin,2008-12-17 10:30,,,,,
14,7041,36815,374,Y,,,1728,,,,0,,155,3.875,,0,3.875,0,,0,0,,6.33,981.15,0.00,0.00,0.00,2008-11-20 00:00,2008-11-23 00:00,,,2009-02-08 14:48,2009-02-14 14:48,,,Y,,,,N,N9w1jqKmCUu1ieeb/DijIQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2008-12-17 10:30,,,,,
15,7042,36821,374,Y,,,1728,,,,155,,155,3.875,,0,3.875,0,,0,0,,6.33,981.15,0.00,0.00,981.15,,,2009-02-18 08:00,2009-02-23 16:00,2009-02-18 08:00,2009-02-23 16:00,2009-10-03 08:00,2009-10-07 16:00,Y,,,,N,ey63v13o+0yuYymct0e4DQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2008-12-17 10:30,,,,,
16,7043,36827,374,Y,,,1728,,,,155,,155,3.875,,0,3.875,0,,0,0,,6.33,981.15,0.00,0.00,981.15,,,2009-03-02 08:00,2009-03-07 16:00,2009-03-02 08:00,2009-03-07 16:00,2009-10-08 08:00,2009-10-13 16:00,Y,,,,N,+DrymTOPDUaPNvz9mr7V+g,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2008-12-17 10:30,,,,,
17,7044,36809,374,Y,,,1728,,,,0,,327.5,8.1875,,0,8.1875,0,,0,0,,6.33,2073.07,0.00,0.00,0.00,2008-11-23 00:00,2008-11-27 00:00,,,2009-03-05 10:20,2009-03-11 10:20,,,Y,,,,N,05e/7jpTx0ersALN14MBdw,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2008-12-17 10:30,,,,,
18,7045,37090,374,Y,,,1710,,,,150,,150,1.875,,0,1.875,0,,0,0,,583.80,87570.00,0.00,0.00,87570.00,,,2009-02-14 13:00,2009-02-25 13:00,2009-02-14 13:00,2009-02-25 13:00,2009-08-18 14:40,2009-08-30 14:40,Y,,,,N,p6V4UDf74Uyfii/LYtpbNA,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2008-12-17 10:31,,,,,
19,7046,37102,374,Y,,,1710,,,,150,,150,1.875,,0,1.875,0,,0,0,,583.80,87570.00,0.00,0.00,87570.00,,,2009-02-28 13:00,2009-03-11 13:00,2009-02-28 13:00,2009-03-11 13:00,2009-08-30 14:40,2009-09-10 14:40,Y,,,,N,qX13GOaEHkutLWwNYKa3Zg,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2008-12-17 10:31,,,,,
20,7047,37108,374,Y,,,1710,,,,150,,150,1.875,,0,1.875,0,,0,0,,583.80,87570.00,0.00,0.00,87570.00,,,2009-03-14 13:00,2009-03-25 13:00,2009-03-14 13:00,2009-03-25 13:00,2009-09-10 14:40,2009-09-26 14:40,Y,,,,N,wycyAsbCR0iLqQzzwQCbwQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2008-12-17 10:31,,,,,
21,7048,37114,374,Y,,,1710,,,,150,,150,1.875,,0,1.875,0,,0,0,,583.80,87570.00,0.00,0.00,87570.00,,,2009-03-28 13:00,2009-04-08 13:00,2009-03-28 13:00,2009-04-08 13:00,2009-09-26 14:40,2009-10-07 14:40,Y,,,,N,OWo20A5S6E++TwBxkuNszQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2008-12-17 10:31,,,,,
