,curr_id,decimal_digit_cnt,curr_symbol,decimal_symbol,digit_group_symbol,pos_curr_fmt_type,neg_curr_fmt_type,curr_type,curr_short_name,group_digit_cnt,base_exch_rate
0,1,2,$,.,",",#1.1,(#1.1),Dollar,USD,3,1
1,12,2,$,",",.,#1.1,(#1.1),Argentine Peso,ARS,3,3.56974
2,15,2,A$,.,",",#1.1,-#1.1,Australian Dollar,AUST,3,1.7964
3,21,2,R$,.,",",#1.1,(#1.1),Brazilian Real,BRL,3,2.481
4,24,2,£,.,",",#1.1,-#1.1,British Pound,U.K.,3,0.685097
5,27,2,CA$,",",-,1.1#,(1.1#),Canadian Dollar,CAD,3,1.53818
6,30,2,Y,.,",",#1.1,(#1.1),Chinese Yuan,CNY,3,8.2769
7,33,2,¿,.,",",#1.1,(#1.1),EURO,EUR,3,1.08702
8,42,2,HK$,.,",",#1.1,(#1.1),Hong Kong Dollar,HKD,3,7.7992
9,45,2,Rs,",",.,#1.1,(#1.1),Indian Rupee,INR,3,48.9697
10,51,2,¥,.,",",#1.1,(#1.1),Japanese Yen,JPY,3,124.03
11,54,2,K,.,",",#1.1,(#1.1),Korean Won,KRW,3,1249.6
12,57,2,N$,.,",",#1.1,(#1.1),Mexican Peso,MXN,3,9.49004
13,60,0,R,",",-,1.1#,-1.1#,Russian Rouble,RUB,3,31.27
14,66,2,Sk,",",.,1.1#,-1.1#,Swedish Krona,SEK,3,9.97013
15,71,2,kr,.,",",#1.1,(#1.1),Swiss Franc,CHF,3,1.57656
16,72,2,NIS,.,",",#1.1,(#1.1),Israel Shekel,ILS,3,4.86464
17,73,2,S$,.,",",#1.1,(#1.1),Singapore Dollar,SING,3,1.6511
