,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,6815800,14517,930,19270,1,Y,Y,WS_Open,EBCF-4,EBIC Construction Forecast (27-Jan-07),,3019558,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,rEkEfICLR+SRDkfqK7mwvw,,
1,6815801,14517,565,6,1,N,Y,WS_Open,E3B3,Construction,,6815800,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,5qF4MkoASBe3B3IWmOqn8g,,
2,6815802,14517,565,107,1,N,Y,WS_Open,P02,Procurement (Tanks),,6815801,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,ubUU6LV+TraqyrqsQHNNVA,,
3,6815803,14517,565,108,1,N,Y,WS_Open,00,Common,,6815802,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,jPjQVEUITBqpJvEvcxlVpg,,
4,6815804,14517,565,507,1,N,Y,WS_Open,C32,Construction (Cathodic Protection),,6815801,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,rXUAvz7kRlOQ3U43O3FPMA,,
5,6815805,14517,565,307,1,N,Y,WS_Open,00,Common,,6815804,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,gJwzT/8XQ664LDLzUFE43w,,
6,6815806,14517,565,407,1,N,Y,WS_Open,U3,U/G Electrical,,6815805,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,ASW269PVSc28GBdlPlGYDg,,
7,6815807,14517,565,207,1,N,Y,WS_Open,C00,Construction KBR (Pipe Fab),,6815801,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,vGft+YjrSWmXLNKeXgtjHw,,
8,6815808,14517,565,108,1,N,Y,WS_Open,00,Common,,6815807,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,l8YmFmqyTYGl8mmtg0JUdw,,
9,6815809,14517,565,208,1,N,Y,WS_Open,P0,A/G Piping,,6815808,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,JC+cWzygT6C+46DPnBkqVA,,
10,6815810,14517,565,208,1,N,Y,WS_Open,U4,U/G Pipe,,6815808,0,0,0.00,0.00,,,,,,EC_Cmp_pct,EE_PF_1,6/mtYaoTReituoUc6xF/gA,,
