,curv_id,curv_name,default_flag,pct_usage_0,pct_usage_1,pct_usage_2,pct_usage_3,pct_usage_4,pct_usage_5,pct_usage_6,pct_usage_7,pct_usage_8,pct_usage_9,pct_usage_10,pct_usage_11,pct_usage_12,pct_usage_13,pct_usage_14,pct_usage_15,pct_usage_16,pct_usage_17,pct_usage_18,pct_usage_19,pct_usage_20
0,20,HISC - Site Preparattion,N,0,4,4,11,11,11.5,11.5,9.5,9.5,5,5,3.5,3.5,2.5,2.5,1.5,1.5,1,1,0.5,0.5
1,22,HISC - U/G Electrical,N,0,2,2,3.5,3.5,8,8,8.5,8.5,8.5,8.5,7,7,5.5,5.5,3.5,3.5,2.5,2.5,1,1
2,23,HISC - U/G Pipe,N,0,1.5,1.5,4.5,4.5,7,7,11,11,12,12,7.5,7.5,3,3,2,2,1,1,0.5,0.5
3,24,HISC - Concrete & Excav.,N,0,6,6,12,12,10.5,10.5,8,8,5.5,5.5,4,4,2,2,1,1,0.5,0.5,0.5,0.5
4,25,HISC - Structural Steel,N,0,2.5,2.5,4,4,8,8,9.5,9.5,10,10,7,7,4.5,4.5,2.5,2.5,1.5,1.5,0.5,0.5
5,26,HISC - A/G Piping,N,0,1,1,1.5,1.5,3,3,6,6,7.5,7.5,8,8,10.5,10.5,7.5,7.5,4,4,1,1
6,27,HISC - A/G Electrical,N,0,0.5,0.5,1,1,2.5,2.5,4.5,4.5,7.5,7.5,11.5,11.5,11,11,7.5,7.5,3,3,1,1
7,28,HISC - Instrumentation,N,0,1,1,1.5,1.5,2,2,2.5,2.5,7,7,12,12,10.5,10.5,8.5,8.5,3.5,3.5,1.5,1.5
8,29,HISC - Painting,N,0,1,1,1.5,1.5,3.5,3.5,5,5,7,7,7.5,7.5,8,8,8,8,5.5,5.5,3,3
9,30,HISC - Major Equipment,N,0,3.5,3.5,5,5,7.5,7.5,7.5,7.5,7.5,7.5,7,7,5,5,3.5,3.5,2,2,1.5,1.5
10,31,HISC - Total Construction,N,0,1.5,1.5,2,2,3,3,5.5,5.5,6.5,6.5,8.5,8.5,9.5,9.5,7.5,7.5,4,4,2,2
11,33,HISC - Insulation,N,0,0.5,0.5,1,1,1.5,1.5,3,3,5,5,6.5,6.5,6.5,6.5,9,9,10.5,10.5,6.5,6.5
12,34,HISC - Buildings,N,0,2,2,6,6,7,7,8,8,8,8,6.5,6.5,5.5,5.5,3.5,3.5,2.5,2.5,1,1
