,task_id,actv_code_type_id,actv_code_id,proj_id
0,12456181,20193,769860,14517
1,12456181,20194,1823993,14517
2,12456181,20195,3098263,14517
3,12456181,20196,770095,14517
4,12456181,20197,770122,14517
5,12456181,20200,2091798,14517
6,12456181,20201,770628,14517
7,12456181,22137,855473,14517
8,12456181,52399,2259287,14517
9,12456182,20193,769860,14517
10,12456182,20194,769862,14517
11,12456182,20196,770095,14517
12,12456182,20197,770121,14517
13,12456182,20200,2091798,14517
14,12456182,20201,770628,14517
15,12456182,22137,855471,14517
16,12456182,52399,2259287,14517
17,12456183,20193,769860,14517
18,12456183,20194,770659,14517
19,12456183,20195,769875,14517
20,12456183,20196,770095,14517
21,12456183,20197,770129,14517
22,12456183,20200,1403360,14517
23,12456183,20201,770624,14517
24,12456183,20202,2009566,14517
25,12456183,22137,855471,14517
26,12456183,52399,2259287,14517
27,12456184,20193,769860,14517
28,12456184,20194,769862,14517
29,12456184,20196,770095,14517
30,12456184,20197,770129,14517
31,12456184,20200,2091798,14517
32,12456184,20201,770624,14517
33,12456184,22137,855471,14517
34,12456184,52399,2259287,14517
35,12456185,20193,769856,14517
36,12456185,20194,769866,14517
37,12456185,20195,3221455,14517
38,12456185,20196,770059,14517
39,12456185,20197,770142,14517
40,12456185,20199,770552,14517
41,12456185,20201,770627,14517
42,12456185,20202,770637,14517
43,12456185,20203,3661790,14517
44,12456185,22137,855473,14517
45,12456185,22659,873668,14517
46,12456186,20193,769855,14517
47,12456186,20194,769868,14517
48,12456186,20195,3098263,14517
49,12456186,20196,770051,14517
50,12456186,20197,770122,14517
51,12456186,20198,790700,14517
52,12456186,20200,1248396,14517
53,12456186,20201,770628,14517
54,12456186,20203,770645,14517
55,12456186,22137,855473,14517
56,12456186,22659,873680,14517
57,12456187,20193,769855,14517
58,12456187,20194,769868,14517
59,12456187,20195,3098263,14517
60,12456187,20196,770051,14517
61,12456187,20197,770122,14517
62,12456187,20198,790700,14517
63,12456187,20200,1248396,14517
64,12456187,20201,1685718,14517
65,12456187,20203,770645,14517
66,12456187,22137,855473,14517
67,12456187,22659,873680,14517
68,12456188,20193,769855,14517
69,12456188,20194,769866,14517
70,12456188,20195,3098265,14517
71,12456188,20196,770051,14517
72,12456188,20197,770141,14517
73,12456188,20201,770631,14517
74,12456188,22137,855473,14517
75,12456188,25995,1064370,14517
76,12456189,20193,769855,14517
77,12456189,20194,769866,14517
78,12456189,20195,3098265,14517
79,12456189,20196,770051,14517
80,12456189,20197,770141,14517
81,12456189,20201,770631,14517
82,12456189,20202,1843458,14517
83,12456189,22137,855473,14517
84,12456189,25995,1064370,14517
85,12456190,20193,769855,14517
86,12456190,20194,769864,14517
87,12456190,20195,3098261,14517
88,12456190,20196,770051,14517
89,12456190,20197,770147,14517
90,12456190,20201,770630,14517
91,12456190,20202,772312,14517
92,12456190,22137,855473,14517
93,12456191,20193,769860,14517
94,12456191,20194,769864,14517
95,12456191,20195,3098261,14517
96,12456191,20196,770095,14517
97,12456191,20197,770147,14517
98,12456191,20201,770630,14517
99,12456191,20202,2009566,14517
100,12456191,22137,855473,14517
101,12456192,20193,769860,14517
102,12456192,20194,769864,14517
103,12456192,20195,3098261,14517
104,12456192,20196,770096,14517
105,12456192,20197,770147,14517
106,12456192,20201,770630,14517
107,12456192,20202,2009566,14517
108,12456192,22137,855473,14517
109,12456192,40594,1756459,14517
110,12456193,20193,769857,14517
111,12456193,20194,769864,14517
112,12456193,20195,3098261,14517
113,12456193,20196,770072,14517
114,12456193,20197,770147,14517
115,12456193,20201,770630,14517
116,12456193,20202,2009566,14517
117,12456193,22137,855473,14517
118,12456194,20193,769857,14517
119,12456194,20194,769864,14517
120,12456194,20195,3098261,14517
121,12456194,20196,770067,14517
122,12456194,20197,770147,14517
123,12456194,20201,770630,14517
124,12456194,20202,2009566,14517
125,12456194,22137,855473,14517
126,12456195,20193,769855,14517
127,12456195,20194,769864,14517
128,12456195,20195,3098261,14517
129,12456195,20196,770051,14517
130,12456195,20197,770147,14517
131,12456195,20201,770630,14517
132,12456195,20202,1843458,14517
133,12456195,22137,855473,14517
134,12456196,20193,769857,14517
135,12456196,20194,769864,14517
136,12456196,20195,3098261,14517
137,12456196,20196,770070,14517
138,12456196,20197,770147,14517
139,12456196,20201,770630,14517
140,12456196,20202,2009566,14517
141,12456196,22137,855473,14517
142,12456197,20193,769857,14517
143,12456197,20194,769864,14517
144,12456197,20195,3098261,14517
145,12456197,20196,770071,14517
146,12456197,20197,770147,14517
147,12456197,20201,770630,14517
148,12456197,20202,2009566,14517
149,12456197,22137,855473,14517
150,12456198,20193,769857,14517
151,12456198,20194,769864,14517
152,12456198,20195,3098261,14517
153,12456198,20196,770073,14517
154,12456198,20197,770147,14517
155,12456198,20201,770630,14517
156,12456198,20202,2009566,14517
157,12456198,22137,855473,14517
158,12456199,20193,769857,14517
159,12456199,20194,769864,14517
160,12456199,20195,3098261,14517
161,12456199,20196,770074,14517
162,12456199,20197,770147,14517
163,12456199,20201,770630,14517
164,12456199,20202,2009566,14517
165,12456199,22137,855473,14517
166,12456200,20193,769856,14517
167,12456200,20194,769864,14517
168,12456200,20195,3098261,14517
169,12456200,20196,770063,14517
170,12456200,20197,770147,14517
171,12456200,20201,770630,14517
172,12456200,20202,2009566,14517
173,12456200,22137,855473,14517
174,12456201,20193,769857,14517
175,12456201,20194,769864,14517
176,12456201,20195,3098261,14517
177,12456201,20196,770076,14517
178,12456201,20197,770147,14517
179,12456201,20201,770630,14517
180,12456201,20202,2009566,14517
181,12456201,22137,855473,14517
182,12456202,20193,769857,14517
183,12456202,20194,769864,14517
184,12456202,20195,3098261,14517
185,12456202,20196,770077,14517
186,12456202,20197,770147,14517
187,12456202,20201,770630,14517
188,12456202,20202,2009566,14517
189,12456202,22137,855473,14517
190,12456203,20193,769857,14517
191,12456203,20194,769864,14517
192,12456203,20195,3098261,14517
193,12456203,20196,770078,14517
194,12456203,20197,770147,14517
195,12456203,20201,770630,14517
196,12456203,20202,2009566,14517
197,12456203,22137,855473,14517
198,12456204,20193,769857,14517
199,12456204,20194,769864,14517
200,12456204,20195,3098261,14517
201,12456204,20196,770079,14517
202,12456204,20197,770147,14517
203,12456204,20201,770630,14517
204,12456204,20202,2009566,14517
205,12456204,22137,855473,14517
206,12456205,20193,769857,14517
207,12456205,20194,769864,14517
208,12456205,20195,3098261,14517
209,12456205,20196,770081,14517
210,12456205,20197,770147,14517
211,12456205,20201,770630,14517
212,12456205,20202,2009566,14517
213,12456205,20203,2405004,14517
214,12456205,22137,855473,14517
215,12456206,20193,769858,14517
216,12456206,20194,769864,14517
217,12456206,20195,3098261,14517
218,12456206,20196,770083,14517
219,12456206,20197,770147,14517
