,memo_id,task_id,memo_type_id,proj_id,task_memo
0,1384474,12456265,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
1,1384475,12456267,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
2,1384476,12456268,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
3,1384477,12456274,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
4,1384478,12456276,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
5,1384479,12456278,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
6,1384480,12456280,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
7,1384481,12456283,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
8,1384482,12456284,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
9,1384483,12456286,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
10,1384484,12456287,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
11,1384485,12456290,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
12,1384486,12456291,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
13,1384487,12456293,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
14,1384488,12456295,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
