,taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,skill_level,pend_complete_pct,remain_qty,pend_remain_qty,target_qty,remain_qty_per_hr,pend_act_reg_qty,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,pend_act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,old_restart_date,old_reend_date,old_remain_drtn_hr_cnt,has_rsrchours,taskrsrc_sum_id
0,3010268,12456185,14517,Y,373,,1352,,,0,,0,89.8046875,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,2006-05-03 08:00,2006-07-27 00:00,,,2006-05-03 08:00,2006-12-28 17:00,,,Y,BCZhlsTkQQO49RwE/PZ86w,COST_PER_QTY,0.00,0,34,RT_Labor,ST_Rsrc,,,0,,
1,3010269,12456195,14517,Y,,,1342,,,126802.75,,139236,119.175516917293,,0,90.17875648,0,,12433.25,0,,,0.00,0.00,0.00,0.00,2006-11-04 00:00,,2007-01-27 08:00,2007-06-30 17:00,2006-11-11 08:00,2007-06-30 17:00,2007-03-25 08:01,2007-08-27 08:01,Y,xTLmM8z1TwyrmDD18dGfVA,COST_PER_QTY,0.00,0,26,RT_Labor,ST_Rsrc,2007-01-27 08:00,2007-06-30 17:00,1064,,
2,3010270,12456222,14517,Y,373,,1348,,,0,,0,0,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,2006-11-16 00:00,2007-01-25 00:00,,,2006-12-02 08:00,2006-12-21 17:00,,,Y,1+j+mdy6RHW7ws8yN7FkUw,COST_PER_QTY,0.00,0,23,RT_Labor,ST_Rsrc,,,0,,
3,3010271,12456223,14517,Y,373,,1348,,,0,,0,0,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,2006-11-16 00:00,2007-01-25 00:00,,,2006-12-11 08:00,2006-12-21 17:00,,,Y,x1XzEHc2QBWrCr33iR4H1Q,COST_PER_QTY,0.00,0,23,RT_Labor,ST_Rsrc,,,0,,
4,3010272,12456224,14517,Y,373,,1348,,,0,,0,0,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,2006-11-16 00:00,2007-01-25 00:00,,,2006-12-16 08:00,2006-12-21 17:00,,,Y,55chv31JT7+WoXV56pt4Kw,COST_PER_QTY,0.00,0,23,RT_Labor,ST_Rsrc,,,0,,
5,3010273,12456225,14517,Y,373,,1348,,,0,,0,0,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,2006-11-16 00:00,2007-01-25 00:00,,,2006-12-14 08:00,2006-12-23 17:00,,,Y,v976mVFkSZu7tW9YnxgHYw,COST_PER_QTY,0.00,0,23,RT_Labor,ST_Rsrc,,,0,,
6,3010274,12456226,14517,Y,373,,1348,,,0,,0,0,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,2006-11-16 00:00,2007-01-25 00:00,,,2006-12-16 08:00,2007-01-06 17:00,,,Y,wKZBNNa+Qq2noYK4ngLKKQ,COST_PER_QTY,0.00,0,23,RT_Labor,ST_Rsrc,,,0,,
7,3010275,12456227,14517,Y,373,,1348,,,0,,0,0,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,2006-10-04 00:00,2007-01-25 00:00,,,2006-11-20 08:00,2006-12-07 17:00,,,Y,rFkMqMOISm6cs3H9OL4xow,COST_PER_QTY,0.00,0,23,RT_Labor,ST_Rsrc,,,0,,
8,3010276,12456228,14517,Y,373,,1348,,,0,,0,0,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,2006-09-16 00:00,2007-01-25 00:00,,,2006-11-04 08:00,2006-11-21 17:00,,,Y,RAUTzRj9RCaPVFk0zlkaLw,COST_PER_QTY,0.00,0,23,RT_Labor,ST_Rsrc,,,0,,
9,3010277,12456230,14517,Y,373,,1348,,,0,,0,0,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,2006-09-16 00:00,2006-11-05 00:00,,,2006-09-09 08:00,2006-10-04 17:00,,,Y,7EwdI35bTzajAaWtNGhXxg,COST_PER_QTY,0.00,0,23,RT_Labor,ST_Rsrc,,,0,,
10,3010278,12456231,14517,Y,373,,1348,,,0,,0,0,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,2006-11-16 00:00,2007-01-25 00:00,,,2006-12-02 08:00,2006-12-21 17:00,,,Y,Rr3SECQvTcqapGBi3+SP2Q,COST_PER_QTY,0.00,0,23,RT_Labor,ST_Rsrc,,,0,,
11,3010279,12456232,14517,Y,,,1342,,,0,,10408.22,14.6673658,,0,16.46870253,0,,9960.66,0,,,0.00,0.00,0.00,0.00,2006-09-16 00:00,2007-01-25 00:00,,,2006-09-09 08:00,2007-01-06 17:00,,,Y,YWp6pw6bRAetVgQgt/VZuw,COST_PER_QTY,0.00,0,26,RT_Labor,ST_Rsrc,,,0,,
12,3010280,12456233,14517,Y,373,,1348,,,0,,0,0,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,2006-11-16 00:00,2007-01-25 00:00,,,2006-12-17 08:00,2006-12-21 17:00,,,Y,cXW0/ITmQW+zyDL6p4N+Iw,COST_PER_QTY,0.00,0,23,RT_Labor,ST_Rsrc,,,0,,
13,3010281,12456234,14517,Y,373,,1348,,,0,,0,0,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,2006-12-02 08:00,2007-01-25 00:00,,,2006-12-02 08:00,2006-12-21 17:00,,,Y,+ueMbbfXSa6t1FXPsFNlFA,COST_PER_QTY,0.00,0,23,RT_Labor,ST_Rsrc,,,0,,
14,3010282,12456235,14517,Y,373,,1348,,,0,,0,0,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,2006-09-16 00:00,2006-11-05 00:00,,,2006-10-28 08:00,2006-11-06 17:00,,,Y,FOwYLMKfRdO0Pr6U7D4GkQ,COST_PER_QTY,0.00,0,23,RT_Labor,ST_Rsrc,,,0,,
